check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:32:31.398657+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:32:31.398677+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:32:31.702367+05:30
http,pass,Probe 1: HTTP 200 at https://bpu.ac.lk/,https://bpu.ac.lk/,2026-09-08T23:32:47.916823+05:30
http,pass,Probe 2: HTTP 200 at https://bpu.ac.lk/,http://bpu.ac.lk/,2026-09-08T23:32:47.916847+05:30
http,pass,Probe 3: HTTP 200 at https://bpu.ac.lk/,https://bpu.ac.lk/,2026-09-08T23:32:47.916851+05:30
http,pass,Probe 4: HTTP 200 at https://bpu.ac.lk/,http://bpu.ac.lk/,2026-09-08T23:32:47.916854+05:30
http,pass,Probe 5: HTTP 200 at https://bpu.ac.lk/contacts/,https://bpu.ac.lk/contacts/,2026-09-08T23:32:47.916857+05:30
http,pass,Probe 6: HTTP 200 at https://bpu.ac.lk/officers/,https://bpu.ac.lk/officers/,2026-09-08T23:32:47.916860+05:30
http,pass,Probe 7: HTTP 200 at https://bpu.ac.lk/vice-chancellors-office/,https://bpu.ac.lk/vice-chancellors-office/,2026-09-08T23:32:47.916863+05:30
http,pass,Probe 8: HTTP 200 at https://bpu.ac.lk/registrars-office/,https://bpu.ac.lk/registrars-office/,2026-09-08T23:32:47.916865+05:30
http,pass,Probe 9: HTTP 200 at https://bpu.ac.lk/general-administration-division/,https://bpu.ac.lk/general-administration-division/,2026-09-08T23:32:47.916868+05:30
http,pass,Probe 10: HTTP 200 at https://bpu.ac.lk/academic-student-service-division/,https://bpu.ac.lk/academic-student-service-division/,2026-09-08T23:32:47.916870+05:30
http,pass,Probe 11: HTTP 200 at https://bpu.ac.lk/finance-division/,https://bpu.ac.lk/finance-division/,2026-09-08T23:32:47.916873+05:30
http,pass,Probe 12: HTTP 200 at https://bpu.ac.lk/internal-examination-division/,https://bpu.ac.lk/internal-examination-division/,2026-09-08T23:32:47.916876+05:30
http,pass,Probe 13: HTTP 200 at https://bpu.ac.lk/internal-audit-division/,https://bpu.ac.lk/internal-audit-division/,2026-09-08T23:32:47.916878+05:30
http,pass,Probe 14: HTTP 200 at https://bpu.ac.lk/maintenance-division/,https://bpu.ac.lk/maintenance-division/,2026-09-08T23:32:47.916881+05:30
phone,pass,Published phone: 0 1 1 0 63.85 63.,https://bpu.ac.lk/,
phone,pass,Published phone: +94 11 2857786,https://bpu.ac.lk/,
phone,pass,Published phone: 0 1 1-44 44 44 4,https://bpu.ac.lk/,
phone,pass,Published phone: +94-11-2857786 ,https://bpu.ac.lk/,
phone,pass,Published phone: +94 11 2895360 ,https://bpu.ac.lk/,
email,pass,Published email: webhostingbpusl@gmail.com,https://bpu.ac.lk/,
named_responsibility,pass,Published named responsibility: director,https://bpu.ac.lk/,
phone,pass,Published phone: 0 1 1 0 63.85 63.,https://bpu.ac.lk/,
phone,pass,Published phone: +94 11 2857786,https://bpu.ac.lk/,
phone,pass,Published phone: 0 1 1-44 44 44 4,https://bpu.ac.lk/,
phone,pass,Published phone: +94-11-2857786 ,https://bpu.ac.lk/,
phone,pass,Published phone: +94 11 2895360 ,https://bpu.ac.lk/,
email,pass,Published email: webhostingbpusl@gmail.com,https://bpu.ac.lk/,
named_responsibility,pass,Published named responsibility: director,https://bpu.ac.lk/,
