check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:32:03.373121+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:32:03.373141+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:32:03.403380+05:30
http,pass,Probe 1: HTTP 200 at https://itum.mrt.ac.lk/,https://itum.mrt.ac.lk/,2026-09-08T23:32:23.807406+05:30
http,pass,Probe 2: HTTP 200 at http://itum.mrt.ac.lk/,http://itum.mrt.ac.lk/,2026-09-08T23:32:23.807428+05:30
http,pass,Probe 3: HTTP 200 at https://itum.mrt.ac.lk/,https://itum.mrt.ac.lk/,2026-09-08T23:32:23.807432+05:30
http,pass,Probe 4: HTTP 200 at http://itum.mrt.ac.lk/,http://itum.mrt.ac.lk/,2026-09-08T23:32:23.807435+05:30
http,pass,Probe 5: HTTP 200 at https://itum.mrt.ac.lk/officers-of-the-itum,https://itum.mrt.ac.lk/officers-of-the-itum,2026-09-08T23:32:23.807438+05:30
http,pass,Probe 6: HTTP 200 at https://itum.mrt.ac.lk/heads-of-divisions,https://itum.mrt.ac.lk/heads-of-divisions,2026-09-08T23:32:23.807441+05:30
http,pass,Probe 7: HTTP 200 at https://itum.mrt.ac.lk/research-news,https://itum.mrt.ac.lk/research-news,2026-09-08T23:32:23.807444+05:30
http,pass,Probe 8: HTTP 200 at https://itum.mrt.ac.lk/research/itum-research-grants,https://itum.mrt.ac.lk/research/itum-research-grants,2026-09-08T23:32:23.807447+05:30
http,pass,Probe 9: HTTP 200 at https://itum.mrt.ac.lk/research-gallery,https://itum.mrt.ac.lk/research-gallery,2026-09-08T23:32:23.807450+05:30
http,pass,Probe 10: HTTP 200 at https://itum.mrt.ac.lk/student-counsellors,https://itum.mrt.ac.lk/student-counsellors,2026-09-08T23:32:23.807453+05:30
http,pass,Probe 11: HTTP 200 at https://itum.mrt.ac.lk/events,https://itum.mrt.ac.lk/events,2026-09-08T23:32:23.807456+05:30
http,pass,Probe 12: HTTP 200 at https://itum.mrt.ac.lk/university-life/student-activity,https://itum.mrt.ac.lk/university-life/student-activity,2026-09-08T23:32:23.807458+05:30
http,pass,Probe 13: HTTP 200 at https://itum.mrt.ac.lk/short-courses,https://itum.mrt.ac.lk/short-courses,2026-09-08T23:32:23.807461+05:30
http,pass,Probe 14: HTTP 200 at https://itum.mrt.ac.lk/policies,https://itum.mrt.ac.lk/policies,2026-09-08T23:32:23.807464+05:30
phone,pass,Published phone: +94) 112 117 040 ,https://itum.mrt.ac.lk/,
phone,pass,Published phone: +94) 113 460 406 ,https://itum.mrt.ac.lk/,
phone,pass,Published phone: +94) 112 124 004 ,https://itum.mrt.ac.lk/,
phone,pass,Published phone: +94) 112 124 000 ,https://itum.mrt.ac.lk/,
email,pass,Published email: sar-exam@itum.mrt.ac.lk,https://itum.mrt.ac.lk/,
email,pass,Published email: ar-welfare@itum.mrt.ac.lk,https://itum.mrt.ac.lk/,
email,pass,Published email: info@itum.mrt.ac.lk,https://itum.mrt.ac.lk/,
named_responsibility,pass,Published named responsibility: director,https://itum.mrt.ac.lk/,
phone,pass,Published phone: +94) 112 117 040 ,http://itum.mrt.ac.lk/,
phone,pass,Published phone: +94) 113 460 406 ,http://itum.mrt.ac.lk/,
phone,pass,Published phone: +94) 112 124 004 ,http://itum.mrt.ac.lk/,
phone,pass,Published phone: +94) 112 124 000 ,http://itum.mrt.ac.lk/,
email,pass,Published email: sar-exam@itum.mrt.ac.lk,http://itum.mrt.ac.lk/,
email,pass,Published email: ar-welfare@itum.mrt.ac.lk,http://itum.mrt.ac.lk/,
email,pass,Published email: info@itum.mrt.ac.lk,http://itum.mrt.ac.lk/,
named_responsibility,pass,Published named responsibility: director,http://itum.mrt.ac.lk/,
phone,pass,Published phone: +94) 112 117 040 ,https://itum.mrt.ac.lk/,
