check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:50:31.453732+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:50:31.453753+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:50:31.499223+05:30
http,pass,Probe 1: HTTP 200 at https://phsrc.lk/,https://phsrc.lk/,2026-09-08T23:50:53.986870+05:30
http,pass,Probe 2: HTTP 200 at http://phsrc.lk/,http://phsrc.lk/,2026-09-08T23:50:53.986892+05:30
http,pass,Probe 3: HTTP 200 at https://phsrc.lk/,https://phsrc.lk/,2026-09-08T23:50:53.986895+05:30
http,pass,Probe 4: HTTP 200 at http://phsrc.lk/,http://phsrc.lk/,2026-09-08T23:50:53.986898+05:30
http,pass,Probe 5: HTTP 200 at https://www.phsrc.lk/index.php,https://www.phsrc.lk/index.php,2026-09-08T23:50:53.986901+05:30
http,pass,Probe 6: HTTP 200 at https://www.phsrc.lk/,https://www.phsrc.lk/,2026-09-08T23:50:53.986904+05:30
http,pass,Probe 7: HTTP 200 at https://www.phsrc.lk/pages_e.php?id=1,https://www.phsrc.lk/pages_e.php?id=1,2026-09-08T23:50:53.986907+05:30
http,pass,Probe 8: HTTP 200 at https://www.phsrc.lk/pages_e.php?id=2,https://www.phsrc.lk/pages_e.php?id=2,2026-09-08T23:50:53.986909+05:30
http,pass,Probe 9: HTTP 200 at https://www.phsrc.lk/pages_e.php?id=7,https://www.phsrc.lk/pages_e.php?id=7,2026-09-08T23:50:53.986912+05:30
http,pass,Probe 10: HTTP 200 at https://www.phsrc.lk/pages_e.php?id=5,https://www.phsrc.lk/pages_e.php?id=5,2026-09-08T23:50:53.986914+05:30
http,pass,Probe 11: HTTP 200 at https://www.phsrc.lk/pages_e.php?id=22,https://www.phsrc.lk/pages_e.php?id=22,2026-09-08T23:50:53.986917+05:30
http,pass,Probe 12: HTTP 200 at https://www.phsrc.lk/pages_e.php?id=14,https://www.phsrc.lk/pages_e.php?id=14,2026-09-08T23:50:53.986920+05:30
http,pass,Probe 13: HTTP 200 at https://www.phsrc.lk/pages_e.php?id=21,https://www.phsrc.lk/pages_e.php?id=21,2026-09-08T23:50:53.986923+05:30
http,pass,Probe 14: HTTP 200 at https://www.phsrc.lk/pages_e.php?id=13,https://www.phsrc.lk/pages_e.php?id=13,2026-09-08T23:50:53.986925+05:30
phone,pass,Published phone: 01 08 2019 - 13,https://phsrc.lk/,
phone,pass,Published phone: 02 11 2023 - 14,https://phsrc.lk/,
phone,pass,Published phone: 06 08 2025 - 08,https://phsrc.lk/,
phone,pass,Published phone: +94 011 2672 91,https://phsrc.lk/,
email,pass,Published email: phsrc2015@gmail.com,https://phsrc.lk/,
named_responsibility,pass,Published named responsibility: director,https://phsrc.lk/,
legal_basis,pass,Published legal basis: circular,https://phsrc.lk/,
phone,pass,Published phone: 01 08 2019 - 13,http://phsrc.lk/,
phone,pass,Published phone: 02 11 2023 - 14,http://phsrc.lk/,
phone,pass,Published phone: 06 08 2025 - 08,http://phsrc.lk/,
phone,pass,Published phone: +94 011 2672 91,http://phsrc.lk/,
email,pass,Published email: phsrc2015@gmail.com,http://phsrc.lk/,
named_responsibility,pass,Published named responsibility: director,http://phsrc.lk/,
legal_basis,pass,Published legal basis: circular,http://phsrc.lk/,
phone,pass,Published phone: 01 08 2019 - 13,https://phsrc.lk/,
phone,pass,Published phone: 02 11 2023 - 14,https://phsrc.lk/,
phone,pass,Published phone: 06 08 2025 - 08,https://phsrc.lk/,
