check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:32:32.873473+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:32:32.873493+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:32:32.947147+05:30
http,pass,Probe 1: HTTP 200 at https://germantec.lk/,https://germantec.lk/,2026-09-08T23:33:05.722278+05:30
http,pass,Probe 2: HTTP 200 at https://germantec.lk/,http://germantec.lk/,2026-09-08T23:33:05.722300+05:30
http,pass,Probe 3: HTTP 200 at https://germantec.lk/,https://germantec.lk/,2026-09-08T23:33:05.722303+05:30
http,pass,Probe 4: HTTP 200 at https://germantec.lk/,http://germantec.lk/,2026-09-08T23:33:05.722307+05:30
http,pass,Probe 5: HTTP 200 at https://germantec.lk/index.php/events/ice-cream-dansala-organized-by-the-account-office-supply-office-works-engineers-office/,https://germantec.lk/index.php/events/ice-cream-dansala-organized-by-the-account-office-supply-office-works-engineers-office/,2026-09-08T23:33:05.722310+05:30
http,pass,Probe 6: HTTP 200 at https://germantec.lk/index.php/about-cgtti/,https://germantec.lk/index.php/about-cgtti/,2026-09-08T23:33:05.722313+05:30
http,pass,Probe 7: HTTP 200 at https://germantec.lk/index.php/vision-and-mission/,https://germantec.lk/index.php/vision-and-mission/,2026-09-08T23:33:05.722316+05:30
http,pass,Probe 8: HTTP 200 at https://germantec.lk/index.php/strategic-goals/,https://germantec.lk/index.php/strategic-goals/,2026-09-08T23:33:05.722319+05:30
http,pass,Probe 9: HTTP 200 at https://germantec.lk/index.php/policy/,https://germantec.lk/index.php/policy/,2026-09-08T23:33:05.722321+05:30
http,pass,Probe 10: HTTP 200 at https://germantec.lk/index.php/educational-funds-2/,https://germantec.lk/index.php/educational-funds-2/,2026-09-08T23:33:05.722324+05:30
http,pass,Probe 11: HTTP 200 at https://germantec.lk/index.php/day-calender/,https://germantec.lk/index.php/day-calender/,2026-09-08T23:33:05.722327+05:30
