check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:47:40.610141+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:47:40.610161+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:47:40.704390+05:30
http,pass,Probe 1: HTTP 200 at https://slfea.lk/,https://slfea.lk/,2026-09-08T23:48:35.208385+05:30
http,fail,Probe 2: HTTP 522 at http://slfea.lk/,http://slfea.lk/,2026-09-08T23:48:35.208408+05:30
http,pass,Probe 3: HTTP 200 at https://slfea.lk/,https://slfea.lk/,2026-09-08T23:48:35.208412+05:30
http,fail,Probe 4: HTTP 522 at http://slfea.lk/,http://slfea.lk/,2026-09-08T23:48:35.208414+05:30
http,pass,Probe 5: HTTP 200 at https://slfea.lk/contact-us/,https://slfea.lk/contact-us/,2026-09-08T23:48:35.208417+05:30
http,pass,Probe 6: HTTP 200 at https://slfea.lk/about-slfea/,https://slfea.lk/about-slfea/,2026-09-08T23:48:35.208420+05:30
http,pass,Probe 7: HTTP 200 at https://slfea.lk/chairman-message/,https://slfea.lk/chairman-message/,2026-09-08T23:48:35.208422+05:30
http,pass,Probe 8: HTTP 200 at https://slfea.lk/gm-message/,https://slfea.lk/gm-message/,2026-09-08T23:48:35.208425+05:30
http,pass,Probe 9: HTTP 200 at https://slfea.lk/general-manager-message/,https://slfea.lk/general-manager-message/,2026-09-08T23:48:35.208427+05:30
http,pass,Probe 10: HTTP 200 at https://slfea.lk/our-team/,https://slfea.lk/our-team/,2026-09-08T23:48:35.208430+05:30
http,pass,Probe 11: HTTP 200 at https://slfea.lk/ticketing/,https://slfea.lk/ticketing/,2026-09-08T23:48:35.208432+05:30
http,pass,Probe 12: HTTP 200 at https://slfea.lk/recruitment/,https://slfea.lk/recruitment/,2026-09-08T23:48:35.208435+05:30
http,pass,Probe 13: HTTP 200 at https://slfea.lk/vacancies/,https://slfea.lk/vacancies/,2026-09-08T23:48:35.208437+05:30
http,pass,Probe 14: HTTP 200 at https://slfea.lk/news-notices/,https://slfea.lk/news-notices/,2026-09-08T23:48:35.208440+05:30
phone,pass,Published phone: +94) 11 280 8200 ,https://slfea.lk/,
phone,pass,Published phone: 011 280 7400,https://slfea.lk/,
phone,pass,Published phone: (+94) 70 678 8110,https://slfea.lk/,
phone,pass,Published phone: 070 678 8110,https://slfea.lk/,
phone,pass,Published phone: +94) 11 280 7400 ,https://slfea.lk/,
phone,pass,Published phone: +94) 11 280 7400,https://slfea.lk/,
phone,pass,Published phone: +94) 70 678 8110 ,https://slfea.lk/,
phone,pass,Published phone: 011 280 8200,https://slfea.lk/,
phone,pass,Published phone: (+94) 11 280 8200,https://slfea.lk/,
named_responsibility,pass,Published named responsibility: director,https://slfea.lk/,
downloadable_form,pass,Published downloadable form: https://slfea.lk/wp-content/uploads/2026/07/Application.pdf,https://slfea.lk/,
phone,pass,Published phone: +94) 11 280 8200 ,https://slfea.lk/,
phone,pass,Published phone: 011 280 7400,https://slfea.lk/,
phone,pass,Published phone: (+94) 70 678 8110,https://slfea.lk/,
phone,pass,Published phone: 070 678 8110,https://slfea.lk/,
phone,pass,Published phone: +94) 11 280 7400 ,https://slfea.lk/,
phone,pass,Published phone: +94) 11 280 7400,https://slfea.lk/,
phone,pass,Published phone: +94) 70 678 8110 ,https://slfea.lk/,
phone,pass,Published phone: 011 280 8200,https://slfea.lk/,
phone,pass,Published phone: (+94) 11 280 8200,https://slfea.lk/,
named_responsibility,pass,Published named responsibility: director,https://slfea.lk/,
downloadable_form,pass,Published downloadable form: https://slfea.lk/wp-content/uploads/2026/07/Application.pdf,https://slfea.lk/,
phone,pass,Published phone: +94) 11 280 8200 ,https://slfea.lk/contact-us/,
phone,pass,Published phone: 011 280 7400,https://slfea.lk/contact-us/,
phone,pass,Published phone: (+94) 70 678 8110,https://slfea.lk/contact-us/,
phone,pass,Published phone: +94) 011 280 740,https://slfea.lk/contact-us/,
phone,pass,Published phone: 070 678 8110,https://slfea.lk/contact-us/,
phone,pass,Published phone: +94) 11 280 7400 ,https://slfea.lk/contact-us/,
phone,pass,Published phone: +94) 11 280 7400,https://slfea.lk/contact-us/,
phone,pass,Published phone: +94) 70 678 8110 ,https://slfea.lk/contact-us/,
phone,pass,Published phone: 011 280 8200,https://slfea.lk/contact-us/,
phone,pass,Published phone: (+94) 11 280 8200,https://slfea.lk/contact-us/,
