check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:47:53.073870+05:30
domain_registration,pass,Domain registered,,2026-09-08T23:47:53.073876+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:47:53.116721+05:30
http,pass,Probe 1: HTTP 200 at https://meetinsrilanka.com/,https://meetinsrilanka.com/,2026-09-08T23:49:01.244419+05:30
http,pass,Probe 2: HTTP 200 at https://meetinsrilanka.com/,http://meetinsrilanka.com/,2026-09-08T23:49:01.244441+05:30
http,pass,Probe 3: HTTP 200 at https://meetinsrilanka.com/,https://meetinsrilanka.com/,2026-09-08T23:49:01.244445+05:30
http,pass,Probe 4: HTTP 200 at https://meetinsrilanka.com/,http://meetinsrilanka.com/,2026-09-08T23:49:01.244447+05:30
http,pass,Probe 5: HTTP 200 at https://meetinsrilanka.com/contact-us/,https://meetinsrilanka.com/contact-us/,2026-09-08T23:49:01.244450+05:30
http,pass,Probe 6: HTTP 200 at https://meetinsrilanka.com,https://meetinsrilanka.com,2026-09-08T23:49:01.244453+05:30
http,pass,Probe 7: HTTP 200 at https://meetinsrilanka.com/fr/,https://meetinsrilanka.com/fr/,2026-09-08T23:49:01.244455+05:30
http,pass,Probe 8: HTTP 200 at https://meetinsrilanka.com/de/,https://meetinsrilanka.com/de/,2026-09-08T23:49:01.244458+05:30
http,pass,Probe 9: HTTP 200 at https://meetinsrilanka.com/zh-hans/,https://meetinsrilanka.com/zh-hans/,2026-09-08T23:49:01.244460+05:30
http,pass,Probe 10: HTTP 200 at https://meetinsrilanka.com/about-us/,https://meetinsrilanka.com/about-us/,2026-09-08T23:49:01.244463+05:30
http,pass,Probe 11: HTTP 200 at https://meetinsrilanka.com/our-industry/,https://meetinsrilanka.com/our-industry/,2026-09-08T23:49:01.244465+05:30
http,pass,Probe 12: HTTP 200 at https://meetinsrilanka.com/our-support/,https://meetinsrilanka.com/our-support/,2026-09-08T23:49:01.244468+05:30
http,pass,Probe 13: HTTP 200 at https://meetinsrilanka.com/destinations/,https://meetinsrilanka.com/destinations/,2026-09-08T23:49:01.244471+05:30
http,pass,Probe 14: HTTP 200 at https://meetinsrilanka.com/gallery/,https://meetinsrilanka.com/gallery/,2026-09-08T23:49:01.244473+05:30
unrelated,fail,Detected unrelated marker: online casino,https://meetinsrilanka.com/,
phone,pass,Published phone: 0781731188,https://meetinsrilanka.com/,
phone,pass,Published phone: 0857670640,https://meetinsrilanka.com/,
phone,pass,Published phone: 0130769184,https://meetinsrilanka.com/,
phone,pass,Published phone: +94) 112 440 002 ,https://meetinsrilanka.com/,
phone,pass,Published phone: +94) 114 865 050 (,https://meetinsrilanka.com/,
phone,pass,Published phone: 0528496536,https://meetinsrilanka.com/,
phone,pass,Published phone: 026 2026-09-0,https://meetinsrilanka.com/,
phone,pass,Published phone: 0902553996,https://meetinsrilanka.com/,
email,pass,Published email: mktslcb@srilanka.travel,https://meetinsrilanka.com/,
fees_and_payment,pass,"Published fees and payment: rs,",https://meetinsrilanka.com/,
published_update_date,fail,Published published update date: 05-08-2024,https://meetinsrilanka.com/,
unrelated,fail,Detected unrelated marker: online casino,https://meetinsrilanka.com/,
phone,pass,Published phone: 0781731188,https://meetinsrilanka.com/,
phone,pass,Published phone: 0857670640,https://meetinsrilanka.com/,
phone,pass,Published phone: 0130769184,https://meetinsrilanka.com/,
phone,pass,Published phone: +94) 112 440 002 ,https://meetinsrilanka.com/,
