check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:29:29.633545+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:29:29.633563+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:29:29.654683+05:30
http,pass,Probe 1: HTTP 200 at https://gwu.ac.lk/,https://gwu.ac.lk/,2026-09-08T23:29:44.842108+05:30
http,pass,Probe 2: HTTP 200 at https://gwu.ac.lk/,http://gwu.ac.lk/,2026-09-08T23:29:44.842131+05:30
http,pass,Probe 3: HTTP 200 at https://gwu.ac.lk/,https://gwu.ac.lk/,2026-09-08T23:29:44.842134+05:30
http,pass,Probe 4: HTTP 200 at https://gwu.ac.lk/,http://gwu.ac.lk/,2026-09-08T23:29:44.842137+05:30
http,pass,Probe 5: HTTP 200 at https://gwu.ac.lk/index.php,https://gwu.ac.lk/index.php,2026-09-08T23:29:44.842140+05:30
http,pass,Probe 6: HTTP 200 at https://gwu.ac.lk/index.php/students,https://gwu.ac.lk/index.php/students,2026-09-08T23:29:44.842143+05:30
http,pass,Probe 7: HTTP 200 at https://gwu.ac.lk/index.php/faculty-staff,https://gwu.ac.lk/index.php/faculty-staff,2026-09-08T23:29:44.842146+05:30
http,pass,Probe 8: HTTP 200 at https://gwu.ac.lk/index.php/alumni,https://gwu.ac.lk/index.php/alumni,2026-09-08T23:29:44.842148+05:30
http,pass,Probe 9: HTTP 200 at https://gwu.ac.lk/index.php/component/sppagebuilder/?view=page&id=446,https://gwu.ac.lk/index.php/component/sppagebuilder/?view=page&id=446,2026-09-08T23:29:44.842151+05:30
http,pass,Probe 10: HTTP 200 at https://gwu.ac.lk/index.php/component/sppagebuilder/?view=page&id=54,https://gwu.ac.lk/index.php/component/sppagebuilder/?view=page&id=54,2026-09-08T23:29:44.842154+05:30
http,pass,Probe 11: HTTP 200 at https://gwu.ac.lk/library/,https://gwu.ac.lk/library/,2026-09-08T23:29:44.842156+05:30
http,pass,Probe 12: HTTP 200 at https://gwu.ac.lk/index.php/component/sppagebuilder/?view=page&id=448,https://gwu.ac.lk/index.php/component/sppagebuilder/?view=page&id=448,2026-09-08T23:29:44.842159+05:30
http,pass,Probe 13: HTTP 200 at https://gwu.ac.lk/index.php/component/sppagebuilder/?view=page&id=134,https://gwu.ac.lk/index.php/component/sppagebuilder/?view=page&id=134,2026-09-08T23:29:44.842162+05:30
http,pass,Probe 14: HTTP 200 at https://gwu.ac.lk/index.php/component/sppagebuilder/?view=page&id=255,https://gwu.ac.lk/index.php/component/sppagebuilder/?view=page&id=255,2026-09-08T23:29:44.842164+05:30
phone,pass,Published phone: 0547676443,https://gwu.ac.lk/,
phone,pass,Published phone: 0931284613 ,https://gwu.ac.lk/,
phone,pass,Published phone: +9433 2 222 748 ,https://gwu.ac.lk/,
phone,pass,Published phone: 0931284640 .,https://gwu.ac.lk/,
phone,pass,Published phone: 0418584592,https://gwu.ac.lk/,
phone,pass,Published phone: 0931284640 ,https://gwu.ac.lk/,
named_responsibility,pass,Published named responsibility: department,https://gwu.ac.lk/,
downloadable_form,pass,Published downloadable form: https://gwu.ac.lk/images/Notices/Application_Form_Certificate_Course_in_Yoga_and_Relaxation_Techniques.pdf,https://gwu.ac.lk/,
phone,pass,Published phone: 0547676443,https://gwu.ac.lk/,
phone,pass,Published phone: 0931284613 ,https://gwu.ac.lk/,
phone,pass,Published phone: +9433 2 222 748 ,https://gwu.ac.lk/,
phone,pass,Published phone: 0931284640 .,https://gwu.ac.lk/,
phone,pass,Published phone: 0418584592,https://gwu.ac.lk/,
phone,pass,Published phone: 0931284640 ,https://gwu.ac.lk/,
named_responsibility,pass,Published named responsibility: department,https://gwu.ac.lk/,
downloadable_form,pass,Published downloadable form: https://gwu.ac.lk/images/Notices/Application_Form_Certificate_Course_in_Yoga_and_Relaxation_Techniques.pdf,https://gwu.ac.lk/,
phone,pass,Published phone: 0547676443,https://gwu.ac.lk/,
phone,pass,Published phone: 0931284613 ,https://gwu.ac.lk/,
phone,pass,Published phone: +9433 2 222 748 ,https://gwu.ac.lk/,
phone,pass,Published phone: 0931284640 .,https://gwu.ac.lk/,
phone,pass,Published phone: 0418584592,https://gwu.ac.lk/,
phone,pass,Published phone: 0931284640 ,https://gwu.ac.lk/,
named_responsibility,pass,Published named responsibility: department,https://gwu.ac.lk/,
downloadable_form,pass,Published downloadable form: https://gwu.ac.lk/images/Notices/Application_Form_Certificate_Course_in_Yoga_and_Relaxation_Techniques.pdf,https://gwu.ac.lk/,
phone,pass,Published phone: 0547676443,https://gwu.ac.lk/,
phone,pass,Published phone: 0931284613 ,https://gwu.ac.lk/,
phone,pass,Published phone: +9433 2 222 748 ,https://gwu.ac.lk/,
phone,pass,Published phone: 0931284640 .,https://gwu.ac.lk/,
phone,pass,Published phone: 0418584592,https://gwu.ac.lk/,
phone,pass,Published phone: 0931284640 ,https://gwu.ac.lk/,
named_responsibility,pass,Published named responsibility: department,https://gwu.ac.lk/,
downloadable_form,pass,Published downloadable form: https://gwu.ac.lk/images/Notices/Application_Form_Certificate_Course_in_Yoga_and_Relaxation_Techniques.pdf,https://gwu.ac.lk/,
phone,pass,Published phone: 0547676443,https://gwu.ac.lk/index.php,
phone,pass,Published phone: 0931284613 ,https://gwu.ac.lk/index.php,
phone,pass,Published phone: +9433 2 222 748 ,https://gwu.ac.lk/index.php,
phone,pass,Published phone: 0931284640 .,https://gwu.ac.lk/index.php,
phone,pass,Published phone: 0418584592,https://gwu.ac.lk/index.php,
phone,pass,Published phone: 0931284640 ,https://gwu.ac.lk/index.php,
named_responsibility,pass,Published named responsibility: department,https://gwu.ac.lk/index.php,
downloadable_form,pass,Published downloadable form: https://gwu.ac.lk/images/Notices/Application_Form_Certificate_Course_in_Yoga_and_Relaxation_Techniques.pdf,https://gwu.ac.lk/index.php,
phone,pass,Published phone: +9433 2 222 748 ,https://gwu.ac.lk/index.php/students,
phone,pass,Published phone: 0418584592,https://gwu.ac.lk/index.php/students,
phone,pass,Published phone: 0547676443,https://gwu.ac.lk/index.php/students,
phone,pass,Published phone: 0803246855,https://gwu.ac.lk/index.php/faculty-staff,
phone,pass,Published phone: +9433 2 222 748 ,https://gwu.ac.lk/index.php/faculty-staff,
phone,pass,Published phone: 0418584592,https://gwu.ac.lk/index.php/faculty-staff,
phone,pass,Published phone: 0547676443,https://gwu.ac.lk/index.php/faculty-staff,
phone,pass,Published phone: +9433 2 222 748 ,https://gwu.ac.lk/index.php/alumni,
phone,pass,Published phone: 0418584592,https://gwu.ac.lk/index.php/alumni,
phone,pass,Published phone: 0547676443,https://gwu.ac.lk/index.php/alumni,
phone,pass,Published phone: 0547676443,https://gwu.ac.lk/index.php/component/sppagebuilder/?view=page&id=446,
phone,pass,Published phone: 0514997676 .,https://gwu.ac.lk/index.php/component/sppagebuilder/?view=page&id=446,
phone,pass,Published phone: 0444856271,https://gwu.ac.lk/index.php/component/sppagebuilder/?view=page&id=446,
