check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:50:24.285124+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:50:24.285153+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:50:24.306063+05:30
http,pass,Probe 1: HTTP 200 at https://www.nmra.gov.lk/,https://www.nmra.gov.lk/,2026-09-08T23:50:39.643494+05:30
http,pass,Probe 2: HTTP 200 at https://www.nmra.gov.lk/,http://www.nmra.gov.lk/,2026-09-08T23:50:39.643516+05:30
http,pass,Probe 3: HTTP 200 at https://www.nmra.gov.lk/,https://www.nmra.gov.lk/,2026-09-08T23:50:39.643520+05:30
http,pass,Probe 4: HTTP 200 at https://www.nmra.gov.lk/,http://www.nmra.gov.lk/,2026-09-08T23:50:39.643523+05:30
http,pass,Probe 5: HTTP 200 at https://www.nmra.gov.lk/pages/market-control-division,https://www.nmra.gov.lk/pages/market-control-division,2026-09-08T23:50:39.643526+05:30
http,pass,Probe 6: HTTP 200 at https://www.nmra.gov.lk/contact-us,https://www.nmra.gov.lk/contact-us,2026-09-08T23:50:39.643529+05:30
http,pass,Probe 7: HTTP 200 at https://www.nmra.gov.lk/about-us,https://www.nmra.gov.lk/about-us,2026-09-08T23:50:39.643532+05:30
http,pass,Probe 8: HTTP 200 at https://www.nmra.gov.lk/regulatory,https://www.nmra.gov.lk/regulatory,2026-09-08T23:50:39.643535+05:30
http,pass,Probe 9: HTTP 200 at https://www.nmra.gov.lk/pages/medicines,https://www.nmra.gov.lk/pages/medicines,2026-09-08T23:50:39.643538+05:30
http,pass,Probe 10: HTTP 200 at https://www.nmra.gov.lk/pages/medical-devices,https://www.nmra.gov.lk/pages/medical-devices,2026-09-08T23:50:39.643540+05:30
http,pass,Probe 11: HTTP 200 at https://www.nmra.gov.lk/pages/borderline-products,https://www.nmra.gov.lk/pages/borderline-products,2026-09-08T23:50:39.643543+05:30
http,pass,Probe 12: HTTP 200 at https://www.nmra.gov.lk/pages/manufacturing-sites,https://www.nmra.gov.lk/pages/manufacturing-sites,2026-09-08T23:50:39.643546+05:30
http,pass,Probe 13: HTTP 200 at https://www.nmra.gov.lk/pages/cosmetics,https://www.nmra.gov.lk/pages/cosmetics,2026-09-08T23:50:39.643548+05:30
http,pass,Probe 14: HTTP 200 at https://www.nmra.gov.lk/pages/controlled-substances,https://www.nmra.gov.lk/pages/controlled-substances,2026-09-08T23:50:39.643551+05:30
phone,pass,Published phone: +94 11 2698897 ,https://www.nmra.gov.lk/,
phone,pass,Published phone: +94 11 2687743 ,https://www.nmra.gov.lk/,
phone,pass,Published phone: +94 11 2687744 ,https://www.nmra.gov.lk/,
phone,pass,Published phone: +94 11 2698896 ,https://www.nmra.gov.lk/,
email,pass,Published email: info@nmra.gov.lk,https://www.nmra.gov.lk/,
postal_address,pass,"Published postal address: , No. 130, W.A.D Ramanayaka Mawatha, Colombo 02, Sri Lanka",https://www.nmra.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.nmra.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://www.nmra.gov.lk/,
phone,pass,Published phone: +94 11 2698897 ,https://www.nmra.gov.lk/,
phone,pass,Published phone: +94 11 2687743 ,https://www.nmra.gov.lk/,
phone,pass,Published phone: +94 11 2687744 ,https://www.nmra.gov.lk/,
phone,pass,Published phone: +94 11 2698896 ,https://www.nmra.gov.lk/,
email,pass,Published email: info@nmra.gov.lk,https://www.nmra.gov.lk/,
postal_address,pass,"Published postal address: , No. 130, W.A.D Ramanayaka Mawatha, Colombo 02, Sri Lanka",https://www.nmra.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.nmra.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://www.nmra.gov.lk/,
phone,pass,Published phone: +94 11 2698897 ,https://www.nmra.gov.lk/,
phone,pass,Published phone: +94 11 2687743 ,https://www.nmra.gov.lk/,
phone,pass,Published phone: +94 11 2687744 ,https://www.nmra.gov.lk/,
phone,pass,Published phone: +94 11 2698896 ,https://www.nmra.gov.lk/,
email,pass,Published email: info@nmra.gov.lk,https://www.nmra.gov.lk/,
postal_address,pass,"Published postal address: , No. 130, W.A.D Ramanayaka Mawatha, Colombo 02, Sri Lanka",https://www.nmra.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.nmra.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://www.nmra.gov.lk/,
phone,pass,Published phone: +94 11 2698897 ,https://www.nmra.gov.lk/,
phone,pass,Published phone: +94 11 2687743 ,https://www.nmra.gov.lk/,
phone,pass,Published phone: +94 11 2687744 ,https://www.nmra.gov.lk/,
phone,pass,Published phone: +94 11 2698896 ,https://www.nmra.gov.lk/,
email,pass,Published email: info@nmra.gov.lk,https://www.nmra.gov.lk/,
postal_address,pass,"Published postal address: , No. 130, W.A.D Ramanayaka Mawatha, Colombo 02, Sri Lanka",https://www.nmra.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.nmra.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://www.nmra.gov.lk/,
phone,pass,Published phone: +94 11 2698897 ,https://www.nmra.gov.lk/pages/market-control-division,
phone,pass,Published phone: +94 11 2687743 ,https://www.nmra.gov.lk/pages/market-control-division,
phone,pass,Published phone: +94 11 2687744 ,https://www.nmra.gov.lk/pages/market-control-division,
phone,pass,Published phone: +94 11 2698896 ,https://www.nmra.gov.lk/pages/market-control-division,
email,pass,Published email: info@nmra.gov.lk,https://www.nmra.gov.lk/pages/market-control-division,
postal_address,pass,"Published postal address: , No. 130, W.A.D Ramanayaka Mawatha, Colombo 02, Sri Lanka",https://www.nmra.gov.lk/pages/market-control-division,
named_responsibility,pass,Published named responsibility: division,https://www.nmra.gov.lk/pages/market-control-division,
downloadable_form,pass,Published downloadable form: https://cdn.prod.website-files.com/666d0695ca3ba7fa496a5068/6788ae933b4fafc59d2053ba_2025.1.16-20250116115407.pdf,https://www.nmra.gov.lk/pages/market-control-division,
phone,pass,Published phone: +94 112 303 162 ,https://www.nmra.gov.lk/contact-us,
phone,pass,Published phone: 0112 698896,https://www.nmra.gov.lk/contact-us,
phone,pass,Published phone: 011-2689704 ,https://www.nmra.gov.lk/contact-us,
phone,pass,Published phone: +94 112 303 157 ,https://www.nmra.gov.lk/contact-us,
phone,pass,Published phone: +94 11 2698897 ,https://www.nmra.gov.lk/contact-us,
phone,pass,Published phone: +94 11 2698896 ,https://www.nmra.gov.lk/contact-us,
phone,pass,Published phone: +94 112 303 156 ,https://www.nmra.gov.lk/contact-us,
phone,pass,Published phone: +94 11 2687743 ,https://www.nmra.gov.lk/contact-us,
phone,pass,Published phone: 0112 695173,https://www.nmra.gov.lk/contact-us,
phone,pass,Published phone: +94 11 2687744 ,https://www.nmra.gov.lk/contact-us,
phone,pass,Published phone: 0112 698896 ,https://www.nmra.gov.lk/contact-us,
phone,pass,Published phone: 011-2687742 ,https://www.nmra.gov.lk/contact-us,
phone,pass,Published phone: +94 112 695 173 ,https://www.nmra.gov.lk/contact-us,
email,pass,Published email: cpa@nmra.gov.lk,https://www.nmra.gov.lk/contact-us,
email,pass,Published email: pa21@nmra.gov.lk,https://www.nmra.gov.lk/contact-us,
email,pass,Published email: lo@nmra.gov.lk,https://www.nmra.gov.lk/contact-us,
email,pass,Published email: it@nmra.gov.lk,https://www.nmra.gov.lk/contact-us,
email,pass,Published email: fpmdr@nmra.gov.lk,https://www.nmra.gov.lk/contact-us,
email,pass,Published email: info@nmra.gov.lk,https://www.nmra.gov.lk/contact-us,
email,pass,Published email: mfrd@nmra.gov.lk,https://www.nmra.gov.lk/contact-us,
email,pass,Published email: pharmacy@nmra.gov.lk,https://www.nmra.gov.lk/contact-us,
email,pass,Published email: bprd@nmra.gov.lk,https://www.nmra.gov.lk/contact-us,
email,pass,Published email: acc@nmra.gov.lk,https://www.nmra.gov.lk/contact-us,
email,pass,Published email: pricing@nmra.gov.lk,https://www.nmra.gov.lk/contact-us,
email,pass,Published email: hrdo@nmra.gov.lk,https://www.nmra.gov.lk/contact-us,
email,pass,Published email: ceo@nmra.gov.lk,https://www.nmra.gov.lk/contact-us,
email,pass,Published email: dr@nmra.gov.lk,https://www.nmra.gov.lk/contact-us,
email,pass,Published email: chairman@nmra.gov.lk,https://www.nmra.gov.lk/contact-us,
postal_address,pass,"Published postal address: , No. 130, W.A.D Ramanayaka Mawatha, Colombo 02, Sri Lanka",https://www.nmra.gov.lk/contact-us,
named_responsibility,pass,Published named responsibility: director,https://www.nmra.gov.lk/contact-us,
phone,pass,Published phone: +94 11 2698897 ,https://www.nmra.gov.lk/about-us,
phone,pass,Published phone: +94 11 2687743 ,https://www.nmra.gov.lk/about-us,
phone,pass,Published phone: +94 11 2687744 ,https://www.nmra.gov.lk/about-us,
phone,pass,Published phone: +94 11 2698896 ,https://www.nmra.gov.lk/about-us,
email,pass,Published email: pa17@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: pa16@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: pa25@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: pa19@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: aa17@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: pa14@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: pa8@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: aa8@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: aa16@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: aa15@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: pa2@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: pa31@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: aa18@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: aa21@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: pa13@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: P35@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: pa29@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: pa9@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: acc@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: fdi@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: aa11@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: aa22@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: cpa@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: pa4@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: info@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: aa1@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: pa6@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: aa4@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
email,pass,Published email: aa5@nmra.gov.lk,https://www.nmra.gov.lk/about-us,
