check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:36:18.467001+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:36:18.467021+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:36:18.855661+05:30
http,pass,Probe 1: HTTP 200 at https://nationalzoo.gov.lk/,https://nationalzoo.gov.lk/,2026-09-08T23:36:36.752998+05:30
http,pass,Probe 2: HTTP 200 at https://nationalzoo.gov.lk/,http://nationalzoo.gov.lk/,2026-09-08T23:36:36.753023+05:30
http,pass,Probe 3: HTTP 200 at https://nationalzoo.gov.lk/,https://nationalzoo.gov.lk/,2026-09-08T23:36:36.753027+05:30
http,pass,Probe 4: HTTP 200 at https://nationalzoo.gov.lk/,http://nationalzoo.gov.lk/,2026-09-08T23:36:36.753029+05:30
http,pass,Probe 5: HTTP 200 at https://nationalzoo.gov.lk/contact-us/,https://nationalzoo.gov.lk/contact-us/,2026-09-08T23:36:36.753032+05:30
http,pass,Probe 6: HTTP 200 at https://nationalzoo.gov.lk/zoological-gardens/,https://nationalzoo.gov.lk/zoological-gardens/,2026-09-08T23:36:36.753035+05:30
http,pass,Probe 7: HTTP 200 at https://nationalzoo.gov.lk/about-us/,https://nationalzoo.gov.lk/about-us/,2026-09-08T23:36:36.753037+05:30
http,pass,Probe 8: HTTP 200 at https://nationalzoo.gov.lk/dehiwala-zoo/,https://nationalzoo.gov.lk/dehiwala-zoo/,2026-09-08T23:36:36.753040+05:30
http,pass,Probe 9: HTTP 200 at https://nationalzoo.gov.lk/pinnawala-elephant-orphanage/,https://nationalzoo.gov.lk/pinnawala-elephant-orphanage/,2026-09-08T23:36:36.753042+05:30
http,pass,Probe 10: HTTP 200 at https://nationalzoo.gov.lk/pinnawala-zoo/,https://nationalzoo.gov.lk/pinnawala-zoo/,2026-09-08T23:36:36.753045+05:30
http,pass,Probe 11: HTTP 200 at https://nationalzoo.gov.lk/ridiyagama-safari-park/,https://nationalzoo.gov.lk/ridiyagama-safari-park/,2026-09-08T23:36:36.753048+05:30
http,pass,Probe 12: HTTP 200 at https://nationalzoo.gov.lk/ministry-of-environment/,https://nationalzoo.gov.lk/ministry-of-environment/,2026-09-08T23:36:36.753050+05:30
http,pass,Probe 13: HTTP 200 at https://nationalzoo.gov.lk/ova_por/,https://nationalzoo.gov.lk/ova_por/,2026-09-08T23:36:36.753053+05:30
http,pass,Probe 14: HTTP 200 at https://nationalzoo.gov.lk/events/,https://nationalzoo.gov.lk/events/,2026-09-08T23:36:36.753055+05:30
phone,pass,Published phone: 0112 712 752 ,https://nationalzoo.gov.lk/,
phone,pass,Published phone: 0112 712 752,https://nationalzoo.gov.lk/,
email,pass,Published email: zoosl@slt.lk,https://nationalzoo.gov.lk/,
postal_address,pass,"Published postal address: .text_link a:hover, .ova-contact-info.type2 .icon svg, .ova-contact-info.type2 .icon i, .sidebar .widget.recent-posts-wi",https://nationalzoo.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://nationalzoo.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://nationalzoo.gov.lk/,
phone,pass,Published phone: 0112 712 752 ,https://nationalzoo.gov.lk/,
phone,pass,Published phone: 0112 712 752,https://nationalzoo.gov.lk/,
email,pass,Published email: zoosl@slt.lk,https://nationalzoo.gov.lk/,
postal_address,pass,"Published postal address: .text_link a:hover, .ova-contact-info.type2 .icon svg, .ova-contact-info.type2 .icon i, .sidebar .widget.recent-posts-wi",https://nationalzoo.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://nationalzoo.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://nationalzoo.gov.lk/,
phone,pass,Published phone: 0112 712 752 ,https://nationalzoo.gov.lk/,
phone,pass,Published phone: 0112 712 752,https://nationalzoo.gov.lk/,
email,pass,Published email: zoosl@slt.lk,https://nationalzoo.gov.lk/,
postal_address,pass,"Published postal address: .text_link a:hover, .ova-contact-info.type2 .icon svg, .ova-contact-info.type2 .icon i, .sidebar .widget.recent-posts-wi",https://nationalzoo.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://nationalzoo.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://nationalzoo.gov.lk/,
phone,pass,Published phone: 0112 712 752 ,https://nationalzoo.gov.lk/,
phone,pass,Published phone: 0112 712 752,https://nationalzoo.gov.lk/,
email,pass,Published email: zoosl@slt.lk,https://nationalzoo.gov.lk/,
postal_address,pass,"Published postal address: .text_link a:hover, .ova-contact-info.type2 .icon svg, .ova-contact-info.type2 .icon i, .sidebar .widget.recent-posts-wi",https://nationalzoo.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://nationalzoo.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://nationalzoo.gov.lk/,
phone,pass,Published phone: +94 11 2877222,https://nationalzoo.gov.lk/contact-us/,
phone,pass,Published phone: 035 2 266 641 ,https://nationalzoo.gov.lk/contact-us/,
phone,pass,Published phone: +94112866932 ,https://nationalzoo.gov.lk/contact-us/,
phone,pass,Published phone: +94 11 2866633 ,https://nationalzoo.gov.lk/contact-us/,
phone,pass,Published phone: +94 11 2866616 ,https://nationalzoo.gov.lk/contact-us/,
phone,pass,Published phone: +94 11 2877222 ,https://nationalzoo.gov.lk/contact-us/,
phone,pass,Published phone: tel:0112712751,https://nationalzoo.gov.lk/contact-us/,
phone,pass,Published phone: #,https://nationalzoo.gov.lk/contact-us/,
phone,pass,Published phone: 035 2 266 116 ,https://nationalzoo.gov.lk/contact-us/,
phone,pass,Published phone: zoosl@slt.lk,https://nationalzoo.gov.lk/contact-us/,
phone,pass,Published phone: 011 2 712 751 ,https://nationalzoo.gov.lk/contact-us/,
phone,pass,Published phone: tel:0472030300,https://nationalzoo.gov.lk/contact-us/,
phone,pass,Published phone: 0112 712 752 ,https://nationalzoo.gov.lk/contact-us/,
phone,pass,Published phone: 035 2 262 313 ,https://nationalzoo.gov.lk/contact-us/,
phone,pass,Published phone: tel:035 2 266 116,https://nationalzoo.gov.lk/contact-us/,
phone,pass,Published phone: 0112712752,https://nationalzoo.gov.lk/contact-us/,
phone,pass,Published phone: 035 2 264 533 ,https://nationalzoo.gov.lk/contact-us/,
phone,pass,Published phone: 011 2 734 542 ,https://nationalzoo.gov.lk/contact-us/,
phone,pass,Published phone: 0112 712 752,https://nationalzoo.gov.lk/contact-us/,
phone,pass,Published phone: tel:035 2 266 641,https://nationalzoo.gov.lk/contact-us/,
phone,pass,Published phone: 047 2 030 300 ,https://nationalzoo.gov.lk/contact-us/,
email,pass,Published email: mailto:rsafaripark@gmail.com,https://nationalzoo.gov.lk/contact-us/,
email,pass,Published email: zoosl@slt.lk,https://nationalzoo.gov.lk/contact-us/,
email,pass,Published email: mailto:pinnawalazoo@gmail.com,https://nationalzoo.gov.lk/contact-us/,
email,pass,Published email: pinnawalazoo@gmail.com,https://nationalzoo.gov.lk/contact-us/,
email,pass,Published email: rsafaripark@gmail.com,https://nationalzoo.gov.lk/contact-us/,
email,pass,Published email: mailto:zoosl@slt.lk,https://nationalzoo.gov.lk/contact-us/,
email,pass,Published email: #,https://nationalzoo.gov.lk/contact-us/,
email,pass,Published email: sdcfpnle@gmail.com,https://nationalzoo.gov.lk/contact-us/,
email,pass,Published email: cgfsoffice@gmail.com,https://nationalzoo.gov.lk/contact-us/,
postal_address,pass,"Published postal address: .text_link a:hover, .ova-contact-info.type2 .icon svg, .ova-contact-info.type2 .icon i, .sidebar .widget.recent-posts-wi",https://nationalzoo.gov.lk/contact-us/,
named_responsibility,pass,Published named responsibility: department,https://nationalzoo.gov.lk/contact-us/,
fees_and_payment,pass,"Published fees and payment: rs,",https://nationalzoo.gov.lk/contact-us/,
phone,pass,Published phone: 0112712752,https://nationalzoo.gov.lk/zoological-gardens/,
phone,pass,Published phone: 0112 712 752 ,https://nationalzoo.gov.lk/zoological-gardens/,
phone,pass,Published phone: 0112 712 752,https://nationalzoo.gov.lk/zoological-gardens/,
email,pass,Published email: zoosl@slt.lk,https://nationalzoo.gov.lk/zoological-gardens/,
postal_address,pass,"Published postal address: .text_link a:hover, .ova-contact-info.type2 .icon svg, .ova-contact-info.type2 .icon i, .sidebar .widget.recent-posts-wi",https://nationalzoo.gov.lk/zoological-gardens/,
named_responsibility,pass,Published named responsibility: department,https://nationalzoo.gov.lk/zoological-gardens/,
fees_and_payment,pass,"Published fees and payment: rs,",https://nationalzoo.gov.lk/zoological-gardens/,
phone,pass,Published phone: 0112712752,https://nationalzoo.gov.lk/about-us/,
phone,pass,Published phone: 0112 712 752 ,https://nationalzoo.gov.lk/about-us/,
phone,pass,Published phone: 0112 712 752,https://nationalzoo.gov.lk/about-us/,
phone,pass,Published phone: 0554946814,https://nationalzoo.gov.lk/about-us/,
email,pass,Published email: zoosl@slt.lk,https://nationalzoo.gov.lk/about-us/,
postal_address,pass,"Published postal address: .text_link a:hover, .ova-contact-info.type2 .icon svg, .ova-contact-info.type2 .icon i, .sidebar .widget.recent-posts-wi",https://nationalzoo.gov.lk/about-us/,
named_responsibility,pass,Published named responsibility: director,https://nationalzoo.gov.lk/about-us/,
legal_basis,pass,Published legal basis: regulations,https://nationalzoo.gov.lk/about-us/,
fees_and_payment,pass,"Published fees and payment: rs,",https://nationalzoo.gov.lk/about-us/,
phone,pass,Published phone: 0112712752,https://nationalzoo.gov.lk/dehiwala-zoo/,
phone,pass,Published phone: 0112 712 752 ,https://nationalzoo.gov.lk/dehiwala-zoo/,
phone,pass,Published phone: 0112 712 752,https://nationalzoo.gov.lk/dehiwala-zoo/,
