check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:05:04.658120+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:05:04.658140+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:05:05.606178+05:30
http,pass,Probe 1: HTTP 200 at https://media.gov.lk/,https://media.gov.lk/,2026-09-09T00:05:28.622200+05:30
http,pass,Probe 2: HTTP 200 at https://media.gov.lk/,http://media.gov.lk/,2026-09-09T00:05:28.622222+05:30
http,pass,Probe 3: HTTP 200 at https://media.gov.lk/,https://media.gov.lk/,2026-09-09T00:05:28.622226+05:30
http,pass,Probe 4: HTTP 200 at https://media.gov.lk/,http://media.gov.lk/,2026-09-09T00:05:28.622228+05:30
http,pass,Probe 5: HTTP 200 at https://media.gov.lk/about-us/divisions-units/administration,https://media.gov.lk/about-us/divisions-units/administration,2026-09-09T00:05:28.622232+05:30
http,pass,Probe 6: HTTP 200 at https://media.gov.lk/about-us/divisions-units/development-planning,https://media.gov.lk/about-us/divisions-units/development-planning,2026-09-09T00:05:28.622234+05:30
http,pass,Probe 7: HTTP 200 at https://media.gov.lk/about-us/divisions-units/finance,https://media.gov.lk/about-us/divisions-units/finance,2026-09-09T00:05:28.622237+05:30
http,pass,Probe 8: HTTP 200 at https://media.gov.lk/about-us/divisions-units/media-unit,https://media.gov.lk/about-us/divisions-units/media-unit,2026-09-09T00:05:28.622240+05:30
http,pass,Probe 9: HTTP 200 at https://media.gov.lk/about-us/divisions-units/internal-audit,https://media.gov.lk/about-us/divisions-units/internal-audit,2026-09-09T00:05:28.622243+05:30
http,pass,Probe 10: HTTP 200 at https://media.gov.lk/about-us/divisions-units/right-to-information,https://media.gov.lk/about-us/divisions-units/right-to-information,2026-09-09T00:05:28.622246+05:30
http,pass,Probe 11: HTTP 200 at https://media.gov.lk/about-us/divisions-units/postal-branch,https://media.gov.lk/about-us/divisions-units/postal-branch,2026-09-09T00:05:28.622249+05:30
http,pass,Probe 12: HTTP 200 at https://media.gov.lk/institutions/1/department-of-government-printing,https://media.gov.lk/institutions/1/department-of-government-printing,2026-09-09T00:05:28.622252+05:30
http,pass,Probe 13: HTTP 200 at https://media.gov.lk/institutions/1/department-of-government-information,https://media.gov.lk/institutions/1/department-of-government-information,2026-09-09T00:05:28.622255+05:30
http,pass,Probe 14: HTTP 200 at https://media.gov.lk/institutions/2/department-of-government-printing-sri-lanka,https://media.gov.lk/institutions/2/department-of-government-printing-sri-lanka,2026-09-09T00:05:28.622257+05:30
phone,pass,Published phone: 011-2513 459,https://media.gov.lk/,
phone,pass,Published phone: 011-2513 498 ,https://media.gov.lk/,
phone,pass,Published phone: 011-2512 321,https://media.gov.lk/,
phone,pass,Published phone: 011-2513 460,https://media.gov.lk/,
email,pass,Published email: secretary@media.gov.lk,https://media.gov.lk/,
email,pass,Published email: info@media.gov.lk,https://media.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://media.gov.lk/,
phone,pass,Published phone: 011-2513 459,https://media.gov.lk/,
phone,pass,Published phone: 011-2513 498 ,https://media.gov.lk/,
phone,pass,Published phone: 011-2512 321,https://media.gov.lk/,
phone,pass,Published phone: 011-2513 460,https://media.gov.lk/,
email,pass,Published email: secretary@media.gov.lk,https://media.gov.lk/,
email,pass,Published email: info@media.gov.lk,https://media.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://media.gov.lk/,
phone,pass,Published phone: 011-2513 459,https://media.gov.lk/,
phone,pass,Published phone: 011-2513 498 ,https://media.gov.lk/,
phone,pass,Published phone: 011-2512 321,https://media.gov.lk/,
phone,pass,Published phone: 011-2513 460,https://media.gov.lk/,
email,pass,Published email: secretary@media.gov.lk,https://media.gov.lk/,
email,pass,Published email: info@media.gov.lk,https://media.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://media.gov.lk/,
phone,pass,Published phone: 011-2513 459,https://media.gov.lk/,
phone,pass,Published phone: 011-2513 498 ,https://media.gov.lk/,
phone,pass,Published phone: 011-2512 321,https://media.gov.lk/,
phone,pass,Published phone: 011-2513 460,https://media.gov.lk/,
email,pass,Published email: secretary@media.gov.lk,https://media.gov.lk/,
email,pass,Published email: info@media.gov.lk,https://media.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://media.gov.lk/,
phone,pass,Published phone: 011-251 2052 ,https://media.gov.lk/about-us/divisions-units/administration,
phone,pass,Published phone: 011-2512 524 ,https://media.gov.lk/about-us/divisions-units/administration,
phone,pass,Published phone: 011-251 2340 ,https://media.gov.lk/about-us/divisions-units/administration,
phone,pass,Published phone: 011-2513 498 ,https://media.gov.lk/about-us/divisions-units/administration,
phone,pass,Published phone: 011-251 631 0,https://media.gov.lk/about-us/divisions-units/administration,
phone,pass,Published phone: 011-2512052,https://media.gov.lk/about-us/divisions-units/administration,
phone,pass,Published phone: 011-2512 052 ,https://media.gov.lk/about-us/divisions-units/administration,
phone,pass,Published phone: 011-251 3462 ,https://media.gov.lk/about-us/divisions-units/administration,
phone,pass,Published phone: 011-2513398 ,https://media.gov.lk/about-us/divisions-units/administration,
phone,pass,Published phone: 002 011-251 2,https://media.gov.lk/about-us/divisions-units/administration,
phone,pass,Published phone: 011-251 3398 ,https://media.gov.lk/about-us/divisions-units/administration,
phone,pass,Published phone: 011-2512524 ,https://media.gov.lk/about-us/divisions-units/administration,
phone,pass,Published phone: 077-643 8590 ,https://media.gov.lk/about-us/divisions-units/administration,
phone,pass,Published phone: 011-251 3468 ,https://media.gov.lk/about-us/divisions-units/administration,
phone,pass,Published phone: 011-2513 459,https://media.gov.lk/about-us/divisions-units/administration,
phone,pass,Published phone: 011-2513468 ,https://media.gov.lk/about-us/divisions-units/administration,
phone,pass,Published phone: 011-2514632 ,https://media.gov.lk/about-us/divisions-units/administration,
phone,pass,Published phone: 011-2512 321,https://media.gov.lk/about-us/divisions-units/administration,
phone,pass,Published phone: 011-2513 460,https://media.gov.lk/about-us/divisions-units/administration,
email,pass,Published email: secretary@media.gov.lk,https://media.gov.lk/about-us/divisions-units/administration,
email,pass,Published email: adsecadmin@media.gov.lk,https://media.gov.lk/about-us/divisions-units/administration,
email,pass,Published email: legaloff@media.gov.lk,https://media.gov.lk/about-us/divisions-units/administration,
email,pass,Published email: sasadmin@media.gov.lk,https://media.gov.lk/about-us/divisions-units/administration,
email,pass,Published email: info@media.gov.lk,https://media.gov.lk/about-us/divisions-units/administration,
email,pass,Published email: asadmin@media.gov.lk,https://media.gov.lk/about-us/divisions-units/administration,
email,pass,Published email: trans.en.sin.2019@gmail.com,https://media.gov.lk/about-us/divisions-units/administration,
email,pass,Published email: admin@media.gov.lk,https://media.gov.lk/about-us/divisions-units/administration,
email,pass,Published email: mm.additionalsecretary@gmail.com,https://media.gov.lk/about-us/divisions-units/administration,
email,pass,Published email: addsec.admin@media.gov.lk,https://media.gov.lk/about-us/divisions-units/administration,
email,pass,Published email: sas.postal@media.gov.lk,https://media.gov.lk/about-us/divisions-units/administration,
named_responsibility,pass,Published named responsibility: director,https://media.gov.lk/about-us/divisions-units/administration,
legal_basis,pass,Published legal basis: regulations,https://media.gov.lk/about-us/divisions-units/administration,
phone,pass,Published phone: 011-2513 451 ,https://media.gov.lk/about-us/divisions-units/development-planning,
phone,pass,Published phone: 011-2512 343 ,https://media.gov.lk/about-us/divisions-units/development-planning,
phone,pass,Published phone: 011-2514 351 ,https://media.gov.lk/about-us/divisions-units/development-planning,
phone,pass,Published phone: 011-251 2843 ,https://media.gov.lk/about-us/divisions-units/development-planning,
phone,pass,Published phone: 011-251 4351 ,https://media.gov.lk/about-us/divisions-units/development-planning,
phone,pass,Published phone: 011-251 3466 ,https://media.gov.lk/about-us/divisions-units/development-planning,
phone,pass,Published phone: 011-2513 462 ,https://media.gov.lk/about-us/divisions-units/development-planning,
phone,pass,Published phone: 011-2513 459,https://media.gov.lk/about-us/divisions-units/development-planning,
phone,pass,Published phone: 011-2512 321,https://media.gov.lk/about-us/divisions-units/development-planning,
phone,pass,Published phone: 011-2513 498 ,https://media.gov.lk/about-us/divisions-units/development-planning,
phone,pass,Published phone: 011-2513 460,https://media.gov.lk/about-us/divisions-units/development-planning,
phone,pass,Published phone: 011-2513 943 ,https://media.gov.lk/about-us/divisions-units/development-planning,
phone,pass,Published phone: 011-2513 470 ,https://media.gov.lk/about-us/divisions-units/development-planning,
email,pass,Published email: adsecdev@media.gov.lk,https://media.gov.lk/about-us/divisions-units/development-planning,
email,pass,Published email: secretary@media.gov.lk,https://media.gov.lk/about-us/divisions-units/development-planning,
email,pass,Published email: asdev@media.gov.lk,https://media.gov.lk/about-us/divisions-units/development-planning,
email,pass,Published email: info@media.gov.lk,https://media.gov.lk/about-us/divisions-units/development-planning,
email,pass,Published email: ad.pl@media.gov.lk,https://media.gov.lk/about-us/divisions-units/development-planning,
email,pass,Published email: dir.dev@media.gov.lk,https://media.gov.lk/about-us/divisions-units/development-planning,
email,pass,Published email: dirplan@media.gov.lk,https://media.gov.lk/about-us/divisions-units/development-planning,
named_responsibility,pass,Published named responsibility: director,https://media.gov.lk/about-us/divisions-units/development-planning,
phone,pass,Published phone: 011-2513 459,https://media.gov.lk/about-us/divisions-units/finance,
phone,pass,Published phone: 011-2513 442 ,https://media.gov.lk/about-us/divisions-units/finance,
phone,pass,Published phone: 011-251 3464 ,https://media.gov.lk/about-us/divisions-units/finance,
phone,pass,Published phone: 011-251 3437 ,https://media.gov.lk/about-us/divisions-units/finance,
phone,pass,Published phone: 011-2513 498 ,https://media.gov.lk/about-us/divisions-units/finance,
phone,pass,Published phone: 011-2512 321,https://media.gov.lk/about-us/divisions-units/finance,
phone,pass,Published phone: 011-2513 460,https://media.gov.lk/about-us/divisions-units/finance,
email,pass,Published email: secretary@media.gov.lk,https://media.gov.lk/about-us/divisions-units/finance,
email,pass,Published email: kgvijinisena@gmail.com,https://media.gov.lk/about-us/divisions-units/finance,
email,pass,Published email: info@media.gov.lk,https://media.gov.lk/about-us/divisions-units/finance,
email,pass,Published email: ca@media.gov.lk,https://media.gov.lk/about-us/divisions-units/finance,
named_responsibility,pass,Published named responsibility: division,https://media.gov.lk/about-us/divisions-units/finance,
legal_basis,pass,Published legal basis: regulations,https://media.gov.lk/about-us/divisions-units/finance,
fees_and_payment,pass,"Published fees and payment: rs,",https://media.gov.lk/about-us/divisions-units/finance,
phone,pass,Published phone: 011-2513 459,https://media.gov.lk/about-us/divisions-units/media-unit,
phone,pass,Published phone: 011-2513 469 ,https://media.gov.lk/about-us/divisions-units/media-unit,
phone,pass,Published phone: 011-2513 498 ,https://media.gov.lk/about-us/divisions-units/media-unit,
phone,pass,Published phone: 011-2512 321,https://media.gov.lk/about-us/divisions-units/media-unit,
phone,pass,Published phone: 011-2513 460,https://media.gov.lk/about-us/divisions-units/media-unit,
email,pass,Published email: dirmedia@media.gov.lk,https://media.gov.lk/about-us/divisions-units/media-unit,
email,pass,Published email: secretary@media.gov.lk,https://media.gov.lk/about-us/divisions-units/media-unit,
email,pass,Published email: info@media.gov.lk,https://media.gov.lk/about-us/divisions-units/media-unit,
named_responsibility,pass,Published named responsibility: director,https://media.gov.lk/about-us/divisions-units/media-unit,
phone,pass,Published phone: 011-2513 459,https://media.gov.lk/about-us/divisions-units/internal-audit,
phone,pass,Published phone: 011-2513 498 ,https://media.gov.lk/about-us/divisions-units/internal-audit,
phone,pass,Published phone: 011-251 3735 ,https://media.gov.lk/about-us/divisions-units/internal-audit,
phone,pass,Published phone: 011-2512 321,https://media.gov.lk/about-us/divisions-units/internal-audit,
phone,pass,Published phone: 011-2513 460,https://media.gov.lk/about-us/divisions-units/internal-audit,
phone,pass,Published phone: 011-251 3497 ,https://media.gov.lk/about-us/divisions-units/internal-audit,
email,pass,Published email: secretary@media.gov.lk,https://media.gov.lk/about-us/divisions-units/internal-audit,
email,pass,Published email: info@media.gov.lk,https://media.gov.lk/about-us/divisions-units/internal-audit,
email,pass,Published email: cia@media.gov.lk,https://media.gov.lk/about-us/divisions-units/internal-audit,
named_responsibility,pass,Published named responsibility: division,https://media.gov.lk/about-us/divisions-units/internal-audit,
legal_basis,pass,Published legal basis: regulations,https://media.gov.lk/about-us/divisions-units/internal-audit,
phone,pass,Published phone: 011-2512 343 ,https://media.gov.lk/about-us/divisions-units/right-to-information,
phone,pass,Published phone: 011-2513 459,https://media.gov.lk/about-us/divisions-units/right-to-information,
phone,pass,Published phone: 011-2512 321,https://media.gov.lk/about-us/divisions-units/right-to-information,
phone,pass,Published phone: 011-2513 498 ,https://media.gov.lk/about-us/divisions-units/right-to-information,
phone,pass,Published phone: 011-2513 943 ,https://media.gov.lk/about-us/divisions-units/right-to-information,
phone,pass,Published phone: 011-2513 460,https://media.gov.lk/about-us/divisions-units/right-to-information,
email,pass,Published email: secretary@media.gov.lk,https://media.gov.lk/about-us/divisions-units/right-to-information,
email,pass,Published email: info@media.gov.lk,https://media.gov.lk/about-us/divisions-units/right-to-information,
named_responsibility,pass,Published named responsibility: division,https://media.gov.lk/about-us/divisions-units/right-to-information,
phone,pass,Published phone: 011-243 3999 ,https://media.gov.lk/about-us/divisions-units/postal-branch,
phone,pass,Published phone: 011-2513 459,https://media.gov.lk/about-us/divisions-units/postal-branch,
phone,pass,Published phone: 011-2513 498 ,https://media.gov.lk/about-us/divisions-units/postal-branch,
phone,pass,Published phone: 011-244 5333 ,https://media.gov.lk/about-us/divisions-units/postal-branch,
phone,pass,Published phone: 011-2512 321,https://media.gov.lk/about-us/divisions-units/postal-branch,
phone,pass,Published phone: 011-244 0288 ,https://media.gov.lk/about-us/divisions-units/postal-branch,
phone,pass,Published phone: 011-2513 460,https://media.gov.lk/about-us/divisions-units/postal-branch,
email,pass,Published email: secretary@media.gov.lk,https://media.gov.lk/about-us/divisions-units/postal-branch,
email,pass,Published email: info@media.gov.lk,https://media.gov.lk/about-us/divisions-units/postal-branch,
email,pass,Published email: addsec.postal@media.gov.lk,https://media.gov.lk/about-us/divisions-units/postal-branch,
email,pass,Published email: sas.postal@media.gov.lk,https://media.gov.lk/about-us/divisions-units/postal-branch,
named_responsibility,pass,Published named responsibility: division,https://media.gov.lk/about-us/divisions-units/postal-branch,
legal_basis,pass,Published legal basis: regulations,https://media.gov.lk/about-us/divisions-units/postal-branch,
fees_and_payment,pass,"Published fees and payment: rs,",https://media.gov.lk/about-us/divisions-units/postal-branch,
phone,pass,Published phone: 011-2513 459,https://media.gov.lk/institutions/1/department-of-government-printing,
phone,pass,Published phone: 0112698653 ,https://media.gov.lk/institutions/1/department-of-government-printing,
phone,pass,Published phone: 0112694733-,https://media.gov.lk/institutions/1/department-of-government-printing,
phone,pass,Published phone: 011-2513 498 ,https://media.gov.lk/institutions/1/department-of-government-printing,
phone,pass,Published phone: 011-2512 321,https://media.gov.lk/institutions/1/department-of-government-printing,
phone,pass,Published phone: 011-2513 460,https://media.gov.lk/institutions/1/department-of-government-printing,
email,pass,Published email: secretary@media.gov.lk,https://media.gov.lk/institutions/1/department-of-government-printing,
email,pass,Published email: info@media.gov.lk,https://media.gov.lk/institutions/1/department-of-government-printing,
postal_address,pass,Published postal address: is being protected from spambots. You need JavaScript enabled to view it. document.getElementById('cloak973f559d36a1ac4b,https://media.gov.lk/institutions/1/department-of-government-printing,
named_responsibility,pass,Published named responsibility: division,https://media.gov.lk/institutions/1/department-of-government-printing,
