check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:54:43.544055+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:54:43.544072+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:54:43.571360+05:30
http,pass,Probe 1: HTTP 200 at https://www.languagesdept.gov.lk/,https://www.languagesdept.gov.lk/,2026-09-08T23:54:56.884980+05:30
http,pass,Probe 2: HTTP 200 at http://www.languagesdept.gov.lk/,http://www.languagesdept.gov.lk/,2026-09-08T23:54:56.886760+05:30
http,pass,Probe 3: HTTP 200 at https://www.languagesdept.gov.lk/,https://www.languagesdept.gov.lk/,2026-09-08T23:54:56.886784+05:30
http,pass,Probe 4: HTTP 200 at http://www.languagesdept.gov.lk/,http://www.languagesdept.gov.lk/,2026-09-08T23:54:56.886787+05:30
http,pass,Probe 5: HTTP 200 at https://www.languagesdept.gov.lk/web/index.php?lang=si,https://www.languagesdept.gov.lk/web/index.php?lang=si,2026-09-08T23:54:56.886791+05:30
http,pass,Probe 6: HTTP 200 at https://www.languagesdept.gov.lk/web/index.php?lang=ta,https://www.languagesdept.gov.lk/web/index.php?lang=ta,2026-09-08T23:54:56.886795+05:30
http,pass,Probe 7: HTTP 200 at https://www.languagesdept.gov.lk/web/index.php?lang=en,https://www.languagesdept.gov.lk/web/index.php?lang=en,2026-09-08T23:54:56.886798+05:30
http,pass,Probe 8: HTTP 200 at http://www.languagesdept.gov.lk/web/index.php?lang=si,http://www.languagesdept.gov.lk/web/index.php?lang=si,2026-09-08T23:54:56.886801+05:30
http,pass,Probe 9: HTTP 200 at http://www.languagesdept.gov.lk/web/index.php?lang=ta,http://www.languagesdept.gov.lk/web/index.php?lang=ta,2026-09-08T23:54:56.886805+05:30
http,pass,Probe 10: HTTP 200 at http://www.languagesdept.gov.lk/web/index.php?lang=en,http://www.languagesdept.gov.lk/web/index.php?lang=en,2026-09-08T23:54:56.886808+05:30
http,pass,Probe 11: HTTP 200 at https://www.languagesdept.gov.lk/web/index.php?option=com_content&view=featured&Itemid=101&lang=en,https://www.languagesdept.gov.lk/web/index.php?option=com_content&view=featured&Itemid=101&lang=en,2026-09-08T23:54:56.886817+05:30
http,pass,Probe 12: HTTP 200 at https://www.languagesdept.gov.lk/web/index.php?option=com_content&view=featured&Itemid=101&lang=ta,https://www.languagesdept.gov.lk/web/index.php?option=com_content&view=featured&Itemid=101&lang=ta,2026-09-08T23:54:56.886820+05:30
http,pass,Probe 13: HTTP 200 at https://www.languagesdept.gov.lk/web/index.php?option=com_content&view=featured&Itemid=101&lang=si,https://www.languagesdept.gov.lk/web/index.php?option=com_content&view=featured&Itemid=101&lang=si,2026-09-08T23:54:56.886823+05:30
http,pass,Probe 14: HTTP 200 at https://www.languagesdept.gov.lk/web/index.php?option=com_content&view=article&id=9&Itemid=128&lang=si,https://www.languagesdept.gov.lk/web/index.php?option=com_content&view=article&id=9&Itemid=128&lang=si,2026-09-08T23:54:56.886826+05:30
named_responsibility,pass,Published named responsibility: department,https://www.languagesdept.gov.lk/,
named_responsibility,pass,Published named responsibility: department,http://www.languagesdept.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://www.languagesdept.gov.lk/,
named_responsibility,pass,Published named responsibility: department,http://www.languagesdept.gov.lk/,
phone,pass,Published phone: 023 2022 202,https://www.languagesdept.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: +94 112 888 935,https://www.languagesdept.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: +94 112 888 934 ,https://www.languagesdept.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: 026 2025 202,https://www.languagesdept.gov.lk/web/index.php?lang=si,
email,pass,Published email: languages.dept.ad04@gmail.com,https://www.languagesdept.gov.lk/web/index.php?lang=si,
legal_basis,pass,Published legal basis: circular,https://www.languagesdept.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: 023 2022 202,https://www.languagesdept.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: +94 112 888 935,https://www.languagesdept.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: +94 112 888 934 ,https://www.languagesdept.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: 026 2025 202,https://www.languagesdept.gov.lk/web/index.php?lang=ta,
email,pass,Published email: languages.dept.ad04@gmail.com,https://www.languagesdept.gov.lk/web/index.php?lang=ta,
named_responsibility,pass,Published named responsibility: division,https://www.languagesdept.gov.lk/web/index.php?lang=ta,
legal_basis,pass,Published legal basis: circular,https://www.languagesdept.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: 023 2022 202,https://www.languagesdept.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: +94 112 888 935,https://www.languagesdept.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: +94 112 888 934 ,https://www.languagesdept.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 026 2025 202,https://www.languagesdept.gov.lk/web/index.php?lang=en,
email,pass,Published email: languages.dept.ad04@gmail.com,https://www.languagesdept.gov.lk/web/index.php?lang=en,
postal_address,pass,"Published postal address: “Bhasha Mandiraya”, No 341/7, Kotte Road, Rajagiriya, Sri Lanka. Phone & Email +94 112 888 934 languages.dept.ad04@gmail",https://www.languagesdept.gov.lk/web/index.php?lang=en,
named_responsibility,pass,Published named responsibility: division,https://www.languagesdept.gov.lk/web/index.php?lang=en,
legal_basis,pass,Published legal basis: circular,https://www.languagesdept.gov.lk/web/index.php?lang=en,
fees_and_payment,pass,"Published fees and payment: rs,",https://www.languagesdept.gov.lk/web/index.php?lang=en,
published_update_date,pass,Published published update date: 07 July 2026,https://www.languagesdept.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 023 2022 202,http://www.languagesdept.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: +94 112 888 935,http://www.languagesdept.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: +94 112 888 934 ,http://www.languagesdept.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: 026 2025 202,http://www.languagesdept.gov.lk/web/index.php?lang=si,
email,pass,Published email: languages.dept.ad04@gmail.com,http://www.languagesdept.gov.lk/web/index.php?lang=si,
legal_basis,pass,Published legal basis: circular,http://www.languagesdept.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: 023 2022 202,http://www.languagesdept.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: +94 112 888 935,http://www.languagesdept.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: +94 112 888 934 ,http://www.languagesdept.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: 026 2025 202,http://www.languagesdept.gov.lk/web/index.php?lang=ta,
email,pass,Published email: languages.dept.ad04@gmail.com,http://www.languagesdept.gov.lk/web/index.php?lang=ta,
named_responsibility,pass,Published named responsibility: division,http://www.languagesdept.gov.lk/web/index.php?lang=ta,
legal_basis,pass,Published legal basis: circular,http://www.languagesdept.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: 023 2022 202,http://www.languagesdept.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: +94 112 888 935,http://www.languagesdept.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: +94 112 888 934 ,http://www.languagesdept.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 026 2025 202,http://www.languagesdept.gov.lk/web/index.php?lang=en,
email,pass,Published email: languages.dept.ad04@gmail.com,http://www.languagesdept.gov.lk/web/index.php?lang=en,
