check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:28:01.213779+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:28:01.213799+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:28:01.233550+05:30
http,pass,Probe 1: HTTP 200 at https://www.slt.lk/,https://www.slt.lk/,2026-09-08T23:28:16.502548+05:30
http,pass,Probe 2: HTTP 200 at https://www.slt.lk/,http://www.slt.lk/,2026-09-08T23:28:16.502572+05:30
http,pass,Probe 3: HTTP 200 at https://www.slt.lk/,https://www.slt.lk/,2026-09-08T23:28:16.502576+05:30
http,pass,Probe 4: HTTP 200 at https://www.slt.lk/,http://www.slt.lk/,2026-09-08T23:28:16.502578+05:30
http,pass,Probe 5: HTTP 200 at https://www.slt.lk/home,https://www.slt.lk/home,2026-09-08T23:28:16.502581+05:30
http,pass,Probe 6: HTTP 200 at https://www.slt.lk/en/personal/internet/hosting-services/services-and-pricing,https://www.slt.lk/en/personal/internet/hosting-services/services-and-pricing,2026-09-08T23:28:16.502584+05:30
http,pass,Probe 7: HTTP 200 at https://www.slt.lk/en/business/digital-services,https://www.slt.lk/en/business/digital-services,2026-09-08T23:28:16.502586+05:30
http,pass,Probe 8: HTTP 200 at https://www.slt.lk/en/business/products/akaza-lms-services,https://www.slt.lk/en/business/products/akaza-lms-services,2026-09-08T23:28:16.502589+05:30
http,pass,Probe 9: HTTP 200 at https://www.slt.lk/en/sme-micro-business/data-center-cloud-services,https://www.slt.lk/en/sme-micro-business/data-center-cloud-services,2026-09-08T23:28:16.502592+05:30
http,pass,Probe 10: HTTP 200 at https://www.slt.lk/en/business/products/telephone-services,https://www.slt.lk/en/business/products/telephone-services,2026-09-08T23:28:16.502594+05:30
http,pass,Probe 11: HTTP 200 at https://www.slt.lk/en/business/products/contact-center-chatbots,https://www.slt.lk/en/business/products/contact-center-chatbots,2026-09-08T23:28:16.502597+05:30
http,pass,Probe 12: HTTP 200 at https://www.slt.lk/en/business/sme/managed-services,https://www.slt.lk/en/business/sme/managed-services,2026-09-08T23:28:16.502599+05:30
http,pass,Probe 13: HTTP 200 at https://www.slt.lk/en/business/service-request,https://www.slt.lk/en/business/service-request,2026-09-08T23:28:16.502601+05:30
http,pass,Probe 14: HTTP 200 at https://www.slt.lk/en/contact-us/general-feed-back,https://www.slt.lk/en/contact-us/general-feed-back,2026-09-08T23:28:16.502604+05:30
phone,pass,Published phone: 0953465528,https://www.slt.lk/home,
named_responsibility,pass,Published named responsibility: director,https://www.slt.lk/home,
legal_basis,pass,Published legal basis: circular,https://www.slt.lk/home,
fees_and_payment,pass,"Published fees and payment: rs,",https://www.slt.lk/home,
phone,pass,Published phone: 0953465528,https://www.slt.lk/en/personal/internet/hosting-services/services-and-pricing,
named_responsibility,pass,Published named responsibility: director,https://www.slt.lk/en/personal/internet/hosting-services/services-and-pricing,
legal_basis,pass,Published legal basis: circular,https://www.slt.lk/en/personal/internet/hosting-services/services-and-pricing,
named_responsibility,pass,Published named responsibility: director,https://www.slt.lk/en/business/digital-services,
named_responsibility,pass,Published named responsibility: director,https://www.slt.lk/en/business/products/akaza-lms-services,
phone,pass,Published phone: 0953465528,https://www.slt.lk/en/sme-micro-business/data-center-cloud-services,
named_responsibility,pass,Published named responsibility: director,https://www.slt.lk/en/sme-micro-business/data-center-cloud-services,
legal_basis,pass,Published legal basis: circular,https://www.slt.lk/en/sme-micro-business/data-center-cloud-services,
named_responsibility,pass,Published named responsibility: director,https://www.slt.lk/en/business/products/telephone-services,
fees_and_payment,pass,"Published fees and payment: Rs.1,500",https://www.slt.lk/en/business/products/telephone-services,
processing_time,pass,Published processing time: 03 months,https://www.slt.lk/en/business/products/telephone-services,
postal_address,pass,Published postal address: a large number of people located in your premises through sound amplification and distribution system. Video Door Phone ,https://www.slt.lk/en/business/products/contact-center-chatbots,
named_responsibility,pass,Published named responsibility: director,https://www.slt.lk/en/business/products/contact-center-chatbots,
named_responsibility,pass,Published named responsibility: director,https://www.slt.lk/en/business/sme/managed-services,
named_responsibility,pass,Published named responsibility: director,https://www.slt.lk/en/business/service-request,
phone,pass,Published phone: 0953465528,https://www.slt.lk/en/contact-us/general-feed-back,
phone,pass,Published phone: 0136984222,https://www.slt.lk/en/contact-us/general-feed-back,
phone,pass,Published phone: +94 112 12 12 12 ,https://www.slt.lk/en/contact-us/general-feed-back,
phone,pass,Published phone: +94 112 021 000 ,https://www.slt.lk/en/contact-us/general-feed-back,
email,pass,Published email: pr@slt.lk,https://www.slt.lk/en/contact-us/general-feed-back,
email,pass,Published email: 1212@slt.com.lk,https://www.slt.lk/en/contact-us/general-feed-back,
postal_address,pass,Published postal address: Line 1 Address Line 2 City State/Province/Region Country SLT Telephone Email Web Type of query - None - Billing Issues /,https://www.slt.lk/en/contact-us/general-feed-back,
named_responsibility,pass,Published named responsibility: director,https://www.slt.lk/en/contact-us/general-feed-back,
legal_basis,pass,Published legal basis: circular,https://www.slt.lk/en/contact-us/general-feed-back,
page_text,pass,Substantive page content: 12496 visible characters across 14 pages,https://www.slt.lk/,
