check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:07:22.764402+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:07:22.764421+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:07:22.866149+05:30
http,pass,Probe 1: HTTP 200 at https://www.presidentsoffice.gov.lk/,https://www.presidentsoffice.gov.lk/,2026-09-09T00:07:45.147188+05:30
http,pass,Probe 2: HTTP 200 at https://www.presidentsoffice.gov.lk/,http://www.presidentsoffice.gov.lk/,2026-09-09T00:07:45.147210+05:30
http,pass,Probe 3: HTTP 200 at https://www.presidentsoffice.gov.lk/,https://www.presidentsoffice.gov.lk/,2026-09-09T00:07:45.147214+05:30
http,pass,Probe 4: HTTP 200 at https://www.presidentsoffice.gov.lk/,http://www.presidentsoffice.gov.lk/,2026-09-09T00:07:45.147217+05:30
http,pass,Probe 5: HTTP 200 at https://www.presidentsoffice.gov.lk/contact/,https://www.presidentsoffice.gov.lk/contact/,2026-09-09T00:07:45.147219+05:30
http,pass,Probe 6: HTTP 200 at https://www.presidentsoffice.gov.lk/contact/,https://www.presidentsoffice.gov.lk/contact,2026-09-09T00:07:45.147222+05:30
http,pass,Probe 7: HTTP 200 at https://www.presidentsoffice.gov.lk/news/,https://www.presidentsoffice.gov.lk/news/,2026-09-09T00:07:45.147225+05:30
http,pass,Probe 8: HTTP 200 at https://www.presidentsoffice.gov.lk/,https://presidentsoffice.gov.lk,2026-09-09T00:07:45.147228+05:30
http,pass,Probe 9: HTTP 200 at https://www.presidentsoffice.gov.lk/president/,https://www.presidentsoffice.gov.lk/president,2026-09-09T00:07:45.147231+05:30
http,pass,Probe 10: HTTP 200 at https://www.presidentsoffice.gov.lk/administration/,https://www.presidentsoffice.gov.lk/administration,2026-09-09T00:07:45.147234+05:30
http,pass,Probe 11: HTTP 200 at https://www.presidentsoffice.gov.lk/news/,https://www.presidentsoffice.gov.lk/news,2026-09-09T00:07:45.147237+05:30
http,pass,Probe 12: HTTP 200 at https://www.presidentsoffice.gov.lk/documents/,https://www.presidentsoffice.gov.lk/documents,2026-09-09T00:07:45.147239+05:30
http,pass,Probe 13: HTTP 200 at https://www.presidentsoffice.gov.lk/president/current/,https://www.presidentsoffice.gov.lk/president/current/,2026-09-09T00:07:45.147242+05:30
http,pass,Probe 14: HTTP 200 at https://www.presidentsoffice.gov.lk/president/former/,https://www.presidentsoffice.gov.lk/president/former/,2026-09-09T00:07:45.147244+05:30
phone,pass,Published phone: +94 (0) 11 2 354 35,https://www.presidentsoffice.gov.lk/,
phone,pass,Published phone: +94-11-2-354-354,https://www.presidentsoffice.gov.lk/,
phone,pass,Published phone: +94 (0) 11 2 340 34,https://www.presidentsoffice.gov.lk/,
phone,pass,Published phone: +94-11-2-340-340,https://www.presidentsoffice.gov.lk/,
email,pass,Published email: ps@presidentsoffice.lk,https://www.presidentsoffice.gov.lk/,
postal_address,pass,"Published postal address: President's Office Presidential Secretariat, Galle Face, Colombo 01, Sri Lanka",https://www.presidentsoffice.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.presidentsoffice.gov.lk/,
legal_basis,pass,Published legal basis: gazette,https://www.presidentsoffice.gov.lk/,
phone,pass,Published phone: +94 (0) 11 2 354 35,https://www.presidentsoffice.gov.lk/,
phone,pass,Published phone: +94-11-2-354-354,https://www.presidentsoffice.gov.lk/,
phone,pass,Published phone: +94 (0) 11 2 340 34,https://www.presidentsoffice.gov.lk/,
phone,pass,Published phone: +94-11-2-340-340,https://www.presidentsoffice.gov.lk/,
