check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:08:11.717667+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:08:11.717688+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:08:11.762422+05:30
http,pass,Probe 1: HTTP 200 at https://www.cabinetoffice.gov.lk/,https://www.cabinetoffice.gov.lk/,2026-09-09T00:08:31.665506+05:30
http,pass,Probe 2: HTTP 200 at https://www.cabinetoffice.gov.lk/,http://www.cabinetoffice.gov.lk/,2026-09-09T00:08:31.665529+05:30
http,pass,Probe 3: HTTP 200 at https://www.cabinetoffice.gov.lk/,https://www.cabinetoffice.gov.lk/,2026-09-09T00:08:31.665532+05:30
http,pass,Probe 4: HTTP 200 at https://www.cabinetoffice.gov.lk/,http://www.cabinetoffice.gov.lk/,2026-09-09T00:08:31.665535+05:30
http,pass,Probe 5: HTTP 200 at https://www.cabinetoffice.gov.lk/cab/index.php?lang=si,http://www.cabinetoffice.gov.lk/cab/index.php?lang=si,2026-09-09T00:08:31.665538+05:30
http,pass,Probe 6: HTTP 200 at https://www.cabinetoffice.gov.lk/cab/index.php?lang=ta,http://www.cabinetoffice.gov.lk/cab/index.php?lang=ta,2026-09-09T00:08:31.665540+05:30
http,pass,Probe 7: HTTP 200 at https://www.cabinetoffice.gov.lk/cab/index.php?lang=en,http://www.cabinetoffice.gov.lk/cab/index.php?lang=en,2026-09-09T00:08:31.665543+05:30
http,pass,Probe 8: HTTP 200 at https://www.cabinetoffice.gov.lk/cab/index.php,https://www.cabinetoffice.gov.lk/cab/index.php,2026-09-09T00:08:31.665546+05:30
http,pass,Probe 9: HTTP 200 at https://www.cabinetoffice.gov.lk/cab/index.php?lang=ta,https://www.cabinetoffice.gov.lk/cab/index.php?lang=ta,2026-09-09T00:08:31.665548+05:30
http,pass,Probe 10: HTTP 200 at https://www.cabinetoffice.gov.lk/cab/index.php?lang=en,https://www.cabinetoffice.gov.lk/cab/index.php?lang=en,2026-09-09T00:08:31.665551+05:30
