check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:06:15.679353+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:06:15.679375+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:06:15.851763+05:30
http,pass,Probe 1: HTTP 200 at https://labourmin.gov.lk/,https://www.labourmin.gov.lk/,2026-09-09T00:06:42.711426+05:30
http,pass,Probe 2: HTTP 200 at https://labourmin.gov.lk/,http://www.labourmin.gov.lk/,2026-09-09T00:06:42.711454+05:30
http,pass,Probe 3: HTTP 200 at https://labourmin.gov.lk/,https://www.labourmin.gov.lk/,2026-09-09T00:06:42.711458+05:30
http,pass,Probe 4: HTTP 200 at https://labourmin.gov.lk/,http://www.labourmin.gov.lk/,2026-09-09T00:06:42.711460+05:30
http,pass,Probe 5: HTTP 200 at https://labourmin.gov.lk/divisions/,https://labourmin.gov.lk/divisions/,2026-09-09T00:06:42.711463+05:30
http,pass,Probe 6: HTTP 200 at https://labourmin.gov.lk/contact/,https://labourmin.gov.lk/contact/,2026-09-09T00:06:42.711465+05:30
http,pass,Probe 7: HTTP 200 at https://labourmin.gov.lk/office-of-the-commissioner-for-workmens-compensation/,https://labourmin.gov.lk/office-of-the-commissioner-for-workmens-compensation/,2026-09-09T00:06:42.711468+05:30
http,pass,Probe 8: HTTP 200 at https://labourmin.gov.lk/ministry-information/,https://labourmin.gov.lk/ministry-information/,2026-09-09T00:06:42.711470+05:30
http,pass,Probe 9: HTTP 200 at https://labourmin.gov.lk/officials/,https://labourmin.gov.lk/officials/,2026-09-09T00:06:42.711473+05:30
http,pass,Probe 10: HTTP 200 at https://labourmin.gov.lk/organizational-chart/,https://labourmin.gov.lk/organizational-chart/,2026-09-09T00:06:42.711475+05:30
http,pass,Probe 11: HTTP 200 at https://labourmin.gov.lk/institutions/,https://labourmin.gov.lk/institutions/,2026-09-09T00:06:42.711478+05:30
http,pass,Probe 12: HTTP 200 at https://labourmin.gov.lk/wp-content/uploads/2025/11/%E0%B6%B4%E0%B7%94%E0%B6%BB%E0%B7%80%E0%B7%90%E0%B7%83%E0%B7%92-%E0%B7%83%E0%B7%9A%E0%B7%80%E0%B7%8F%E0%B6%BD%E0%B6%B7%E0%B7%93-%E0%B6%B4%E0%B7%8A_%E0%B6%BB%E0%B6%A5%E0%B6%B4%E0%B7%8A%E0%B6%AD%E0%B7%92%E0%B6%BA-%E0%B6%B6%E0%B7%8F%E0%B7%84%E0%B7%92%E0%B6%BB-%E0%B7%83%E0%B7%9A%E0%B7%80%E0%B7%8F%E0%B6%BD%E0%B7%8F%E0%B6%B7%E0%B7%93%E0%B6%B1%E0%B7%8A.pdf,https://labourmin.gov.lk/wp-content/uploads/2025/11/පුරවැසි-සේවාලභී-ප්_රඥප්තිය-බාහිර-සේවාලාභීන්.pdf,2026-09-09T00:06:42.711481+05:30
http,pass,Probe 13: HTTP 200 at https://labourmin.gov.lk/policy/,https://labourmin.gov.lk/policy/,2026-09-09T00:06:42.711483+05:30
http,pass,Probe 14: HTTP 200 at https://labourmin.gov.lk/acts/,https://labourmin.gov.lk/acts/,2026-09-09T00:06:42.711486+05:30
phone,pass,Published phone: 0912866999,https://labourmin.gov.lk/,
phone,pass,Published phone: +94) 11 2581991 ( ,https://labourmin.gov.lk/,
phone,pass,Published phone: +94) 11 2368165 ,https://labourmin.gov.lk/,
phone,pass,Published phone: 0000000000,https://labourmin.gov.lk/,
phone,pass,Published phone: 0539140313,https://labourmin.gov.lk/,
phone,pass,Published phone: 0954586231,https://labourmin.gov.lk/,
phone,pass,Published phone: 0212707519,https://labourmin.gov.lk/,
phone,pass,Published phone: 0904559600,https://labourmin.gov.lk/,
phone,pass,Published phone: 0852956771,https://labourmin.gov.lk/,
phone,pass,Published phone: 0.104370117,https://labourmin.gov.lk/,
phone,pass,Published phone: 0000008180,https://labourmin.gov.lk/,
email,pass,Published email: info@labourmin.gov.lk,https://labourmin.gov.lk/,
postal_address,pass,"Published postal address: Symposium NLAC Contact us 6th floor,Mehewara Piyasa, Narahenpita, Colombo 05, Sri Lanka",https://labourmin.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://labourmin.gov.lk/,
