check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:54:58.563293+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:54:58.563312+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:54:58.604603+05:30
http,pass,Probe 1: HTTP 200 at https://ld.gov.lk/index.php?lang=en,https://ld.gov.lk/,2026-09-08T23:55:21.053309+05:30
http,pass,Probe 2: HTTP 200 at https://ld.gov.lk/index.php?lang=en,http://ld.gov.lk/,2026-09-08T23:55:21.053331+05:30
http,pass,Probe 3: HTTP 200 at https://ld.gov.lk/index.php?lang=en,https://ld.gov.lk/,2026-09-08T23:55:21.053335+05:30
http,pass,Probe 4: HTTP 200 at https://ld.gov.lk/index.php?lang=en,http://ld.gov.lk/,2026-09-08T23:55:21.053339+05:30
http,pass,Probe 5: HTTP 200 at https://ld.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=en,https://ld.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=en,2026-09-08T23:55:21.053342+05:30
http,pass,Probe 6: HTTP 200 at https://ld.gov.lk/index.php?option=com_content&view=article&id=4&Itemid=126&lang=en,https://ld.gov.lk/index.php?option=com_content&view=article&id=4&Itemid=126&lang=en,2026-09-08T23:55:21.053345+05:30
http,pass,Probe 7: HTTP 200 at https://ld.gov.lk/index.php?option=com_content&view=article&id=5&Itemid=127&lang=en,https://ld.gov.lk/index.php?option=com_content&view=article&id=5&Itemid=127&lang=en,2026-09-08T23:55:21.053347+05:30
http,pass,Probe 8: HTTP 200 at https://ld.gov.lk/index.php?option=com_content&view=article&id=7&Itemid=129&lang=en,https://ld.gov.lk/index.php?option=com_content&view=article&id=7&Itemid=129&lang=en,2026-09-08T23:55:21.053350+05:30
http,pass,Probe 9: HTTP 200 at https://ld.gov.lk/index.php?option=com_content&view=article&id=2&Itemid=103&lang=en,https://ld.gov.lk/index.php?option=com_content&view=article&id=2&Itemid=103&lang=en,2026-09-08T23:55:21.053352+05:30
http,pass,Probe 10: HTTP 200 at https://ld.gov.lk/index.php?option=com_content&view=article&id=6&Itemid=132&lang=en,https://ld.gov.lk/index.php?option=com_content&view=article&id=6&Itemid=132&lang=en,2026-09-08T23:55:21.053355+05:30
http,pass,Probe 11: HTTP 200 at https://ld.gov.lk/index.php?option=com_content&view=article&id=12&Itemid=147&lang=en,https://ld.gov.lk/index.php?option=com_content&view=article&id=12&Itemid=147&lang=en,2026-09-08T23:55:21.053358+05:30
http,pass,Probe 12: HTTP 200 at https://ld.gov.lk/index.php?option=com_contact&view=contact&id=1&Itemid=104&lang=en,https://ld.gov.lk/index.php?option=com_contact&view=contact&id=1&Itemid=104&lang=en,2026-09-08T23:55:21.053361+05:30
http,pass,Probe 13: HTTP 200 at https://ld.gov.lk/index.php?option=com_content&view=article&id=13&Itemid=149&lang=en,https://ld.gov.lk/index.php?option=com_content&view=article&id=13&Itemid=149&lang=en,2026-09-08T23:55:21.053363+05:30
http,pass,Probe 14: HTTP 200 at https://ld.gov.lk/index.php?option=com_xmap&view=html&Itemid=105&lang=en,https://ld.gov.lk/index.php?option=com_xmap&view=html&Itemid=105&lang=en,2026-09-08T23:55:21.053366+05:30
named_responsibility,pass,Published named responsibility: director,https://ld.gov.lk/index.php?lang=en,
legal_basis,pass,Published legal basis: gazette,https://ld.gov.lk/index.php?lang=en,
published_update_date,fail,Published published update date: 03 July 2021,https://ld.gov.lk/index.php?lang=en,
named_responsibility,pass,Published named responsibility: director,https://ld.gov.lk/index.php?lang=en,
legal_basis,pass,Published legal basis: gazette,https://ld.gov.lk/index.php?lang=en,
