check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:40:26.181412+05:30
domain_registration,pass,Domain registered,,2026-09-08T23:40:26.181418+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:40:26.782888+05:30
http,pass,Probe 1: HTTP 200 at https://www.psmpa.com/,https://www.psmpa.com/,2026-09-08T23:40:53.427020+05:30
http,pass,Probe 2: HTTP 200 at http://www.psmpa.com/,http://www.psmpa.com/,2026-09-08T23:40:53.427040+05:30
http,pass,Probe 3: HTTP 200 at https://www.psmpa.com/,https://www.psmpa.com/,2026-09-08T23:40:53.427044+05:30
http,pass,Probe 4: HTTP 200 at http://www.psmpa.com/,http://www.psmpa.com/,2026-09-08T23:40:53.427047+05:30
http,pass,Probe 5: HTTP 200 at https://www.psmpa.com/contactus.php?manuitem=contactus,https://www.psmpa.com/contactus.php?manuitem=contactus,2026-09-08T23:40:53.427050+05:30
http,pass,Probe 6: HTTP 200 at https://www.psmpa.com/ulogin.php,https://www.psmpa.com/ulogin.php,2026-09-08T23:40:53.427052+05:30
http,pass,Probe 7: HTTP 200 at https://www.psmpa.com/index.php?manuitem=home,https://www.psmpa.com/index.php?manuitem=home,2026-09-08T23:40:53.427055+05:30
http,pass,Probe 8: HTTP 200 at https://www.psmpa.com/about.php?manuitem=about,https://www.psmpa.com/about.php?manuitem=about,2026-09-08T23:40:53.427058+05:30
http,pass,Probe 9: HTTP 200 at https://www.psmpa.com/benifits.php?manuitem=benifits,https://www.psmpa.com/benifits.php?manuitem=benifits,2026-09-08T23:40:53.427060+05:30
http,pass,Probe 10: HTTP 200 at https://www.psmpa.com/commitee.php?manuitem=commitee,https://www.psmpa.com/commitee.php?manuitem=commitee,2026-09-08T23:40:53.427063+05:30
http,pass,Probe 11: HTTP 200 at https://www.psmpa.com/memins.php?manuitem=memins,https://www.psmpa.com/memins.php?manuitem=memins,2026-09-08T23:40:53.427066+05:30
http,pass,Probe 12: HTTP 200 at https://www.psmpa.com/loanpro.php?manuitem=loanpro,https://www.psmpa.com/loanpro.php?manuitem=loanpro,2026-09-08T23:40:53.427068+05:30
http,pass,Probe 13: HTTP 200 at https://www.psmpa.com/downloads.php?manuitem=downloads,https://www.psmpa.com/downloads.php?manuitem=downloads,2026-09-08T23:40:53.427071+05:30
http,pass,Probe 14: HTTP 200 at https://www.psmpa.com/holidayresort.php?manuitem=holidayresort,https://www.psmpa.com/holidayresort.php?manuitem=holidayresort,2026-09-08T23:40:53.427073+05:30
phone,pass,Published phone: 0112665229 ,https://www.psmpa.com/contactus.php?manuitem=contactus,
phone,pass,Published phone: 0112665226,https://www.psmpa.com/contactus.php?manuitem=contactus,
phone,pass,Published phone: 011 2683044,https://www.psmpa.com/contactus.php?manuitem=contactus,
phone,pass,Published phone: 011 2665202,https://www.psmpa.com/contactus.php?manuitem=contactus,
phone,pass,Published phone: 011 2683000 ,https://www.psmpa.com/contactus.php?manuitem=contactus,
phone,pass,Published phone: 011 2665200,https://www.psmpa.com/contactus.php?manuitem=contactus,
email,pass,Published email: psmpa@sltnet.lk,https://www.psmpa.com/contactus.php?manuitem=contactus,
email,pass,Published email: psmpaoffice@gmail.com,https://www.psmpa.com/contactus.php?manuitem=contactus,
postal_address,pass,"Published postal address: Public Service Mutual Provident Association P.O. Box 150, ""PSMPA Nivahana"", 155/5, Castle Street, Colombo 08, Sri Lanka.",https://www.psmpa.com/contactus.php?manuitem=contactus,
phone,pass,Published phone: 011-2683000,https://www.psmpa.com/about.php?manuitem=about,
phone,pass,Published phone: 011-2665228 ,https://www.psmpa.com/about.php?manuitem=about,
phone,pass,Published phone: 011-2685300,https://www.psmpa.com/about.php?manuitem=about,
email,pass,Published email: psmpa@sltnet.lk,https://www.psmpa.com/about.php?manuitem=about,
postal_address,pass,"Published postal address: 155/5, Castle Street, Colombo 8. Contact : Tel:011-2683000/ 011-2685300/ 011-2665228 Email : psmpa@sltnet.lk Website : w",https://www.psmpa.com/about.php?manuitem=about,
fees_and_payment,pass,"Published fees and payment: Rs.2500,000",https://www.psmpa.com/benifits.php?manuitem=benifits,
named_responsibility,pass,Published named responsibility: department,https://www.psmpa.com/commitee.php?manuitem=commitee,
named_responsibility,pass,Published named responsibility: director,https://www.psmpa.com/memins.php?manuitem=memins,
fees_and_payment,pass,Published fees and payment: rs 0036,https://www.psmpa.com/memins.php?manuitem=memins,
