check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:06:22.315985+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:06:22.316005+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:06:22.425799+05:30
http,pass,Probe 1: HTTP 200 at https://mbs.gov.lk/,https://mbs.gov.lk/,2026-09-09T00:06:37.536510+05:30
http,pass,Probe 2: HTTP 200 at https://mbs.gov.lk/,http://mbs.gov.lk/,2026-09-09T00:06:37.536531+05:30
http,pass,Probe 3: HTTP 200 at https://mbs.gov.lk/,https://mbs.gov.lk/,2026-09-09T00:06:37.536534+05:30
http,pass,Probe 4: HTTP 200 at https://mbs.gov.lk/,http://mbs.gov.lk/,2026-09-09T00:06:37.536537+05:30
http,pass,Probe 5: HTTP 200 at https://mbs.gov.lk/web/,https://mbs.gov.lk/web/,2026-09-09T00:06:37.536540+05:30
http,pass,Probe 6: HTTP 200 at https://mbs.gov.lk/web/?page_id=1513&lang=si,https://mbs.gov.lk/web/?page_id=1513&lang=si,2026-09-09T00:06:37.536542+05:30
http,pass,Probe 7: HTTP 200 at https://mbs.gov.lk/web/?page_id=120&lang=ta,https://mbs.gov.lk/web/?page_id=120&lang=ta,2026-09-09T00:06:37.536545+05:30
http,pass,Probe 8: HTTP 200 at https://mbs.gov.lk/web/?page_id=1273,https://mbs.gov.lk/web/?page_id=1273,2026-09-09T00:06:37.536547+05:30
http,pass,Probe 9: HTTP 200 at https://mbs.gov.lk/web/?page_id=263,https://mbs.gov.lk/web/?page_id=263,2026-09-09T00:06:37.536550+05:30
http,pass,Probe 10: HTTP 200 at https://mbs.gov.lk/web/?page_id=155,https://mbs.gov.lk/web/?page_id=155,2026-09-09T00:06:37.536553+05:30
http,pass,Probe 11: HTTP 200 at https://mbs.gov.lk/web/?page_id=179,https://mbs.gov.lk/web/?page_id=179,2026-09-09T00:06:37.536555+05:30
http,pass,Probe 12: HTTP 200 at https://mbs.gov.lk/web/?page_id=181,https://mbs.gov.lk/web/?page_id=181,2026-09-09T00:06:37.536558+05:30
http,pass,Probe 13: HTTP 200 at https://mbs.gov.lk/web/?page_id=183,https://mbs.gov.lk/web/?page_id=183,2026-09-09T00:06:37.536560+05:30
