check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:26:03.888237+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:26:03.888256+05:30
tls,error,timed out,,2026-09-08T23:26:13.898932+05:30
http,error,Probe 1: timed out,https://nacwc.gov.lk/,2026-09-08T23:27:25.094857+05:30
http,pass,Probe 2: HTTP 200 at http://nacwc.gov.lk/,http://nacwc.gov.lk/,2026-09-08T23:27:25.094881+05:30
http,error,Probe 3: timed out,https://nacwc.gov.lk/,2026-09-08T23:27:25.094885+05:30
http,pass,Probe 4: HTTP 200 at http://nacwc.gov.lk/,http://nacwc.gov.lk/,2026-09-08T23:27:25.094888+05:30
http,pass,Probe 5: HTTP 200 at http://nacwc.gov.lk/index.php,http://nacwc.gov.lk/index.php,2026-09-08T23:27:25.094891+05:30
http,pass,Probe 6: HTTP 200 at http://nacwc.gov.lk/index.php?page=vision&lang=en,http://nacwc.gov.lk/index.php?page=vision&lang=en,2026-09-08T23:27:25.094894+05:30
http,pass,Probe 7: HTTP 200 at http://nacwc.gov.lk/index.php?page=mission&lang=en,http://nacwc.gov.lk/index.php?page=mission&lang=en,2026-09-08T23:27:25.094897+05:30
http,pass,Probe 8: HTTP 200 at http://nacwc.gov.lk/index.php?page=overview&lang=en,http://nacwc.gov.lk/index.php?page=overview&lang=en,2026-09-08T23:27:25.094900+05:30
http,pass,Probe 9: HTTP 200 at http://nacwc.gov.lk/index.php?page=organization&lang=en,http://nacwc.gov.lk/index.php?page=organization&lang=en,2026-09-08T23:27:25.094902+05:30
http,pass,Probe 10: HTTP 200 at http://nacwc.gov.lk/index.php?page=strategic-partners&lang=en,http://nacwc.gov.lk/index.php?page=strategic-partners&lang=en,2026-09-08T23:27:25.094905+05:30
http,pass,Probe 11: HTTP 200 at http://nacwc.gov.lk/index.php?page=contact-details&lang=en,http://nacwc.gov.lk/index.php?page=contact-details&lang=en,2026-09-08T23:27:25.094908+05:30
