check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:41:18.719035+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:41:18.719053+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:41:19.948172+05:30
http,pass,Probe 1: HTTP 200 at https://wbb.gov.lk/,https://wbb.gov.lk/,2026-09-08T23:41:45.632475+05:30
http,pass,Probe 2: HTTP 200 at https://wbb.gov.lk/,http://wbb.gov.lk/,2026-09-08T23:41:45.632498+05:30
http,pass,Probe 3: HTTP 200 at https://wbb.gov.lk/,https://wbb.gov.lk/,2026-09-08T23:41:45.632501+05:30
http,pass,Probe 4: HTTP 200 at https://wbb.gov.lk/,http://wbb.gov.lk/,2026-09-08T23:41:45.632504+05:30
http,pass,Probe 5: HTTP 200 at https://wbb.gov.lk/contact,http://wbb.gov.lk/contact,2026-09-08T23:41:45.632507+05:30
http,pass,Probe 6: HTTP 200 at https://wbb.gov.lk/,http://wbb.gov.lk,2026-09-08T23:41:45.632509+05:30
http,pass,Probe 7: HTTP 200 at https://wbb.gov.lk/AboutUs,http://wbb.gov.lk/AboutUs,2026-09-08T23:41:45.632512+05:30
http,pass,Probe 8: HTTP 200 at https://wbb.gov.lk/web/media,http://wbb.gov.lk/web/media,2026-09-08T23:41:45.632515+05:30
http,pass,Probe 9: HTTP 200 at https://wbb.gov.lk/Publications,http://wbb.gov.lk/Publications,2026-09-08T23:41:45.632518+05:30
http,pass,Probe 10: HTTP 200 at https://wbb.gov.lk/web/form,http://wbb.gov.lk/web/form,2026-09-08T23:41:45.632521+05:30
http,pass,Probe 11: HTTP 200 at https://wbb.gov.lk/web/public/issues,http://wbb.gov.lk/web/public/issues,2026-09-08T23:41:45.632523+05:30
http,pass,Probe 12: HTTP 200 at https://wbb.gov.lk/si/home,http://wbb.gov.lk/si/home,2026-09-08T23:41:45.632526+05:30
http,pass,Probe 13: HTTP 200 at https://wbb.gov.lk/ta/home,http://wbb.gov.lk/ta/home,2026-09-08T23:41:45.632528+05:30
http,pass,Probe 14: HTTP 200 at https://wbb.gov.lk/en/home,http://wbb.gov.lk/en/home,2026-09-08T23:41:45.632531+05:30
email,pass,Published email: info@iwms.wbb.gov.lk,https://wbb.gov.lk/,
postal_address,pass,Published postal address: the implementation of aswesuma and other welfare benefits. The discussion focused on current issues encountered and pote,https://wbb.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://wbb.gov.lk/,
legal_basis,pass,Published legal basis: circular,https://wbb.gov.lk/,
email,pass,Published email: info@iwms.wbb.gov.lk,https://wbb.gov.lk/,
postal_address,pass,Published postal address: the implementation of aswesuma and other welfare benefits. The discussion focused on current issues encountered and pote,https://wbb.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://wbb.gov.lk/,
legal_basis,pass,Published legal basis: circular,https://wbb.gov.lk/,
email,pass,Published email: info@iwms.wbb.gov.lk,https://wbb.gov.lk/,
postal_address,pass,Published postal address: the implementation of aswesuma and other welfare benefits. The discussion focused on current issues encountered and pote,https://wbb.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://wbb.gov.lk/,
legal_basis,pass,Published legal basis: circular,https://wbb.gov.lk/,
email,pass,Published email: info@iwms.wbb.gov.lk,https://wbb.gov.lk/,
postal_address,pass,Published postal address: the implementation of aswesuma and other welfare benefits. The discussion focused on current issues encountered and pote,https://wbb.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://wbb.gov.lk/,
legal_basis,pass,Published legal basis: circular,https://wbb.gov.lk/,
email,pass,Published email: ,https://wbb.gov.lk/contact,
email,pass,Published email: info@iwms.wbb.gov.lk,https://wbb.gov.lk/contact,
email,pass,Published email: welfarebenefitboard2016@gmail.com,https://wbb.gov.lk/contact,
email,pass,Published email: asscomm.itdev.wbb@mo.treasury.gov.lk,https://wbb.gov.lk/contact,
email,pass,Published email: commissioner.wbb@gmail.com,https://wbb.gov.lk/contact,
email,pass,Published email: commissioner.wbb@mo.treasury.gov.lk,https://wbb.gov.lk/contact,
email,pass,Published email: asscomm.fin.wbb.@mo.treasury.gov.lk,https://wbb.gov.lk/contact,
postal_address,pass,"Published postal address: R. Jayawardena Centre, 191, Srimath Anagarika Dharmapala Mawatha, Colombo 07, Sri Lanka",https://wbb.gov.lk/contact,
email,pass,Published email: info@iwms.wbb.gov.lk,https://wbb.gov.lk/,
postal_address,pass,Published postal address: the implementation of aswesuma and other welfare benefits. The discussion focused on current issues encountered and pote,https://wbb.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://wbb.gov.lk/,
legal_basis,pass,Published legal basis: circular,https://wbb.gov.lk/,
phone,pass,Published phone: +94 714479793 ,https://wbb.gov.lk/AboutUs,
email,pass,Published email: commissioner.wbb@gmail.com,https://wbb.gov.lk/AboutUs,
email,pass,Published email: info@iwms.wbb.gov.lk,https://wbb.gov.lk/AboutUs,
email,pass,Published email: riznaanees284@gmail.com,https://wbb.gov.lk/AboutUs,
email,pass,Published email: commissioner.wbb@mo.treasury.gov.lk,https://wbb.gov.lk/AboutUs,
named_responsibility,pass,Published named responsibility: division,https://wbb.gov.lk/AboutUs,
eligibility_criteria,pass,Published eligibility criteria: eligibility,https://wbb.gov.lk/AboutUs,
legal_basis,pass,Published legal basis: gazette,https://wbb.gov.lk/AboutUs,
email,pass,Published email: info@iwms.wbb.gov.lk,https://wbb.gov.lk/web/media,
email,pass,Published email: info@iwms.wbb.gov.lk,https://wbb.gov.lk/Publications,
named_responsibility,pass,Published named responsibility: division,https://wbb.gov.lk/Publications,
legal_basis,pass,Published legal basis: regulations,https://wbb.gov.lk/Publications,
fees_and_payment,pass,Published fees and payment: rs 04,https://wbb.gov.lk/Publications,
downloadable_form,pass,Published downloadable form: http://wbb.gov.lk/backend/assets/publications/01.Publication_of_Contract_Awards_Information_Kit_2024.02.08.pdf,https://wbb.gov.lk/Publications,
email,pass,Published email: info@iwms.wbb.gov.lk,https://wbb.gov.lk/web/form,
named_responsibility,pass,Published named responsibility: division,https://wbb.gov.lk/web/form,
downloadable_form,pass,Published downloadable form: http://wbb.gov.lk/backend/assets/publications/sinhala_application_new.pdf,https://wbb.gov.lk/web/form,
email,pass,Published email: info@iwms.wbb.gov.lk,https://wbb.gov.lk/web/public/issues,
named_responsibility,pass,Published named responsibility: division,https://wbb.gov.lk/web/public/issues,
email,pass,Published email: info@iwms.wbb.gov.lk,https://wbb.gov.lk/si/home,
legal_basis,pass,Published legal basis: circular,https://wbb.gov.lk/si/home,
email,pass,Published email: info@iwms.wbb.gov.lk,https://wbb.gov.lk/ta/home,
email,pass,Published email: info@iwms.wbb.gov.lk,https://wbb.gov.lk/en/home,
postal_address,pass,Published postal address: the implementation of aswesuma and other welfare benefits. The discussion focused on current issues encountered and pote,https://wbb.gov.lk/en/home,
named_responsibility,pass,Published named responsibility: division,https://wbb.gov.lk/en/home,
legal_basis,pass,Published legal basis: circular,https://wbb.gov.lk/en/home,
page_text,pass,Substantive page content: 12977 visible characters across 14 pages,https://wbb.gov.lk/,
