check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:41:18.489013+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:41:18.489031+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:41:20.005403+05:30
http,pass,Probe 1: HTTP 200 at https://www.sdc.gov.lk/,https://www.sdc.gov.lk/,2026-09-08T23:41:35.188733+05:30
http,pass,Probe 2: HTTP 200 at https://www.sdc.gov.lk/,http://www.sdc.gov.lk/,2026-09-08T23:41:35.188756+05:30
http,pass,Probe 3: HTTP 200 at https://www.sdc.gov.lk/,https://www.sdc.gov.lk/,2026-09-08T23:41:35.188760+05:30
http,pass,Probe 4: HTTP 200 at https://www.sdc.gov.lk/,http://www.sdc.gov.lk/,2026-09-08T23:41:35.188763+05:30
http,pass,Probe 5: HTTP 200 at https://www.sdc.gov.lk/en/contact,https://www.sdc.gov.lk/en/contact,2026-09-08T23:41:35.188765+05:30
http,pass,Probe 6: HTTP 200 at https://www.sdc.gov.lk/en,https://www.sdc.gov.lk/en,2026-09-08T23:41:35.188768+05:30
http,pass,Probe 7: HTTP 200 at https://www.sdc.gov.lk/si,https://www.sdc.gov.lk/si,2026-09-08T23:41:35.188771+05:30
http,pass,Probe 8: HTTP 200 at https://www.sdc.gov.lk/ta,https://www.sdc.gov.lk/ta,2026-09-08T23:41:35.188773+05:30
http,pass,Probe 9: HTTP 200 at https://www.sdc.gov.lk/en/,https://www.sdc.gov.lk/en/,2026-09-08T23:41:35.188776+05:30
http,pass,Probe 10: HTTP 200 at https://www.sdc.gov.lk/en/about,https://www.sdc.gov.lk/en/about,2026-09-08T23:41:35.188778+05:30
http,pass,Probe 11: HTTP 200 at https://www.sdc.gov.lk/en/leadership,https://www.sdc.gov.lk/en/leadership,2026-09-08T23:41:35.188781+05:30
http,pass,Probe 12: HTTP 200 at https://www.sdc.gov.lk/en/chairman,https://www.sdc.gov.lk/en/chairman,2026-09-08T23:41:35.188783+05:30
http,pass,Probe 13: HTTP 200 at https://www.sdc.gov.lk/en/director-general,https://www.sdc.gov.lk/en/director-general,2026-09-08T23:41:35.188786+05:30
http,pass,Probe 14: HTTP 200 at https://www.sdc.gov.lk/en/council-members,https://www.sdc.gov.lk/en/council-members,2026-09-08T23:41:35.188788+05:30
phone,pass,Published phone: +94 11 288 5241 ,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94 11 288 5164 ,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94112885241,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94112885164,https://www.sdc.gov.lk/,
email,pass,Published email: info@sdcsl.lk,https://www.sdc.gov.lk/,
email,pass,Published email: info@sdc.gov.lk,https://www.sdc.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94 11 288 5241 ,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94 11 288 5164 ,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94112885241,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94112885164,https://www.sdc.gov.lk/,
email,pass,Published email: info@sdcsl.lk,https://www.sdc.gov.lk/,
email,pass,Published email: info@sdc.gov.lk,https://www.sdc.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94 11 288 5241 ,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94 11 288 5164 ,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94112885241,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94112885164,https://www.sdc.gov.lk/,
email,pass,Published email: info@sdcsl.lk,https://www.sdc.gov.lk/,
email,pass,Published email: info@sdc.gov.lk,https://www.sdc.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94 11 288 5241 ,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94 11 288 5164 ,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94112885241,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94112885164,https://www.sdc.gov.lk/,
email,pass,Published email: info@sdcsl.lk,https://www.sdc.gov.lk/,
email,pass,Published email: info@sdc.gov.lk,https://www.sdc.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.sdc.gov.lk/,
phone,pass,Published phone: +94 11 288 5241 ,https://www.sdc.gov.lk/en/contact,
phone,pass,Published phone: +94 11 288 5164 ,https://www.sdc.gov.lk/en/contact,
phone,pass,Published phone: +94112885241,https://www.sdc.gov.lk/en/contact,
phone,pass,Published phone: +94112885164,https://www.sdc.gov.lk/en/contact,
email,pass,Published email: info@sdcsl.lk,https://www.sdc.gov.lk/en/contact,
email,pass,Published email: info@sdc.gov.lk,https://www.sdc.gov.lk/en/contact,
postal_address,pass,"Published postal address: 2nd Floor, Lake House Building, D.R Wijayawardana MW, Colombo 10, Sri Lanka",https://www.sdc.gov.lk/en/contact,
named_responsibility,pass,Published named responsibility: director,https://www.sdc.gov.lk/en/contact,
phone,pass,Published phone: +94 11 288 5241 ,https://www.sdc.gov.lk/en,
phone,pass,Published phone: +94 11 288 5164 ,https://www.sdc.gov.lk/en,
phone,pass,Published phone: +94112885241,https://www.sdc.gov.lk/en,
phone,pass,Published phone: +94112885164,https://www.sdc.gov.lk/en,
email,pass,Published email: info@sdcsl.lk,https://www.sdc.gov.lk/en,
email,pass,Published email: info@sdc.gov.lk,https://www.sdc.gov.lk/en,
named_responsibility,pass,Published named responsibility: director,https://www.sdc.gov.lk/en,
phone,pass,Published phone: +94 11 288 5241 ,https://www.sdc.gov.lk/si,
phone,pass,Published phone: +94 11 288 5164 ,https://www.sdc.gov.lk/si,
phone,pass,Published phone: +94112885241,https://www.sdc.gov.lk/si,
phone,pass,Published phone: +94112885164,https://www.sdc.gov.lk/si,
email,pass,Published email: info@sdcsl.lk,https://www.sdc.gov.lk/si,
email,pass,Published email: info@sdc.gov.lk,https://www.sdc.gov.lk/si,
named_responsibility,pass,Published named responsibility: director,https://www.sdc.gov.lk/si,
phone,pass,Published phone: +94 11 288 5241 ,https://www.sdc.gov.lk/ta,
phone,pass,Published phone: +94 11 288 5164 ,https://www.sdc.gov.lk/ta,
phone,pass,Published phone: +94112885241,https://www.sdc.gov.lk/ta,
phone,pass,Published phone: +94112885164,https://www.sdc.gov.lk/ta,
email,pass,Published email: info@sdcsl.lk,https://www.sdc.gov.lk/ta,
email,pass,Published email: info@sdc.gov.lk,https://www.sdc.gov.lk/ta,
named_responsibility,pass,Published named responsibility: director,https://www.sdc.gov.lk/ta,
phone,pass,Published phone: +94 11 288 5241 ,https://www.sdc.gov.lk/en/,
phone,pass,Published phone: +94 11 288 5164 ,https://www.sdc.gov.lk/en/,
phone,pass,Published phone: +94112885241,https://www.sdc.gov.lk/en/,
phone,pass,Published phone: +94112885164,https://www.sdc.gov.lk/en/,
email,pass,Published email: info@sdcsl.lk,https://www.sdc.gov.lk/en/,
email,pass,Published email: info@sdc.gov.lk,https://www.sdc.gov.lk/en/,
named_responsibility,pass,Published named responsibility: director,https://www.sdc.gov.lk/en/,
phone,pass,Published phone: +94 11 288 5241 ,https://www.sdc.gov.lk/en/about,
phone,pass,Published phone: +94 11 288 5164 ,https://www.sdc.gov.lk/en/about,
phone,pass,Published phone: +94112885241,https://www.sdc.gov.lk/en/about,
phone,pass,Published phone: +94112885164,https://www.sdc.gov.lk/en/about,
email,pass,Published email: info@sdcsl.lk,https://www.sdc.gov.lk/en/about,
email,pass,Published email: info@sdc.gov.lk,https://www.sdc.gov.lk/en/about,
named_responsibility,pass,Published named responsibility: director,https://www.sdc.gov.lk/en/about,
phone,pass,Published phone: +94 11 288 5241 ,https://www.sdc.gov.lk/en/leadership,
phone,pass,Published phone: +94 11 288 5164 ,https://www.sdc.gov.lk/en/leadership,
phone,pass,Published phone: +94112885241,https://www.sdc.gov.lk/en/leadership,
phone,pass,Published phone: +94112885164,https://www.sdc.gov.lk/en/leadership,
email,pass,Published email: info@sdcsl.lk,https://www.sdc.gov.lk/en/leadership,
email,pass,Published email: info@sdc.gov.lk,https://www.sdc.gov.lk/en/leadership,
named_responsibility,pass,Published named responsibility: director,https://www.sdc.gov.lk/en/leadership,
phone,pass,Published phone: +94 11 288 5241 ,https://www.sdc.gov.lk/en/chairman,
phone,pass,Published phone: +94 11 288 5164 ,https://www.sdc.gov.lk/en/chairman,
phone,pass,Published phone: +94112885241,https://www.sdc.gov.lk/en/chairman,
phone,pass,Published phone: +94112885164,https://www.sdc.gov.lk/en/chairman,
email,pass,Published email: info@sdcsl.lk,https://www.sdc.gov.lk/en/chairman,
email,pass,Published email: info@sdc.gov.lk,https://www.sdc.gov.lk/en/chairman,
named_responsibility,pass,Published named responsibility: director,https://www.sdc.gov.lk/en/chairman,
phone,pass,Published phone: +94 11 288 5241 ,https://www.sdc.gov.lk/en/director-general,
phone,pass,Published phone: +94 11 288 5164 ,https://www.sdc.gov.lk/en/director-general,
phone,pass,Published phone: +94112885241,https://www.sdc.gov.lk/en/director-general,
phone,pass,Published phone: +94112885164,https://www.sdc.gov.lk/en/director-general,
email,pass,Published email: info@sdcsl.lk,https://www.sdc.gov.lk/en/director-general,
email,pass,Published email: info@sdc.gov.lk,https://www.sdc.gov.lk/en/director-general,
named_responsibility,pass,Published named responsibility: director,https://www.sdc.gov.lk/en/director-general,
phone,pass,Published phone: +94 11 288 5241 ,https://www.sdc.gov.lk/en/council-members,
phone,pass,Published phone: +94 11 288 5164 ,https://www.sdc.gov.lk/en/council-members,
phone,pass,Published phone: +94112885241,https://www.sdc.gov.lk/en/council-members,
phone,pass,Published phone: +94112885164,https://www.sdc.gov.lk/en/council-members,
