check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:03:36.004012+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:03:36.004031+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:03:36.568179+05:30
http,pass,Probe 1: HTTP 200 at https://www.landdevelopment.lk/,https://www.landdevelopment.lk/,2026-09-09T00:04:14.179292+05:30
http,pass,Probe 2: HTTP 200 at https://www.landdevelopment.lk/,http://www.landdevelopment.lk/,2026-09-09T00:04:14.179315+05:30
http,pass,Probe 3: HTTP 200 at https://www.landdevelopment.lk/,https://www.landdevelopment.lk/,2026-09-09T00:04:14.179319+05:30
http,pass,Probe 4: HTTP 200 at https://www.landdevelopment.lk/,http://www.landdevelopment.lk/,2026-09-09T00:04:14.179322+05:30
http,pass,Probe 5: HTTP 200 at https://www.landdevelopment.lk/services/,https://www.landdevelopment.lk/services/,2026-09-09T00:04:14.179324+05:30
http,pass,Probe 6: HTTP 200 at https://www.landdevelopment.lk/construction-services/,https://www.landdevelopment.lk/construction-services/,2026-09-09T00:04:14.179327+05:30
http,pass,Probe 7: HTTP 200 at https://www.landdevelopment.lk/consultancy-services/,https://www.landdevelopment.lk/consultancy-services/,2026-09-09T00:04:14.179330+05:30
http,pass,Probe 8: HTTP 200 at https://www.landdevelopment.lk/lrdc-services/,https://www.landdevelopment.lk/lrdc-services/,2026-09-09T00:04:14.179333+05:30
http,pass,Probe 9: HTTP 200 at https://www.landdevelopment.lk/divisions/,https://www.landdevelopment.lk/divisions/,2026-09-09T00:04:14.179335+05:30
http,pass,Probe 10: HTTP 200 at https://www.landdevelopment.lk/urban-water-management-division/,https://www.landdevelopment.lk/urban-water-management-division/,2026-09-09T00:04:14.179338+05:30
http,pass,Probe 11: HTTP 200 at https://www.landdevelopment.lk/other-divisions/,https://www.landdevelopment.lk/other-divisions/,2026-09-09T00:04:14.179341+05:30
http,pass,Probe 12: HTTP 200 at https://www.landdevelopment.lk/contact-us/,https://www.landdevelopment.lk/contact-us/,2026-09-09T00:04:14.179343+05:30
http,pass,Probe 13: HTTP 200 at https://www.landdevelopment.lk/vision-and-mission/,https://www.landdevelopment.lk/vision-and-mission/,2026-09-09T00:04:14.179346+05:30
http,pass,Probe 14: HTTP 200 at https://www.landdevelopment.lk/annual-reports/,https://www.landdevelopment.lk/annual-reports/,2026-09-09T00:04:14.179348+05:30
phone,pass,Published phone: 0710435224 ,https://www.landdevelopment.lk/,
phone,pass,Published phone: 011 2 86 80 02 ,https://www.landdevelopment.lk/,
phone,pass,Published phone: 0112874565 ,https://www.landdevelopment.lk/,
email,pass,Published email: mail@sllrdc.lk,https://www.landdevelopment.lk/,
postal_address,pass,Published postal address: technological needs using the most updated and modern software such as MICA etc. Ambathale Pumping Station Werasganga Ke,https://www.landdevelopment.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.landdevelopment.lk/,
phone,pass,Published phone: 0710435224 ,https://www.landdevelopment.lk/,
phone,pass,Published phone: 011 2 86 80 02 ,https://www.landdevelopment.lk/,
phone,pass,Published phone: 0112874565 ,https://www.landdevelopment.lk/,
email,pass,Published email: mail@sllrdc.lk,https://www.landdevelopment.lk/,
postal_address,pass,Published postal address: technological needs using the most updated and modern software such as MICA etc. Ambathale Pumping Station Werasganga Ke,https://www.landdevelopment.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.landdevelopment.lk/,
phone,pass,Published phone: 0710435224 ,https://www.landdevelopment.lk/,
phone,pass,Published phone: 011 2 86 80 02 ,https://www.landdevelopment.lk/,
phone,pass,Published phone: 0112874565 ,https://www.landdevelopment.lk/,
email,pass,Published email: mail@sllrdc.lk,https://www.landdevelopment.lk/,
postal_address,pass,Published postal address: technological needs using the most updated and modern software such as MICA etc. Ambathale Pumping Station Werasganga Ke,https://www.landdevelopment.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.landdevelopment.lk/,
phone,pass,Published phone: 0710435224 ,https://www.landdevelopment.lk/,
phone,pass,Published phone: 011 2 86 80 02 ,https://www.landdevelopment.lk/,
phone,pass,Published phone: 0112874565 ,https://www.landdevelopment.lk/,
email,pass,Published email: mail@sllrdc.lk,https://www.landdevelopment.lk/,
postal_address,pass,Published postal address: technological needs using the most updated and modern software such as MICA etc. Ambathale Pumping Station Werasganga Ke,https://www.landdevelopment.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.landdevelopment.lk/,
phone,pass,Published phone: 0710435224 ,https://www.landdevelopment.lk/services/,
phone,pass,Published phone: 011 2 86 80 02 ,https://www.landdevelopment.lk/services/,
phone,pass,Published phone: 0112874565 ,https://www.landdevelopment.lk/services/,
email,pass,Published email: mail@sllrdc.lk,https://www.landdevelopment.lk/services/,
named_responsibility,pass,Published named responsibility: director,https://www.landdevelopment.lk/services/,
phone,pass,Published phone: 0710435224 ,https://www.landdevelopment.lk/construction-services/,
phone,pass,Published phone: 011 2 86 80 02 ,https://www.landdevelopment.lk/construction-services/,
phone,pass,Published phone: 0112874565 ,https://www.landdevelopment.lk/construction-services/,
email,pass,Published email: mail@sllrdc.lk,https://www.landdevelopment.lk/construction-services/,
named_responsibility,pass,Published named responsibility: director,https://www.landdevelopment.lk/construction-services/,
phone,pass,Published phone: 0710435224 ,https://www.landdevelopment.lk/consultancy-services/,
phone,pass,Published phone: 011 2 86 80 02 ,https://www.landdevelopment.lk/consultancy-services/,
phone,pass,Published phone: 0112874565 ,https://www.landdevelopment.lk/consultancy-services/,
email,pass,Published email: mail@sllrdc.lk,https://www.landdevelopment.lk/consultancy-services/,
named_responsibility,pass,Published named responsibility: director,https://www.landdevelopment.lk/consultancy-services/,
phone,pass,Published phone: 0710435224 ,https://www.landdevelopment.lk/lrdc-services/,
phone,pass,Published phone: 011 2 86 80 02 ,https://www.landdevelopment.lk/lrdc-services/,
phone,pass,Published phone: 0112874565 ,https://www.landdevelopment.lk/lrdc-services/,
email,pass,Published email: mail@sllrdc.lk,https://www.landdevelopment.lk/lrdc-services/,
named_responsibility,pass,Published named responsibility: director,https://www.landdevelopment.lk/lrdc-services/,
phone,pass,Published phone: 0710435224 ,https://www.landdevelopment.lk/divisions/,
phone,pass,Published phone: 011 2 86 80 02 ,https://www.landdevelopment.lk/divisions/,
phone,pass,Published phone: 0112874565 ,https://www.landdevelopment.lk/divisions/,
email,pass,Published email: mail@sllrdc.lk,https://www.landdevelopment.lk/divisions/,
named_responsibility,pass,Published named responsibility: director,https://www.landdevelopment.lk/divisions/,
phone,pass,Published phone: +94 11 205 8153 ,https://www.landdevelopment.lk/urban-water-management-division/,
phone,pass,Published phone: 0710435224 ,https://www.landdevelopment.lk/urban-water-management-division/,
phone,pass,Published phone: 0112874565 ,https://www.landdevelopment.lk/urban-water-management-division/,
phone,pass,Published phone: +94 11 205 8154 ,https://www.landdevelopment.lk/urban-water-management-division/,
phone,pass,Published phone: 011 2 86 80 02 ,https://www.landdevelopment.lk/urban-water-management-division/,
email,pass,Published email: urwm@sllrdc.lk,https://www.landdevelopment.lk/urban-water-management-division/,
email,pass,Published email: mail@sllrdc.lk,https://www.landdevelopment.lk/urban-water-management-division/,
email,pass,Published email: slldcurwm@gmail.com,https://www.landdevelopment.lk/urban-water-management-division/,
postal_address,pass,"Published postal address: - Real Time Flood Control & Water Management Centre, No. 260, Lake Drive, Colombo 05 Tel. No - +94 11 205 8154 Fax No - ",https://www.landdevelopment.lk/urban-water-management-division/,
named_responsibility,pass,Published named responsibility: director,https://www.landdevelopment.lk/urban-water-management-division/,
phone,pass,Published phone: +94 11-2865168 ,https://www.landdevelopment.lk/other-divisions/,
phone,pass,Published phone: +94112866832 ,https://www.landdevelopment.lk/other-divisions/,
phone,pass,Published phone: +94 112862152 ,https://www.landdevelopment.lk/other-divisions/,
phone,pass,Published phone: +94112862502 ,https://www.landdevelopment.lk/other-divisions/,
phone,pass,Published phone: +94112874565 ,https://www.landdevelopment.lk/other-divisions/,
phone,pass,Published phone: 0710435224 ,https://www.landdevelopment.lk/other-divisions/,
phone,pass,Published phone: 0112874565 ,https://www.landdevelopment.lk/other-divisions/,
phone,pass,Published phone: +94 11-2875936 ,https://www.landdevelopment.lk/other-divisions/,
phone,pass,Published phone: 011 2 86 80 02 ,https://www.landdevelopment.lk/other-divisions/,
email,pass,Published email: lands@sllrdc.lk,https://www.landdevelopment.lk/other-divisions/,
email,pass,Published email: Supplies@sllrdc.lk,https://www.landdevelopment.lk/other-divisions/,
email,pass,Published email: hr@sllrdc.lk,https://www.landdevelopment.lk/other-divisions/,
email,pass,Published email: sllrdc.audit@gmail.com,https://www.landdevelopment.lk/other-divisions/,
email,pass,Published email: mail@sllrdc.lk,https://www.landdevelopment.lk/other-divisions/,
email,pass,Published email: sllrdclegal@gmail.com,https://www.landdevelopment.lk/other-divisions/,
email,pass,Published email: legal@sllrdc.lk,https://www.landdevelopment.lk/other-divisions/,
email,pass,Published email: audit@sllrdc.lk,https://www.landdevelopment.lk/other-divisions/,
email,pass,Published email: jayasinghe@sllrdc.lk,https://www.landdevelopment.lk/other-divisions/,
named_responsibility,pass,Published named responsibility: director,https://www.landdevelopment.lk/other-divisions/,
legal_basis,pass,Published legal basis: regulations,https://www.landdevelopment.lk/other-divisions/,
phone,pass,Published phone: +94112868002,https://www.landdevelopment.lk/contact-us/,
phone,pass,Published phone: 0710435224 ,https://www.landdevelopment.lk/contact-us/,
phone,pass,Published phone: +94 112 867369,https://www.landdevelopment.lk/contact-us/,
phone,pass,Published phone: 0112874565 ,https://www.landdevelopment.lk/contact-us/,
phone,pass,Published phone: +94 112 862457 ,https://www.landdevelopment.lk/contact-us/,
phone,pass,Published phone: 011 2 86 80 02 ,https://www.landdevelopment.lk/contact-us/,
email,pass,Published email: Mail@sllrdc.lk,https://www.landdevelopment.lk/contact-us/,
email,pass,Published email: mail@sllrdc.lk,https://www.landdevelopment.lk/contact-us/,
named_responsibility,pass,Published named responsibility: director,https://www.landdevelopment.lk/contact-us/,
phone,pass,Published phone: 0710435224 ,https://www.landdevelopment.lk/vision-and-mission/,
phone,pass,Published phone: 011 2 86 80 02 ,https://www.landdevelopment.lk/vision-and-mission/,
phone,pass,Published phone: 0112874565 ,https://www.landdevelopment.lk/vision-and-mission/,
email,pass,Published email: mail@sllrdc.lk,https://www.landdevelopment.lk/vision-and-mission/,
named_responsibility,pass,Published named responsibility: director,https://www.landdevelopment.lk/vision-and-mission/,
phone,pass,Published phone: 0710435224 ,https://www.landdevelopment.lk/annual-reports/,
phone,pass,Published phone: 011 2 86 80 02 ,https://www.landdevelopment.lk/annual-reports/,
phone,pass,Published phone: 0112874565 ,https://www.landdevelopment.lk/annual-reports/,
email,pass,Published email: mail@sllrdc.lk,https://www.landdevelopment.lk/annual-reports/,
named_responsibility,pass,Published named responsibility: director,https://www.landdevelopment.lk/annual-reports/,
page_text,pass,Substantive page content: 7020 visible characters across 14 pages,https://www.landdevelopment.lk/,
