check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:50:20.813236+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:50:20.813255+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:50:21.472842+05:30
http,pass,Probe 1: HTTP 200 at https://nindt.health.gov.lk/,https://nindt.health.gov.lk/,2026-09-08T23:50:53.366123+05:30
http,pass,Probe 2: HTTP 200 at http://nindt.health.gov.lk/,http://nindt.health.gov.lk/,2026-09-08T23:50:53.366147+05:30
http,pass,Probe 3: HTTP 200 at https://nindt.health.gov.lk/,https://nindt.health.gov.lk/,2026-09-08T23:50:53.366151+05:30
http,pass,Probe 4: HTTP 200 at http://nindt.health.gov.lk/,http://nindt.health.gov.lk/,2026-09-08T23:50:53.366153+05:30
http,pass,Probe 5: HTTP 200 at https://nindt.health.gov.lk/contacts/,https://nindt.health.gov.lk/contacts/,2026-09-08T23:50:53.366156+05:30
http,pass,Probe 6: HTTP 200 at https://nindt.health.gov.lk,https://nindt.health.gov.lk,2026-09-08T23:50:53.366159+05:30
http,pass,Probe 7: HTTP 200 at https://nindt.health.gov.lk/our-treatments/,https://nindt.health.gov.lk/our-treatments/,2026-09-08T23:50:53.366161+05:30
http,pass,Probe 8: HTTP 200 at https://nindt.health.gov.lk/public-information/,https://nindt.health.gov.lk/public-information/,2026-09-08T23:50:53.366164+05:30
http,pass,Probe 9: HTTP 200 at https://nindt.health.gov.lk/current-tenders/,https://nindt.health.gov.lk/current-tenders/,2026-09-08T23:50:53.366166+05:30
http,pass,Probe 10: HTTP 200 at https://nindt.health.gov.lk/recent-events/,https://nindt.health.gov.lk/recent-events/,2026-09-08T23:50:53.366169+05:30
http,pass,Probe 11: HTTP 200 at https://nindt.health.gov.lk/about-us-2/,https://nindt.health.gov.lk/about-us-2/,2026-09-08T23:50:53.366171+05:30
http,pass,Probe 12: HTTP 200 at https://nindt.health.gov.lk/our-team/,https://nindt.health.gov.lk/our-team/,2026-09-08T23:50:53.366174+05:30
http,pass,Probe 13: HTTP 200 at https://nindt.health.gov.lk/protect-your-kidney/,https://nindt.health.gov.lk/protect-your-kidney/,2026-09-08T23:50:53.366176+05:30
http,pass,Probe 14: HTTP 200 at http://nindt.health.gov.lk/download/,http://nindt.health.gov.lk/download/,2026-09-08T23:50:53.366179+05:30
fees_and_payment,pass,Published fees and payment: free of charge,https://nindt.health.gov.lk/,
fees_and_payment,pass,Published fees and payment: free of charge,http://nindt.health.gov.lk/,
fees_and_payment,pass,Published fees and payment: free of charge,https://nindt.health.gov.lk/,
fees_and_payment,pass,Published fees and payment: free of charge,http://nindt.health.gov.lk/,
email,pass,Published email: nindt.maligawatte@gmail.com,https://nindt.health.gov.lk/contacts/,
postal_address,pass,"Published postal address: වෘක්කවේද කාන්දු පෙරීම හා වකුගඩු බද්ධ කිරීමේ ජාතික මධ්‍යස්ථානය 349, ජයන්ත වීරසේකර මාවත, මාලිගාවත්ත – කොළඹ 10 The National",https://nindt.health.gov.lk/contacts/,
fees_and_payment,pass,Published fees and payment: free of charge,https://nindt.health.gov.lk,
named_responsibility,pass,Published named responsibility: director,https://nindt.health.gov.lk/our-treatments/,
named_responsibility,pass,Published named responsibility: director,https://nindt.health.gov.lk/our-team/,
page_text,pass,Substantive page content: 4815 visible characters across 14 pages,https://nindt.health.gov.lk/,
