check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:06:54.218185+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:06:54.218207+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:06:54.355159+05:30
http,pass,Probe 1: HTTP 200 at https://pubad.gov.lk/,https://www.pubad.gov.lk/,2026-09-09T00:07:08.902775+05:30
http,pass,Probe 2: HTTP 200 at https://pubad.gov.lk/,http://www.pubad.gov.lk/,2026-09-09T00:07:08.902798+05:30
http,pass,Probe 3: HTTP 200 at https://pubad.gov.lk/,https://www.pubad.gov.lk/,2026-09-09T00:07:08.902801+05:30
http,pass,Probe 4: HTTP 200 at https://pubad.gov.lk/,http://www.pubad.gov.lk/,2026-09-09T00:07:08.902804+05:30
http,pass,Probe 5: HTTP 200 at https://pubad.gov.lk/web/index.php?lang=si,https://pubad.gov.lk/web/index.php?lang=si,2026-09-09T00:07:08.902807+05:30
http,pass,Probe 6: HTTP 200 at https://pubad.gov.lk/web/index.php?lang=ta,https://pubad.gov.lk/web/index.php?lang=ta,2026-09-09T00:07:08.902809+05:30
http,pass,Probe 7: HTTP 200 at https://pubad.gov.lk/web/index.php?lang=en,https://pubad.gov.lk/web/index.php?lang=en,2026-09-09T00:07:08.902820+05:30
http,pass,Probe 8: HTTP 200 at https://pubad.gov.lk/web/images/latest_document/exam_notice/2026/1788164494-msos-efficiency-bar-examination-for-officers-grade-I-31-08-2026.pdf,https://pubad.gov.lk/web/images/latest_document/exam_notice/2026/1788164494-msos-efficiency-bar-examination-for-officers-grade-I-31-08-2026.pdf,2026-09-09T00:07:08.902822+05:30
http,pass,Probe 9: HTTP 200 at https://pubad.gov.lk/web/images/latest_document/service_minutes/2026/4e128cd22ff68411b749ea457ea32004-slps-2476-25-s.pdf,https://pubad.gov.lk/web/images/latest_document/service_minutes/2026/4e128cd22ff68411b749ea457ea32004-slps-2476-25-s.pdf,2026-09-09T00:07:08.902825+05:30
http,pass,Probe 10: HTTP 200 at https://pubad.gov.lk/web/images/latest_document/service_minutes/2021/69b0da0185a661877f3d86f504fd59b1-slps-2224-20-s.pdf,https://pubad.gov.lk/web/images/latest_document/service_minutes/2021/69b0da0185a661877f3d86f504fd59b1-slps-2224-20-s.pdf,2026-09-09T00:07:08.902828+05:30
http,pass,Probe 11: HTTP 200 at https://pubad.gov.lk/web/images/latest_document/service_minutes/2022/1bb1b563634a5f97d9150e7dbbbaa595-slps-2299-65-s.pdf,https://pubad.gov.lk/web/images/latest_document/service_minutes/2022/1bb1b563634a5f97d9150e7dbbbaa595-slps-2299-65-s.pdf,2026-09-09T00:07:08.902831+05:30
http,pass,Probe 12: HTTP 200 at https://pubad.gov.lk/web/index.php?option=com_content&view=featured&Itemid=101&lang=si,https://pubad.gov.lk/web/index.php?option=com_content&view=featured&Itemid=101&lang=si,2026-09-09T00:07:08.902833+05:30
http,pass,Probe 13: HTTP 200 at https://pubad.gov.lk/web/index.php?option=com_content&view=article&id=2&Itemid=109&lang=si,https://pubad.gov.lk/web/index.php?option=com_content&view=article&id=2&Itemid=109&lang=si,2026-09-09T00:07:08.902836+05:30
http,pass,Probe 14: HTTP 200 at https://pubad.gov.lk/web/index.php?option=com_content&view=article&id=4&Itemid=110&lang=si,https://pubad.gov.lk/web/index.php?option=com_content&view=article&id=4&Itemid=110&lang=si,2026-09-09T00:07:08.902838+05:30
phone,pass,Published phone: +94 11 2695279 ,https://pubad.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: +94 11 2696211-,https://pubad.gov.lk/web/index.php?lang=si,
email,pass,Published email: info@pubad.gov.lk,https://pubad.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: +94 11 2695279 ,https://pubad.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: +94 11 2696211-,https://pubad.gov.lk/web/index.php?lang=ta,
email,pass,Published email: info@pubad.gov.lk,https://pubad.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: +94 11 2695279 ,https://pubad.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: +94 11 2696211-,https://pubad.gov.lk/web/index.php?lang=en,
email,pass,Published email: info@pubad.gov.lk,https://pubad.gov.lk/web/index.php?lang=en,
postal_address,pass,"Published postal address: Council of Sri Lanka Contact Us Independance Square, Colombo 07, Sri Lanka",https://pubad.gov.lk/web/index.php?lang=en,
named_responsibility,pass,Published named responsibility: director,https://pubad.gov.lk/web/index.php?lang=en,
legal_basis,pass,Published legal basis: regulations,https://pubad.gov.lk/web/index.php?lang=en,
processing_time,pass,Published processing time: 03 days,https://pubad.gov.lk/web/index.php?lang=en,
downloadable_form,pass,Published downloadable form: https://pubad.gov.lk/web/images/latest_document/notices/2026/1787296830-slacs-calling-applications-promotion-grade-i-to-sp-grade-01-07-2026-e.pdf,https://pubad.gov.lk/web/index.php?lang=en,
published_update_date,pass,Published published update date: 2026-09-01,https://pubad.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0 0 0 0 667 0 0 6,https://pubad.gov.lk/web/images/latest_document/exam_notice/2026/1788164494-msos-efficiency-bar-examination-for-officers-grade-I-31-08-2026.pdf,
phone,pass,Published phone: 0 0 0 0 250 0 50,https://pubad.gov.lk/web/images/latest_document/exam_notice/2026/1788164494-msos-efficiency-bar-examination-for-officers-grade-I-31-08-2026.pdf,
phone,pass,Published phone: 002 1118 994,https://pubad.gov.lk/web/images/latest_document/exam_notice/2026/1788164494-msos-efficiency-bar-examination-for-officers-grade-I-31-08-2026.pdf,
