check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:51:26.744671+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:51:26.744692+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:51:27.541958+05:30
http,pass,Probe 1: HTTP 200 at https://www.spc.lk/,https://www.spc.lk/,2026-09-08T23:51:47.959088+05:30
http,pass,Probe 2: HTTP 200 at https://www.spc.lk/,http://www.spc.lk/,2026-09-08T23:51:47.959112+05:30
http,pass,Probe 3: HTTP 200 at https://www.spc.lk/,https://www.spc.lk/,2026-09-08T23:51:47.959116+05:30
http,pass,Probe 4: HTTP 200 at https://www.spc.lk/,http://www.spc.lk/,2026-09-08T23:51:47.959119+05:30
http,pass,Probe 5: HTTP 200 at https://www.spc.lk/spc-services.php,https://www.spc.lk/spc-services.php,2026-09-08T23:51:47.959121+05:30
http,pass,Probe 6: HTTP 200 at https://www.spc.lk/contact.php,https://www.spc.lk/contact.php,2026-09-08T23:51:47.959124+05:30
http,pass,Probe 7: HTTP 200 at https://www.spc.lk/sitemap.php,https://www.spc.lk/sitemap.php,2026-09-08T23:51:47.959126+05:30
http,pass,Probe 8: HTTP 200 at https://www.spc.lk/feedback.php,https://www.spc.lk/feedback.php,2026-09-08T23:51:47.959129+05:30
http,pass,Probe 9: HTTP 200 at https://www.spc.lk/faqs.php,https://www.spc.lk/faqs.php,2026-09-08T23:51:47.959131+05:30
http,pass,Probe 10: HTTP 200 at https://www.spc.lk/about-spc.php,https://www.spc.lk/about-spc.php,2026-09-08T23:51:47.959134+05:30
http,pass,Probe 11: HTTP 200 at https://www.spc.lk/rajya-osu-sala-outlets.php,https://www.spc.lk/rajya-osu-sala-outlets.php,2026-09-08T23:51:47.959137+05:30
http,pass,Probe 12: HTTP 200 at https://www.spc.lk/franchise-osu-sala-outlets.php,https://www.spc.lk/franchise-osu-sala-outlets.php,2026-09-08T23:51:47.959139+05:30
http,pass,Probe 13: HTTP 200 at https://www.spc.lk/authorised-retailers.php,https://www.spc.lk/authorised-retailers.php,2026-09-08T23:51:47.959142+05:30
http,pass,Probe 14: HTTP 200 at https://www.spc.lk/spc-distributors.php,https://www.spc.lk/spc-distributors.php,2026-09-08T23:51:47.959144+05:30
postal_address,pass,"Published postal address: recent news reports concerning the procurement of 38,000 units of Dinoprostone... Read More Celebrating a Legacy: ""Tribu",https://www.spc.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.spc.lk/,
postal_address,pass,"Published postal address: recent news reports concerning the procurement of 38,000 units of Dinoprostone... Read More Celebrating a Legacy: ""Tribu",https://www.spc.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.spc.lk/,
postal_address,pass,"Published postal address: recent news reports concerning the procurement of 38,000 units of Dinoprostone... Read More Celebrating a Legacy: ""Tribu",https://www.spc.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.spc.lk/,
postal_address,pass,"Published postal address: recent news reports concerning the procurement of 38,000 units of Dinoprostone... Read More Celebrating a Legacy: ""Tribu",https://www.spc.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.spc.lk/,
postal_address,pass,"Published postal address: , 16th Floor, No. 41, Kirula Road, Colombo 05, Sri Lanka",https://www.spc.lk/spc-services.php,
named_responsibility,pass,Published named responsibility: department,https://www.spc.lk/spc-services.php,
phone,pass,Published phone: +94 (0)11 245969,https://www.spc.lk/contact.php,
phone,pass,Published phone: +94 (0)11 232035,https://www.spc.lk/contact.php,
phone,pass,Published phone: +94 (0)11 239153,https://www.spc.lk/contact.php,
phone,pass,Published phone: +94 (0)11 244711,https://www.spc.lk/contact.php,
phone,pass,Published phone: +94 (0)11 238173,https://www.spc.lk/contact.php,
