check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:48:38.092576+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:48:38.092592+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:48:38.216929+05:30
http,pass,Probe 1: HTTP 200 at https://peradeniya-hospital.health.gov.lk/,https://peradeniya-hospital.health.gov.lk/,2026-09-08T23:48:54.262186+05:30
http,pass,Probe 2: HTTP 200 at https://peradeniya-hospital.health.gov.lk/,http://peradeniya-hospital.health.gov.lk/,2026-09-08T23:48:54.262208+05:30
http,pass,Probe 3: HTTP 200 at https://peradeniya-hospital.health.gov.lk/,https://peradeniya-hospital.health.gov.lk/,2026-09-08T23:48:54.262211+05:30
http,pass,Probe 4: HTTP 200 at https://peradeniya-hospital.health.gov.lk/,http://peradeniya-hospital.health.gov.lk/,2026-09-08T23:48:54.262214+05:30
http,pass,Probe 5: HTTP 200 at https://peradeniya-hospital.health.gov.lk/in-service-and-individual-etr/,https://peradeniya-hospital.health.gov.lk/in-service-and-individual-etr/,2026-09-08T23:48:54.262217+05:30
http,pass,Probe 6: HTTP 200 at https://peradeniya-hospital.health.gov.lk/contact-us/,https://peradeniya-hospital.health.gov.lk/contact-us/,2026-09-08T23:48:54.262219+05:30
http,pass,Probe 7: HTTP 200 at https://peradeniya-hospital.health.gov.lk/rheumatology-services/,https://peradeniya-hospital.health.gov.lk/rheumatology-services/,2026-09-08T23:48:54.262222+05:30
http,pass,Probe 8: HTTP 200 at https://peradeniya-hospital.health.gov.lk/2025/10/31/supplier-contractors-garage-and-service-stations-registration-for-the-year-of-2026/,https://peradeniya-hospital.health.gov.lk/2025/10/31/supplier-contractors-garage-and-service-stations-registration-for-the-year-of-2026/,2026-09-08T23:48:54.262224+05:30
http,pass,Probe 9: HTTP 200 at https://peradeniya-hospital.health.gov.lk/2024/10/03/supplier-contractors-garage-and-service-stations-registration-for-the-year-of-2025/,https://peradeniya-hospital.health.gov.lk/2024/10/03/supplier-contractors-garage-and-service-stations-registration-for-the-year-of-2025/,2026-09-08T23:48:54.262227+05:30
http,pass,Probe 10: HTTP 200 at https://peradeniya-hospital.health.gov.lk/about-us/,https://peradeniya-hospital.health.gov.lk/about-us/,2026-09-08T23:48:54.262230+05:30
http,pass,Probe 11: HTTP 200 at https://peradeniya-hospital.health.gov.lk/team/,https://peradeniya-hospital.health.gov.lk/team/,2026-09-08T23:48:54.262232+05:30
http,pass,Probe 12: HTTP 200 at https://peradeniya-hospital.health.gov.lk/administration/,https://peradeniya-hospital.health.gov.lk/administration/,2026-09-08T23:48:54.262235+05:30
http,pass,Probe 13: HTTP 200 at https://peradeniya-hospital.health.gov.lk/consultants/,https://peradeniya-hospital.health.gov.lk/consultants/,2026-09-08T23:48:54.262237+05:30
http,pass,Probe 14: HTTP 200 at https://peradeniya-hospital.health.gov.lk/awards-achievements/,https://peradeniya-hospital.health.gov.lk/awards-achievements/,2026-09-08T23:48:54.262240+05:30
phone,pass,Published phone: 0812388001 ,https://peradeniya-hospital.health.gov.lk/,
phone,pass,Published phone: 0812388001,https://peradeniya-hospital.health.gov.lk/,
email,pass,Published email: perahospital@gmail.com,https://peradeniya-hospital.health.gov.lk/,
legal_basis,pass,Published legal basis: circular,https://peradeniya-hospital.health.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://peradeniya-hospital.health.gov.lk/,
phone,pass,Published phone: 0812388001 ,https://peradeniya-hospital.health.gov.lk/,
phone,pass,Published phone: 0812388001,https://peradeniya-hospital.health.gov.lk/,
email,pass,Published email: perahospital@gmail.com,https://peradeniya-hospital.health.gov.lk/,
legal_basis,pass,Published legal basis: circular,https://peradeniya-hospital.health.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://peradeniya-hospital.health.gov.lk/,
phone,pass,Published phone: 0812388001 ,https://peradeniya-hospital.health.gov.lk/,
phone,pass,Published phone: 0812388001,https://peradeniya-hospital.health.gov.lk/,
email,pass,Published email: perahospital@gmail.com,https://peradeniya-hospital.health.gov.lk/,
legal_basis,pass,Published legal basis: circular,https://peradeniya-hospital.health.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://peradeniya-hospital.health.gov.lk/,
phone,pass,Published phone: 0812388001 ,https://peradeniya-hospital.health.gov.lk/,
phone,pass,Published phone: 0812388001,https://peradeniya-hospital.health.gov.lk/,
email,pass,Published email: perahospital@gmail.com,https://peradeniya-hospital.health.gov.lk/,
legal_basis,pass,Published legal basis: circular,https://peradeniya-hospital.health.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://peradeniya-hospital.health.gov.lk/,
phone,pass,Published phone: 0812388001 ,https://peradeniya-hospital.health.gov.lk/in-service-and-individual-etr/,
phone,pass,Published phone: 0812388001,https://peradeniya-hospital.health.gov.lk/in-service-and-individual-etr/,
email,pass,Published email: perahospital@gmail.com,https://peradeniya-hospital.health.gov.lk/in-service-and-individual-etr/,
legal_basis,pass,Published legal basis: circular,https://peradeniya-hospital.health.gov.lk/in-service-and-individual-etr/,
phone,pass,Published phone: 081-2388001 ,https://peradeniya-hospital.health.gov.lk/contact-us/,
phone,pass,Published phone: 081-2388003 ,https://peradeniya-hospital.health.gov.lk/contact-us/,
phone,pass,Published phone: 081-2388002 ,https://peradeniya-hospital.health.gov.lk/contact-us/,
phone,pass,Published phone: 081-2388005 ,https://peradeniya-hospital.health.gov.lk/contact-us/,
phone,pass,Published phone: 0812388001,https://peradeniya-hospital.health.gov.lk/contact-us/,
phone,pass,Published phone: 0812388001 ,https://peradeniya-hospital.health.gov.lk/contact-us/,
phone,pass,Published phone: 081-2388004 ,https://peradeniya-hospital.health.gov.lk/contact-us/,
email,pass,Published email: perahospital@gmail.com,https://peradeniya-hospital.health.gov.lk/contact-us/,
legal_basis,pass,Published legal basis: circular,https://peradeniya-hospital.health.gov.lk/contact-us/,
phone,pass,Published phone: 0812388001 ,https://peradeniya-hospital.health.gov.lk/rheumatology-services/,
phone,pass,Published phone: 0812388001,https://peradeniya-hospital.health.gov.lk/rheumatology-services/,
email,pass,Published email: Chathurika.dandeniya@med.pdn.ac.lk,https://peradeniya-hospital.health.gov.lk/rheumatology-services/,
email,pass,Published email: perahospital@gmail.com,https://peradeniya-hospital.health.gov.lk/rheumatology-services/,
named_responsibility,pass,Published named responsibility: department,https://peradeniya-hospital.health.gov.lk/rheumatology-services/,
legal_basis,pass,Published legal basis: circular,https://peradeniya-hospital.health.gov.lk/rheumatology-services/,
phone,pass,Published phone: 0812388001 ,https://peradeniya-hospital.health.gov.lk/2025/10/31/supplier-contractors-garage-and-service-stations-registration-for-the-year-of-2026/,
phone,pass,Published phone: 0812388001,https://peradeniya-hospital.health.gov.lk/2025/10/31/supplier-contractors-garage-and-service-stations-registration-for-the-year-of-2026/,
email,pass,Published email: perahospital@gmail.com,https://peradeniya-hospital.health.gov.lk/2025/10/31/supplier-contractors-garage-and-service-stations-registration-for-the-year-of-2026/,
legal_basis,pass,Published legal basis: circular,https://peradeniya-hospital.health.gov.lk/2025/10/31/supplier-contractors-garage-and-service-stations-registration-for-the-year-of-2026/,
downloadable_form,pass,Published downloadable form: https://peradeniya-hospital.health.gov.lk/wp-content/uploads/2025/10/Supply-Registation-2026-Copy.pdf,https://peradeniya-hospital.health.gov.lk/2025/10/31/supplier-contractors-garage-and-service-stations-registration-for-the-year-of-2026/,
phone,pass,Published phone: 0812388001 ,https://peradeniya-hospital.health.gov.lk/2024/10/03/supplier-contractors-garage-and-service-stations-registration-for-the-year-of-2025/,
phone,pass,Published phone: 0812388001,https://peradeniya-hospital.health.gov.lk/2024/10/03/supplier-contractors-garage-and-service-stations-registration-for-the-year-of-2025/,
email,pass,Published email: perahospital@gmail.com,https://peradeniya-hospital.health.gov.lk/2024/10/03/supplier-contractors-garage-and-service-stations-registration-for-the-year-of-2025/,
legal_basis,pass,Published legal basis: circular,https://peradeniya-hospital.health.gov.lk/2024/10/03/supplier-contractors-garage-and-service-stations-registration-for-the-year-of-2025/,
