check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:40:35.039056+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:40:35.039075+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:40:35.141933+05:30
http,pass,Probe 1: HTTP 200 at https://www.rdb.lk/,https://www.rdb.lk/,2026-09-08T23:41:01.124261+05:30
http,pass,Probe 2: HTTP 200 at https://www.rdb.lk/,http://www.rdb.lk/,2026-09-08T23:41:01.124283+05:30
http,pass,Probe 3: HTTP 200 at https://www.rdb.lk/,https://www.rdb.lk/,2026-09-08T23:41:01.124286+05:30
http,pass,Probe 4: HTTP 200 at https://www.rdb.lk/,http://www.rdb.lk/,2026-09-08T23:41:01.124289+05:30
http,pass,Probe 5: HTTP 200 at https://www.rdb.lk/services/,https://www.rdb.lk/services/,2026-09-08T23:41:01.124292+05:30
http,pass,Probe 6: HTTP 200 at https://www.rdb.lk/services/western-union/,https://www.rdb.lk/services/western-union/,2026-09-08T23:41:01.124294+05:30
http,pass,Probe 7: HTTP 200 at https://www.rdb.lk/services/lanka-money-transfer/,https://www.rdb.lk/services/lanka-money-transfer/,2026-09-08T23:41:01.124297+05:30
http,pass,Probe 8: HTTP 200 at https://www.rdb.lk/services/daily-collection-system-rdb-dorin-dora/,https://www.rdb.lk/services/daily-collection-system-rdb-dorin-dora/,2026-09-08T23:41:01.124299+05:30
http,pass,Probe 9: HTTP 200 at https://www.rdb.lk/services/bank-guarantee/,https://www.rdb.lk/services/bank-guarantee/,2026-09-08T23:41:01.124302+05:30
http,pass,Probe 10: HTTP 200 at https://www.rdb.lk/services/bancassurance/,https://www.rdb.lk/services/bancassurance/,2026-09-08T23:41:01.124305+05:30
http,pass,Probe 11: HTTP 200 at https://www.rdb.lk/services/warehouse-facilities/,https://www.rdb.lk/services/warehouse-facilities/,2026-09-08T23:41:01.124307+05:30
http,pass,Probe 12: HTTP 200 at https://www.rdb.lk/services/rdbqr/,https://www.rdb.lk/services/rdbqr/,2026-09-08T23:41:01.124310+05:30
http,pass,Probe 13: HTTP 200 at https://www.rdb.lk/about-us/contact-us/,https://www.rdb.lk/about-us/contact-us/,2026-09-08T23:41:01.124313+05:30
