check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:23:48.966869+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:23:48.966892+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:23:49.169728+05:30
http,pass,Probe 1: HTTP 200 at https://www.dba.gov.lk/,https://www.dba.gov.lk/,2026-09-08T23:24:13.751705+05:30
http,pass,Probe 2: HTTP 200 at https://dba.gov.lk/,http://www.dba.gov.lk/,2026-09-08T23:24:13.751730+05:30
http,pass,Probe 3: HTTP 200 at https://www.dba.gov.lk/,https://www.dba.gov.lk/,2026-09-08T23:24:13.751733+05:30
http,pass,Probe 4: HTTP 200 at https://dba.gov.lk/,http://www.dba.gov.lk/,2026-09-08T23:24:13.751736+05:30
http,pass,Probe 5: HTTP 200 at https://dba.gov.lk/ta/home-%E0%AE%A4%E0%AE%AE%E0%AE%BF%E0%AE%B4%E0%AF%8D/,https://dba.gov.lk/ta/home-தமிழ்,2026-09-08T23:24:13.751739+05:30
http,pass,Probe 6: HTTP 200 at https://dba.gov.lk/home-english/,https://dba.gov.lk/en/home-english,2026-09-08T23:24:13.751741+05:30
http,pass,Probe 7: HTTP 200 at https://dba.gov.lk/ta/,https://dba.gov.lk/ta/,2026-09-08T23:24:13.751744+05:30
http,pass,Probe 8: HTTP 200 at https://dba.gov.lk/ta/home-%e0%ae%a4%e0%ae%ae%e0%ae%bf%e0%ae%b4%e0%af%8d/,https://dba.gov.lk/ta/home-%e0%ae%a4%e0%ae%ae%e0%ae%bf%e0%ae%b4%e0%af%8d/,2026-09-08T23:24:13.751746+05:30
http,pass,Probe 9: HTTP 200 at https://dba.gov.lk/ta/development-promotion-and-protection-of-the-buddhasasana/,https://dba.gov.lk/ta/development-promotion-and-protection-of-the-buddhasasana/,2026-09-08T23:24:13.751749+05:30
http,pass,Probe 10: HTTP 200 at https://dba.gov.lk/ta/administration-of-buddhist-temples-and-properties/,https://dba.gov.lk/ta/administration-of-buddhist-temples-and-properties/,2026-09-08T23:24:13.751752+05:30
http,pass,Probe 11: HTTP 200 at https://dba.gov.lk/ta/%e0%ae%aa%e0%ae%a4%e0%ae%bf%e0%ae%b5%e0%af%81-%e0%ae%ae%e0%ae%b1%e0%af%8d%e0%ae%b1%e0%af%81%e0%ae%ae%e0%af%8d-%e0%ae%aa%e0%ae%a4%e0%ae%bf%e0%ae%b5%e0%af%87%e0%ae%9f%e0%af%81%e0%ae%95%e0%ae%b3%e0%af%88/,https://dba.gov.lk/ta/%e0%ae%aa%e0%ae%a4%e0%ae%bf%e0%ae%b5%e0%af%81-%e0%ae%ae%e0%ae%b1%e0%af%8d%e0%ae%b1%e0%af%81%e0%ae%ae%e0%af%8d-%e0%ae%aa%e0%ae%a4%e0%ae%bf%e0%ae%b5%e0%af%87%e0%ae%9f%e0%af%81%e0%ae%95%e0%ae%b3%e0%af%88/,2026-09-08T23:24:13.751754+05:30
http,pass,Probe 12: HTTP 200 at https://dba.gov.lk/ta/improvement-and-administration-of-dhamma-schools/,https://dba.gov.lk/ta/improvement-and-administration-of-dhamma-schools/,2026-09-08T23:24:13.751757+05:30
http,pass,Probe 13: HTTP 200 at https://dba.gov.lk/ta/%e0%ae%aa%e0%ae%bf%e0%ae%b0%e0%ae%be%e0%ae%a8%e0%af%8d%e0%ae%a4%e0%ae%bf%e0%ae%af-%e0%ae%86%e0%ae%a4%e0%ae%b0%e0%ae%b5%e0%af%81-%e0%ae%9a%e0%af%87%e0%ae%b5%e0%af%88%e0%ae%95%e0%ae%b3%e0%af%88/,https://dba.gov.lk/ta/%e0%ae%aa%e0%ae%bf%e0%ae%b0%e0%ae%be%e0%ae%a8%e0%af%8d%e0%ae%a4%e0%ae%bf%e0%ae%af-%e0%ae%86%e0%ae%a4%e0%ae%b0%e0%ae%b5%e0%af%81-%e0%ae%9a%e0%af%87%e0%ae%b5%e0%af%88%e0%ae%95%e0%ae%b3%e0%af%88/,2026-09-08T23:24:13.751759+05:30
http,pass,Probe 14: HTTP 200 at https://dba.gov.lk/ta/%e0%ae%aa%e0%ae%b0%e0%ae%b5%e0%ae%b2%e0%ae%be%e0%ae%95%e0%af%8d%e0%ae%95%e0%ae%aa%e0%af%8d%e0%ae%aa%e0%ae%9f%e0%af%8d%e0%ae%9f-%e0%ae%9a%e0%af%87%e0%ae%b5%e0%af%88%e0%ae%95%e0%ae%b3%e0%af%8d/,https://dba.gov.lk/ta/%e0%ae%aa%e0%ae%b0%e0%ae%b5%e0%ae%b2%e0%ae%be%e0%ae%95%e0%af%8d%e0%ae%95%e0%ae%aa%e0%af%8d%e0%ae%aa%e0%ae%9f%e0%af%8d%e0%ae%9f-%e0%ae%9a%e0%af%87%e0%ae%b5%e0%af%88%e0%ae%95%e0%ae%b3%e0%af%8d/,2026-09-08T23:24:13.751762+05:30
phone,pass,Published phone: 0.9 8.7-22.7 17.1-,https://www.dba.gov.lk/,
phone,pass,Published phone: 0 9.7 3.3 11.4 8.1,https://www.dba.gov.lk/,
phone,pass,Published phone: 0-13.3-10.7-24-2,https://www.dba.gov.lk/,
phone,pass,Published phone: 0 24-10.7 24-24,https://www.dba.gov.lk/,
phone,pass,Published phone: 0 6.6-5.4 12-12 1,https://www.dba.gov.lk/,
phone,pass,Published phone: 0.8 14 17.4 20.9 ,https://www.dba.gov.lk/,
phone,pass,Published phone: 0-24 10.7-24 24,https://www.dba.gov.lk/,
phone,pass,Published phone: 0-14-8.1-11.4-15.,https://www.dba.gov.lk/,
phone,pass,Published phone: 0-6.6 5.4-12 12-1,https://www.dba.gov.lk/,
phone,pass,Published phone: 0.9 7.8-16.7 4.3-1,https://www.dba.gov.lk/,
phone,pass,Published phone: 0 13.3 10.7 24 2,https://www.dba.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.dba.gov.lk/,
phone,pass,Published phone: 0.9 8.7-22.7 17.1-,https://dba.gov.lk/,
phone,pass,Published phone: 0 9.7 3.3 11.4 8.1,https://dba.gov.lk/,
phone,pass,Published phone: 0-13.3-10.7-24-2,https://dba.gov.lk/,
phone,pass,Published phone: 0 24-10.7 24-24,https://dba.gov.lk/,
phone,pass,Published phone: 0 6.6-5.4 12-12 1,https://dba.gov.lk/,
phone,pass,Published phone: 0.8 14 17.4 20.9 ,https://dba.gov.lk/,
