check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:37:55.924003+05:30
domain_registration,pass,Domain registered,,2026-09-08T23:37:55.924009+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:37:56.066702+05:30
http,pass,Probe 1: HTTP 200 at https://peoplestravels.com/,https://peoplestravels.com/,2026-09-08T23:38:24.522212+05:30
http,pass,Probe 2: HTTP 200 at https://peoplestravels.com/,http://peoplestravels.com/,2026-09-08T23:38:24.522236+05:30
http,pass,Probe 3: HTTP 200 at https://peoplestravels.com/,https://peoplestravels.com/,2026-09-08T23:38:24.522240+05:30
http,pass,Probe 4: HTTP 200 at https://peoplestravels.com/,http://peoplestravels.com/,2026-09-08T23:38:24.522243+05:30
http,pass,Probe 5: HTTP 200 at https://peoplestravels.com/contact/,https://peoplestravels.com/contact/,2026-09-08T23:38:24.522246+05:30
http,pass,Probe 6: HTTP 200 at https://peoplestravels.com/tour/bangkok/,https://peoplestravels.com/tour/bangkok/,2026-09-08T23:38:24.522249+05:30
http,pass,Probe 7: HTTP 200 at https://peoplestravels.com/tour/cambodia-laos/,https://peoplestravels.com/tour/cambodia-laos/,2026-09-08T23:38:24.522252+05:30
http,pass,Probe 8: HTTP 200 at https://peoplestravels.com/tour/china/,https://peoplestravels.com/tour/china/,2026-09-08T23:38:24.522255+05:30
http,pass,Probe 9: HTTP 200 at https://peoplestravels.com/tour/dambadiva/,https://peoplestravels.com/tour/dambadiva/,2026-09-08T23:38:24.522258+05:30
http,pass,Probe 10: HTTP 200 at https://peoplestravels.com/tour/england-scotland/,https://peoplestravels.com/tour/england-scotland/,2026-09-08T23:38:24.522261+05:30
http,pass,Probe 11: HTTP 200 at https://peoplestravels.com/tour/europe/,https://peoplestravels.com/tour/europe/,2026-09-08T23:38:24.522264+05:30
http,pass,Probe 12: HTTP 200 at https://peoplestravels.com/tour/japan/,https://peoplestravels.com/tour/japan/,2026-09-08T23:38:24.522267+05:30
http,pass,Probe 13: HTTP 200 at https://peoplestravels.com/tour/myanmar/,https://peoplestravels.com/tour/myanmar/,2026-09-08T23:38:24.522269+05:30
http,pass,Probe 14: HTTP 200 at https://peoplestravels.com/tour/new-zealand/,https://peoplestravels.com/tour/new-zealand/,2026-09-08T23:38:24.522272+05:30
phone,pass,Published phone: 0000000000,https://peoplestravels.com/,
phone,pass,Published phone: +94 112 470 190 ,https://peoplestravels.com/,
phone,pass,Published phone: +94 112 396 296 ,https://peoplestravels.com/,
phone,pass,Published phone: +94 112 434 530 ,https://peoplestravels.com/,
email,pass,Published email: info@peoplestravels.com,https://peoplestravels.com/,
email,pass,Published email: ptravel@peoplesbank.lk,https://peoplestravels.com/,
postal_address,pass,"Published postal address: and choose a password to book an appointment."",""i18n_appt_required_fields_guest"":""Please fill in all \""Information\"" fie",https://peoplestravels.com/,
fees_and_payment,pass,"Published fees and payment: rs,",https://peoplestravels.com/,
phone,pass,Published phone: 0000000000,https://peoplestravels.com/,
phone,pass,Published phone: +94 112 470 190 ,https://peoplestravels.com/,
phone,pass,Published phone: +94 112 396 296 ,https://peoplestravels.com/,
phone,pass,Published phone: +94 112 434 530 ,https://peoplestravels.com/,
email,pass,Published email: info@peoplestravels.com,https://peoplestravels.com/,
email,pass,Published email: ptravel@peoplesbank.lk,https://peoplestravels.com/,
postal_address,pass,"Published postal address: and choose a password to book an appointment."",""i18n_appt_required_fields_guest"":""Please fill in all \""Information\"" fie",https://peoplestravels.com/,
fees_and_payment,pass,"Published fees and payment: rs,",https://peoplestravels.com/,
phone,pass,Published phone: 0000000000,https://peoplestravels.com/,
phone,pass,Published phone: +94 112 470 190 ,https://peoplestravels.com/,
phone,pass,Published phone: +94 112 396 296 ,https://peoplestravels.com/,
phone,pass,Published phone: +94 112 434 530 ,https://peoplestravels.com/,
email,pass,Published email: info@peoplestravels.com,https://peoplestravels.com/,
email,pass,Published email: ptravel@peoplesbank.lk,https://peoplestravels.com/,
postal_address,pass,"Published postal address: and choose a password to book an appointment."",""i18n_appt_required_fields_guest"":""Please fill in all \""Information\"" fie",https://peoplestravels.com/,
fees_and_payment,pass,"Published fees and payment: rs,",https://peoplestravels.com/,
phone,pass,Published phone: 0000000000,https://peoplestravels.com/,
phone,pass,Published phone: +94 112 470 190 ,https://peoplestravels.com/,
phone,pass,Published phone: +94 112 396 296 ,https://peoplestravels.com/,
phone,pass,Published phone: +94 112 434 530 ,https://peoplestravels.com/,
email,pass,Published email: info@peoplestravels.com,https://peoplestravels.com/,
email,pass,Published email: ptravel@peoplesbank.lk,https://peoplestravels.com/,
postal_address,pass,"Published postal address: and choose a password to book an appointment."",""i18n_appt_required_fields_guest"":""Please fill in all \""Information\"" fie",https://peoplestravels.com/,
fees_and_payment,pass,"Published fees and payment: rs,",https://peoplestravels.com/,
phone,pass,Published phone: +94 112 396 296 ,https://peoplestravels.com/contact/,
phone,pass,Published phone: +94 112 434 530 ,https://peoplestravels.com/contact/,
phone,pass,Published phone: +94 718 693 711 ,https://peoplestravels.com/contact/,
phone,pass,Published phone: 023-11-27-05-2,https://peoplestravels.com/contact/,
phone,pass,Published phone: +94 71 872 9010 ,https://peoplestravels.com/contact/,
phone,pass,Published phone: 0000000000,https://peoplestravels.com/contact/,
phone,pass,Published phone: +94 718 693 719 ,https://peoplestravels.com/contact/,
phone,pass,Published phone: +94 112 470 190 ,https://peoplestravels.com/contact/,
email,pass,Published email: info@peoplestravels.com,https://peoplestravels.com/contact/,
email,pass,Published email: ptravel@peoplesbank.lk,https://peoplestravels.com/contact/,
postal_address,pass,"Published postal address: and choose a password to book an appointment."",""i18n_appt_required_fields_guest"":""Please fill in all \""Information\"" fie",https://peoplestravels.com/contact/,
fees_and_payment,pass,Published fees and payment: rs6,https://peoplestravels.com/contact/,
phone,pass,Published phone: +94 71 86 93 724,https://peoplestravels.com/tour/bangkok/,
phone,pass,Published phone: +94 112 396 296 ,https://peoplestravels.com/tour/bangkok/,
