check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:01:30.610323+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:01:30.610349+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:01:30.652010+05:30
http,pass,Probe 1: HTTP 200 at https://doc.gov.lk/index.php?lang=en,https://doc.gov.lk/,2026-09-09T00:02:23.915203+05:30
http,pass,Probe 2: HTTP 200 at https://doc.gov.lk/index.php?lang=en,http://doc.gov.lk/,2026-09-09T00:02:23.915224+05:30
http,pass,Probe 3: HTTP 200 at https://doc.gov.lk/index.php?lang=en,https://doc.gov.lk/,2026-09-09T00:02:23.915228+05:30
http,pass,Probe 4: HTTP 200 at https://doc.gov.lk/index.php?lang=en,http://doc.gov.lk/,2026-09-09T00:02:23.915231+05:30
http,pass,Probe 5: HTTP 200 at https://doc.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=en,https://doc.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=en,2026-09-09T00:02:23.915234+05:30
http,pass,Probe 6: HTTP 200 at https://doc.gov.lk/index.php?option=com_content&view=article&id=1&Itemid=130&lang=en,https://doc.gov.lk/index.php?option=com_content&view=article&id=1&Itemid=130&lang=en,2026-09-09T00:02:23.915236+05:30
http,pass,Probe 7: HTTP 200 at https://doc.gov.lk/index.php?option=com_content&view=article&id=4&Itemid=131&lang=en,https://doc.gov.lk/index.php?option=com_content&view=article&id=4&Itemid=131&lang=en,2026-09-09T00:02:23.915239+05:30
http,pass,Probe 8: HTTP 200 at https://doc.gov.lk/index.php?option=com_content&view=article&id=5&Itemid=132&lang=en,https://doc.gov.lk/index.php?option=com_content&view=article&id=5&Itemid=132&lang=en,2026-09-09T00:02:23.915242+05:30
http,pass,Probe 9: HTTP 200 at https://doc.gov.lk/index.php?option=com_content&view=article&id=6&Itemid=133&lang=en,https://doc.gov.lk/index.php?option=com_content&view=article&id=6&Itemid=133&lang=en,2026-09-09T00:02:23.915245+05:30
http,pass,Probe 10: HTTP 200 at https://doc.gov.lk/index.php?option=com_content&view=article&id=73&Itemid=204&lang=en,https://doc.gov.lk/index.php?option=com_content&view=article&id=73&Itemid=204&lang=en,2026-09-09T00:02:23.915247+05:30
http,pass,Probe 11: HTTP 200 at https://doc.gov.lk/index.php?option=com_content&view=article&id=7&Itemid=134&lang=en,https://doc.gov.lk/index.php?option=com_content&view=article&id=7&Itemid=134&lang=en,2026-09-09T00:02:23.915250+05:30
http,pass,Probe 12: HTTP 200 at https://doc.gov.lk/index.php?option=com_content&view=article&id=11&Itemid=142&lang=en,https://doc.gov.lk/index.php?option=com_content&view=article&id=11&Itemid=142&lang=en,2026-09-09T00:02:23.915253+05:30
http,pass,Probe 13: HTTP 200 at https://doc.gov.lk/index.php?option=com_content&view=article&id=27&Itemid=245&lang=en,https://doc.gov.lk/index.php?option=com_content&view=article&id=27&Itemid=245&lang=en,2026-09-09T00:02:23.915256+05:30
http,pass,Probe 14: HTTP 200 at https://doc.gov.lk/index.php?option=com_content&view=article&id=43&Itemid=246&lang=en,https://doc.gov.lk/index.php?option=com_content&view=article&id=43&Itemid=246&lang=en,2026-09-09T00:02:23.915258+05:30
phone,pass,Published phone: 011 2430233 ,https://doc.gov.lk/index.php?lang=en,
phone,pass,Published phone: 071 450 1444 ,https://doc.gov.lk/index.php?lang=en,
