check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:40:57.683164+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:40:57.683185+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:40:58.613466+05:30
http,pass,Probe 1: HTTP 200 at https://www.smib.lk/en,https://www.smib.lk/,2026-09-08T23:41:35.247504+05:30
http,pass,Probe 2: HTTP 200 at https://www.smib.lk/en,http://www.smib.lk/,2026-09-08T23:41:35.247527+05:30
http,pass,Probe 3: HTTP 200 at https://www.smib.lk/en,https://www.smib.lk/,2026-09-08T23:41:35.247531+05:30
http,pass,Probe 4: HTTP 200 at https://www.smib.lk/en,http://www.smib.lk/,2026-09-08T23:41:35.247533+05:30
http,pass,Probe 5: HTTP 200 at https://www.smib.lk/en/contact-us,https://www.smib.lk/en/contact-us,2026-09-08T23:41:35.247536+05:30
http,pass,Probe 6: HTTP 200 at https://www.smib.lk/si,https://www.smib.lk/si,2026-09-08T23:41:35.247539+05:30
http,pass,Probe 7: HTTP 200 at https://www.smib.lk/ta,https://www.smib.lk/ta,2026-09-08T23:41:35.247541+05:30
http,pass,Probe 8: HTTP 200 at https://www.smib.lk/en/loan-rates,https://www.smib.lk/en/loan-rates,2026-09-08T23:41:35.247544+05:30
http,pass,Probe 9: HTTP 200 at https://www.smib.lk/en/savings-deposits-rates,https://www.smib.lk/en/savings-deposits-rates,2026-09-08T23:41:35.247546+05:30
http,pass,Probe 10: HTTP 200 at https://www.smib.lk/en/senior-citizen-fd-rates,https://www.smib.lk/en/senior-citizen-fd-rates,2026-09-08T23:41:35.247549+05:30
http,pass,Probe 11: HTTP 200 at https://www.smib.lk/en/procurement,https://www.smib.lk/en/procurement,2026-09-08T23:41:35.247552+05:30
http,pass,Probe 12: HTTP 200 at https://www.smib.lk/en/about-smib,https://www.smib.lk/en/about-smib,2026-09-08T23:41:35.247554+05:30
http,pass,Probe 13: HTTP 200 at https://www.smib.lk/en/board-of-directors,https://www.smib.lk/en/board-of-directors,2026-09-08T23:41:35.247557+05:30
http,pass,Probe 14: HTTP 200 at https://www.smib.lk/en/management,https://www.smib.lk/en/management,2026-09-08T23:41:35.247559+05:30
phone,pass,Published phone: 011-2575031 ,https://www.smib.lk/en,
phone,pass,Published phone: 0008305927,https://www.smib.lk/en,
phone,pass,Published phone: 1922,https://www.smib.lk/en,
phone,pass,Published phone: 011-7722722-,https://www.smib.lk/en,
email,pass,Published email: info@smib.lk,https://www.smib.lk/en,
postal_address,pass,Published postal address: to proceed. This will help us assist you better. Thank you! First Name Last Name Email Address Log In Subscribe us & rec,https://www.smib.lk/en,
named_responsibility,pass,Published named responsibility: director,https://www.smib.lk/en,
fees_and_payment,pass,Published fees and payment: රු 3,https://www.smib.lk/en,
downloadable_form,pass,Published downloadable form: https://www.smib.lk/upload/reports/supplier-registration-application-for-the-year-2026.pdf,https://www.smib.lk/en,
phone,pass,Published phone: 011-2575031 ,https://www.smib.lk/en,
phone,pass,Published phone: 0008305927,https://www.smib.lk/en,
phone,pass,Published phone: 1922,https://www.smib.lk/en,
phone,pass,Published phone: 011-7722722-,https://www.smib.lk/en,
email,pass,Published email: info@smib.lk,https://www.smib.lk/en,
postal_address,pass,Published postal address: to proceed. This will help us assist you better. Thank you! First Name Last Name Email Address Log In Subscribe us & rec,https://www.smib.lk/en,
named_responsibility,pass,Published named responsibility: director,https://www.smib.lk/en,
fees_and_payment,pass,Published fees and payment: රු 3,https://www.smib.lk/en,
downloadable_form,pass,Published downloadable form: https://www.smib.lk/upload/reports/supplier-registration-application-for-the-year-2026.pdf,https://www.smib.lk/en,
phone,pass,Published phone: 011-2575031 ,https://www.smib.lk/en,
phone,pass,Published phone: 0008305927,https://www.smib.lk/en,
phone,pass,Published phone: 1922,https://www.smib.lk/en,
phone,pass,Published phone: 011-7722722-,https://www.smib.lk/en,
email,pass,Published email: info@smib.lk,https://www.smib.lk/en,
postal_address,pass,Published postal address: to proceed. This will help us assist you better. Thank you! First Name Last Name Email Address Log In Subscribe us & rec,https://www.smib.lk/en,
named_responsibility,pass,Published named responsibility: director,https://www.smib.lk/en,
fees_and_payment,pass,Published fees and payment: රු 3,https://www.smib.lk/en,
