check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:57:29.504868+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:57:29.504885+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:57:29.551655+05:30
http,pass,Probe 1: HTTP 200 at https://srilankateaboard.lk/,https://srilankateaboard.lk/,2026-09-08T23:57:46.867758+05:30
http,pass,Probe 2: HTTP 200 at https://srilankateaboard.lk/,http://srilankateaboard.lk/,2026-09-08T23:57:46.867780+05:30
http,pass,Probe 3: HTTP 200 at https://srilankateaboard.lk/,https://srilankateaboard.lk/,2026-09-08T23:57:46.867784+05:30
http,pass,Probe 4: HTTP 200 at https://srilankateaboard.lk/,http://srilankateaboard.lk/,2026-09-08T23:57:46.867787+05:30
http,pass,Probe 5: HTTP 200 at https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/,2026-09-08T23:57:46.867789+05:30
http,pass,Probe 6: HTTP 200 at https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/tea-commissioners-division/,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/tea-commissioners-division/,2026-09-08T23:57:46.867792+05:30
http,pass,Probe 7: HTTP 200 at https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/tea-promotion-division/,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/tea-promotion-division/,2026-09-08T23:57:46.867794+05:30
http,pass,Probe 8: HTTP 200 at https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/tea-export-division/,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/tea-export-division/,2026-09-08T23:57:46.867797+05:30
http,pass,Probe 9: HTTP 200 at https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/analytical-laboratory/,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/analytical-laboratory/,2026-09-08T23:57:46.867799+05:30
http,pass,Probe 10: HTTP 200 at https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/it-and-statistical-division/,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/it-and-statistical-division/,2026-09-08T23:57:46.867802+05:30
http,pass,Probe 11: HTTP 200 at https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/administration-division/,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/administration-division/,2026-09-08T23:57:46.867805+05:30
http,pass,Probe 12: HTTP 200 at https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/finance-division/,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/finance-division/,2026-09-08T23:57:46.867807+05:30
http,pass,Probe 13: HTTP 200 at https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/internal-audit/,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/internal-audit/,2026-09-08T23:57:46.867814+05:30
http,pass,Probe 14: HTTP 200 at https://srilankateaboard.lk/contact-us/,https://srilankateaboard.lk/contact-us/,2026-09-08T23:57:46.867817+05:30
phone,pass,Published phone: +94) 112 123 456 ,https://srilankateaboard.lk/,
phone,pass,Published phone: +94) 112 58 78 14 (,https://srilankateaboard.lk/,
email,pass,Published email: sltbhelp@pureceylontea.com,https://srilankateaboard.lk/,
email,pass,Published email: teaboard@pureceylontea.com,https://srilankateaboard.lk/,
postal_address,pass,"Published postal address: 574, Galle Road, Colombo 3, Sri Lanka.",https://srilankateaboard.lk/,
named_responsibility,pass,Published named responsibility: director,https://srilankateaboard.lk/,
phone,pass,Published phone: +94) 112 123 456 ,https://srilankateaboard.lk/,
phone,pass,Published phone: +94) 112 58 78 14 (,https://srilankateaboard.lk/,
email,pass,Published email: sltbhelp@pureceylontea.com,https://srilankateaboard.lk/,
email,pass,Published email: teaboard@pureceylontea.com,https://srilankateaboard.lk/,
postal_address,pass,"Published postal address: 574, Galle Road, Colombo 3, Sri Lanka.",https://srilankateaboard.lk/,
named_responsibility,pass,Published named responsibility: director,https://srilankateaboard.lk/,
phone,pass,Published phone: +94) 112 123 456 ,https://srilankateaboard.lk/,
phone,pass,Published phone: +94) 112 58 78 14 (,https://srilankateaboard.lk/,
email,pass,Published email: sltbhelp@pureceylontea.com,https://srilankateaboard.lk/,
email,pass,Published email: teaboard@pureceylontea.com,https://srilankateaboard.lk/,
postal_address,pass,"Published postal address: 574, Galle Road, Colombo 3, Sri Lanka.",https://srilankateaboard.lk/,
named_responsibility,pass,Published named responsibility: director,https://srilankateaboard.lk/,
phone,pass,Published phone: +94) 112 123 456 ,https://srilankateaboard.lk/,
phone,pass,Published phone: +94) 112 58 78 14 (,https://srilankateaboard.lk/,
email,pass,Published email: sltbhelp@pureceylontea.com,https://srilankateaboard.lk/,
email,pass,Published email: teaboard@pureceylontea.com,https://srilankateaboard.lk/,
postal_address,pass,"Published postal address: 574, Galle Road, Colombo 3, Sri Lanka.",https://srilankateaboard.lk/,
named_responsibility,pass,Published named responsibility: director,https://srilankateaboard.lk/,
phone,pass,Published phone: +94) 112 123 456 ,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/,
phone,pass,Published phone: +94) 112 58 78 14 (,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/,
email,pass,Published email: sltbhelp@pureceylontea.com,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/,
email,pass,Published email: teaboard@pureceylontea.com,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/,
postal_address,pass,"Published postal address: 574, Galle Road, Colombo 3, Sri Lanka.",https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/,
named_responsibility,pass,Published named responsibility: director,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/,
phone,pass,Published phone: +94) 112 123 456 ,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/tea-commissioners-division/,
phone,pass,Published phone: +94) 112 58 78 14 (,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/tea-commissioners-division/,
email,pass,Published email: sltbhelp@pureceylontea.com,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/tea-commissioners-division/,
email,pass,Published email: teaboard@pureceylontea.com,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/tea-commissioners-division/,
postal_address,pass,"Published postal address: 574, Galle Road, Colombo 3, Sri Lanka.",https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/tea-commissioners-division/,
named_responsibility,pass,Published named responsibility: director,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/tea-commissioners-division/,
fees_and_payment,pass,"Published fees and payment: rs,",https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/tea-commissioners-division/,
phone,pass,Published phone: +94) 112 123 456 ,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/tea-promotion-division/,
phone,pass,Published phone: +94) 112 58 78 14 (,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/tea-promotion-division/,
email,pass,Published email: sltbhelp@pureceylontea.com,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/tea-promotion-division/,
email,pass,Published email: teaboard@pureceylontea.com,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/tea-promotion-division/,
postal_address,pass,"Published postal address: 574, Galle Road, Colombo 3, Sri Lanka.",https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/tea-promotion-division/,
named_responsibility,pass,Published named responsibility: director,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/tea-promotion-division/,
phone,pass,Published phone: +94) 112 123 456 ,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/tea-export-division/,
phone,pass,Published phone: +94) 112 58 78 14 (,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/tea-export-division/,
email,pass,Published email: sltbhelp@pureceylontea.com,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/tea-export-division/,
email,pass,Published email: teaboard@pureceylontea.com,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/tea-export-division/,
postal_address,pass,"Published postal address: 574, Galle Road, Colombo 3, Sri Lanka.",https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/tea-export-division/,
named_responsibility,pass,Published named responsibility: director,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/tea-export-division/,
required_documents,pass,Published required documents: required documents,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/tea-export-division/,
legal_basis,pass,Published legal basis: regulations,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/tea-export-division/,
phone,pass,Published phone: +94) 112 123 456 ,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/analytical-laboratory/,
phone,pass,Published phone: +94) 112 58 78 14 (,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/analytical-laboratory/,
email,pass,Published email: sltbhelp@pureceylontea.com,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/analytical-laboratory/,
email,pass,Published email: teaboard@pureceylontea.com,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/analytical-laboratory/,
postal_address,pass,"Published postal address: 574, Galle Road, Colombo 3, Sri Lanka.",https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/analytical-laboratory/,
named_responsibility,pass,Published named responsibility: director,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/analytical-laboratory/,
downloadable_form,pass,Published downloadable form: https://srilankateaboard.lk/wp-content/uploads/2026/06/APPLICATION-FOR-TESTING-TEA-SAMPLES.pdf,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/analytical-laboratory/,
phone,pass,Published phone: +94) 112 123 456 ,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/it-and-statistical-division/,
phone,pass,Published phone: +94) 112 58 78 14 (,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/it-and-statistical-division/,
email,pass,Published email: sltbhelp@pureceylontea.com,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/it-and-statistical-division/,
email,pass,Published email: teaboard@pureceylontea.com,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/it-and-statistical-division/,
postal_address,pass,"Published postal address: 574, Galle Road, Colombo 3, Sri Lanka.",https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/it-and-statistical-division/,
named_responsibility,pass,Published named responsibility: director,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/it-and-statistical-division/,
phone,pass,Published phone: +94) 112 123 456 ,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/administration-division/,
phone,pass,Published phone: +94) 112 58 78 14 (,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/administration-division/,
email,pass,Published email: sltbhelp@pureceylontea.com,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/administration-division/,
email,pass,Published email: teaboard@pureceylontea.com,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/administration-division/,
postal_address,pass,"Published postal address: 574, Galle Road, Colombo 3, Sri Lanka.",https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/administration-division/,
named_responsibility,pass,Published named responsibility: director,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/administration-division/,
phone,pass,Published phone: +94) 112 123 456 ,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/finance-division/,
phone,pass,Published phone: +94) 112 58 78 14 (,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/finance-division/,
email,pass,Published email: sltbhelp@pureceylontea.com,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/finance-division/,
email,pass,Published email: teaboard@pureceylontea.com,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/finance-division/,
postal_address,pass,"Published postal address: 574, Galle Road, Colombo 3, Sri Lanka.",https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/finance-division/,
named_responsibility,pass,Published named responsibility: director,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/finance-division/,
phone,pass,Published phone: +94) 112 123 456 ,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/internal-audit/,
phone,pass,Published phone: +94) 112 58 78 14 (,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/internal-audit/,
email,pass,Published email: sltbhelp@pureceylontea.com,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/internal-audit/,
email,pass,Published email: teaboard@pureceylontea.com,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/internal-audit/,
postal_address,pass,"Published postal address: 574, Galle Road, Colombo 3, Sri Lanka.",https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/internal-audit/,
named_responsibility,pass,Published named responsibility: director,https://srilankateaboard.lk/sri-lanka-tea-board/divisions-and-units/internal-audit/,
phone,pass,Published phone: +94) 112 123 456 ,https://srilankateaboard.lk/contact-us/,
phone,pass,Published phone: +94) 112 58 78 14 (,https://srilankateaboard.lk/contact-us/,
email,pass,Published email: sltbhelp@pureceylontea.com,https://srilankateaboard.lk/contact-us/,
email,pass,Published email: teaboard@pureceylontea.com,https://srilankateaboard.lk/contact-us/,
postal_address,pass,"Published postal address: 574, Galle Road, Colombo 3, Sri Lanka.",https://srilankateaboard.lk/contact-us/,
named_responsibility,pass,Published named responsibility: director,https://srilankateaboard.lk/contact-us/,
page_text,pass,Substantive page content: 20778 visible characters across 14 pages,https://srilankateaboard.lk/,
