check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:48:27.013315+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:48:27.013334+05:30
tls_expired,fail,TLS certificate has expired,,2026-09-08T23:48:27.491132+05:30
tls_browser_error,fail,Probe 1: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: EE certificate key too weak (_ssl.c:1032),https://www.nhsl.health.gov.lk/,2026-09-08T23:48:45.580276+05:30
http,pass,Probe 2: HTTP 200 at http://www.nhsl.health.gov.lk/,http://www.nhsl.health.gov.lk/,2026-09-08T23:48:45.580304+05:30
tls_browser_error,fail,Probe 3: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: EE certificate key too weak (_ssl.c:1032),https://www.nhsl.health.gov.lk/,2026-09-08T23:48:45.580308+05:30
http,pass,Probe 4: HTTP 200 at http://www.nhsl.health.gov.lk/,http://www.nhsl.health.gov.lk/,2026-09-08T23:48:45.580312+05:30
http,pass,Probe 5: HTTP 200 at http://www.nhsl.health.gov.lk/web/index.php?lang=si,http://www.nhsl.health.gov.lk/web/index.php?lang=si,2026-09-08T23:48:45.580314+05:30
http,pass,Probe 6: HTTP 200 at http://www.nhsl.health.gov.lk/web/index.php?lang=ta,http://www.nhsl.health.gov.lk/web/index.php?lang=ta,2026-09-08T23:48:45.580317+05:30
http,pass,Probe 7: HTTP 200 at http://www.nhsl.health.gov.lk/web/index.php?lang=en,http://www.nhsl.health.gov.lk/web/index.php?lang=en,2026-09-08T23:48:45.580320+05:30
http,pass,Probe 8: HTTP 200 at http://www.nhsl.health.gov.lk/web/index.php?option=com_content&view=article&id=73&Itemid=234&lang=en,http://www.nhsl.health.gov.lk/web/index.php?option=com_content&view=article&id=73&Itemid=234,2026-09-08T23:48:45.580323+05:30
