check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:23:27.324060+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:23:27.324079+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:23:27.878773+05:30
http,pass,Probe 1: HTTP 200 at https://slcarp.lk/,https://slcarp.lk/,2026-09-08T23:23:48.962153+05:30
http,pass,Probe 2: HTTP 200 at http://slcarp.lk/,http://slcarp.lk/,2026-09-08T23:23:48.962173+05:30
http,pass,Probe 3: HTTP 200 at https://slcarp.lk/,https://slcarp.lk/,2026-09-08T23:23:48.962177+05:30
http,pass,Probe 4: HTTP 200 at http://slcarp.lk/,http://slcarp.lk/,2026-09-08T23:23:48.962180+05:30
http,pass,Probe 5: HTTP 200 at https://slcarp.lk/contact.php?lan=1,https://slcarp.lk/contact.php?lan=1,2026-09-08T23:23:48.962183+05:30
http,pass,Probe 6: HTTP 200 at https://slcarp.lk/index.php?lan=1,https://slcarp.lk/index.php?lan=1,2026-09-08T23:23:48.962186+05:30
http,pass,Probe 7: HTTP 200 at https://slcarp.lk/index.php?lan=2,https://slcarp.lk/index.php?lan=2,2026-09-08T23:23:48.962189+05:30
http,pass,Probe 8: HTTP 200 at https://slcarp.lk/index.php?lan=3,https://slcarp.lk/index.php?lan=3,2026-09-08T23:23:48.962191+05:30
http,pass,Probe 9: HTTP 200 at https://slcarp.lk/pages/about.php?id=1&&lan=1,https://slcarp.lk/pages/about.php?id=1&&lan=1,2026-09-08T23:23:48.962194+05:30
http,pass,Probe 10: HTTP 200 at https://slcarp.lk/pages/about.php?id=2&&lan=1,https://slcarp.lk/pages/about.php?id=2&&lan=1,2026-09-08T23:23:48.962196+05:30
http,pass,Probe 11: HTTP 200 at https://slcarp.lk/pages/about.php?id=3&&lan=1,https://slcarp.lk/pages/about.php?id=3&&lan=1,2026-09-08T23:23:48.962199+05:30
http,pass,Probe 12: HTTP 200 at https://slcarp.lk/pages/about.php?id=4&&lan=1,https://slcarp.lk/pages/about.php?id=4&&lan=1,2026-09-08T23:23:48.962202+05:30
http,pass,Probe 13: HTTP 200 at https://slcarp.lk/pages/about.php?id=5&&lan=1,https://slcarp.lk/pages/about.php?id=5&&lan=1,2026-09-08T23:23:48.962204+05:30
http,pass,Probe 14: HTTP 200 at https://slcarp.lk/pages/activitie_item.php?id=1&&lan=1,https://slcarp.lk/pages/activitie_item.php?id=1&&lan=1,2026-09-08T23:23:48.962207+05:30
phone,pass,Published phone: 0123456789,https://slcarp.lk/,
phone,pass,Published phone: +94)112 698001 ,https://slcarp.lk/,
email,pass,Published email: slcarp.agri@gmail.com,https://slcarp.lk/,
named_responsibility,pass,Published named responsibility: director,https://slcarp.lk/,
phone,pass,Published phone: 0123456789,http://slcarp.lk/,
phone,pass,Published phone: +94)112 698001 ,http://slcarp.lk/,
email,pass,Published email: slcarp.agri@gmail.com,http://slcarp.lk/,
named_responsibility,pass,Published named responsibility: director,http://slcarp.lk/,
phone,pass,Published phone: 0123456789,https://slcarp.lk/,
phone,pass,Published phone: +94)112 698001 ,https://slcarp.lk/,
