check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:04:06.116861+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:04:06.116880+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:04:06.624191+05:30
http,pass,Probe 1: HTTP 200 at https://www.nysc.lk/,https://www.nysc.lk/,2026-09-09T00:04:39.428365+05:30
http,pass,Probe 2: HTTP 200 at http://www.nysc.lk/,http://www.nysc.lk/,2026-09-09T00:04:39.428388+05:30
http,pass,Probe 3: HTTP 200 at https://www.nysc.lk/,https://www.nysc.lk/,2026-09-09T00:04:39.428392+05:30
http,pass,Probe 4: HTTP 200 at http://www.nysc.lk/,http://www.nysc.lk/,2026-09-09T00:04:39.428395+05:30
http,pass,Probe 5: HTTP 200 at https://www.nysc.lk/page/view/legal-investigation-division,https://www.nysc.lk/page/view/legal-investigation-division,2026-09-09T00:04:39.428398+05:30
http,pass,Probe 6: HTTP 200 at https://www.nysc.lk/page/view/national-youth-award-division,https://www.nysc.lk/page/view/national-youth-award-division,2026-09-09T00:04:39.428400+05:30
http,pass,Probe 7: HTTP 200 at https://www.nysc.lk/page/view/internal-audit-and-investigation-division,https://www.nysc.lk/page/view/internal-audit-and-investigation-division,2026-09-09T00:04:39.428403+05:30
http,pass,Probe 8: HTTP 200 at https://www.nysc.lk/page/view/examination-and-assessment-division,https://www.nysc.lk/page/view/examination-and-assessment-division,2026-09-09T00:04:39.428406+05:30
http,pass,Probe 9: HTTP 200 at https://www.nysc.lk/page/view/special-project-division,https://www.nysc.lk/page/view/special-project-division,2026-09-09T00:04:39.428409+05:30
http,pass,Probe 10: HTTP 200 at https://www.nysc.lk/page/list/divisions,https://www.nysc.lk/page/list/divisions,2026-09-09T00:04:39.428411+05:30
http,pass,Probe 11: HTTP 200 at https://www.nysc.lk/page/view/youth-services-limited,https://www.nysc.lk/page/view/youth-services-limited,2026-09-09T00:04:39.428414+05:30
http,pass,Probe 12: HTTP 200 at https://www.nysc.lk/page/list/services,https://www.nysc.lk/page/list/services,2026-09-09T00:04:39.428416+05:30
http,pass,Probe 13: HTTP 200 at https://www.nysc.lk/,https://www.nysc.lk/page/views/division,2026-09-09T00:04:39.428419+05:30
