check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:22:57.612307+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:22:57.612327+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:22:57.827371+05:30
http,pass,Probe 1: HTTP 200 at https://milco.lk/,https://milco.lk/,2026-09-08T23:23:32.687456+05:30
http,pass,Probe 2: HTTP 200 at https://milco.lk/,http://milco.lk/,2026-09-08T23:23:32.687478+05:30
http,pass,Probe 3: HTTP 200 at https://milco.lk/,https://milco.lk/,2026-09-08T23:23:32.687482+05:30
http,pass,Probe 4: HTTP 200 at https://milco.lk/,http://milco.lk/,2026-09-08T23:23:32.687486+05:30
http,pass,Probe 5: HTTP 200 at https://milco.lk/division-of-dairy-development-and-milk-procurement/,https://milco.lk/division-of-dairy-development-and-milk-procurement/,2026-09-08T23:23:32.687489+05:30
http,pass,Probe 6: HTTP 200 at https://milco.lk/contact-us/,https://milco.lk/contact-us/,2026-09-08T23:23:32.687492+05:30
http,pass,Probe 7: HTTP 200 at https://milco.lk/about-us/,https://milco.lk/about-us/,2026-09-08T23:23:32.687495+05:30
http,pass,Probe 8: HTTP 200 at https://milco.lk/products/,https://milco.lk/products/,2026-09-08T23:23:32.687497+05:30
http,pass,Probe 9: HTTP 200 at https://milco.lk/our-factories/,https://milco.lk/our-factories/,2026-09-08T23:23:32.687500+05:30
http,pass,Probe 10: HTTP 200 at https://milco.lk/news/,https://milco.lk/news/,2026-09-08T23:23:32.687503+05:30
http,pass,Probe 11: HTTP 200 at https://milco.lk/sales/,https://milco.lk/sales/,2026-09-08T23:23:32.687505+05:30
http,pass,Probe 12: HTTP 200 at https://milco.lk/highland-uht-treated-cow-milk/,https://milco.lk/highland-uht-treated-cow-milk,2026-09-08T23:23:32.687508+05:30
http,pass,Probe 13: HTTP 200 at https://milco.lk/full-cream-milk-powder/,https://milco.lk/full-cream-milk-powder/,2026-09-08T23:23:32.687510+05:30
http,pass,Probe 14: HTTP 200 at https://milco.lk/highland-sterilized-milk/,https://milco.lk/highland-sterilized-milk/,2026-09-08T23:23:32.687513+05:30
phone,pass,Published phone: +94 112 582 331 - ,https://milco.lk/,
email,pass,Published email: info@milco.lk,https://milco.lk/,
fees_and_payment,pass,Published fees and payment: rs 100,https://milco.lk/,
phone,pass,Published phone: +94 112 582 331 - ,https://milco.lk/,
email,pass,Published email: info@milco.lk,https://milco.lk/,
fees_and_payment,pass,Published fees and payment: rs 100,https://milco.lk/,
phone,pass,Published phone: +94 112 582 331 - ,https://milco.lk/,
email,pass,Published email: info@milco.lk,https://milco.lk/,
fees_and_payment,pass,Published fees and payment: rs 100,https://milco.lk/,
phone,pass,Published phone: +94 112 582 331 - ,https://milco.lk/,
email,pass,Published email: info@milco.lk,https://milco.lk/,
fees_and_payment,pass,Published fees and payment: rs 100,https://milco.lk/,
phone,pass,Published phone: +94 112 582 331 - ,https://milco.lk/division-of-dairy-development-and-milk-procurement/,
email,pass,Published email: info@milco.lk,https://milco.lk/division-of-dairy-development-and-milk-procurement/,
named_responsibility,pass,Published named responsibility: division,https://milco.lk/division-of-dairy-development-and-milk-procurement/,
fees_and_payment,pass,"Published fees and payment: rs,",https://milco.lk/division-of-dairy-development-and-milk-procurement/,
phone,pass,Published phone: +94 112 582 331 ,https://milco.lk/contact-us/,
phone,pass,Published phone: +94 112 582 331 - ,https://milco.lk/contact-us/,
email,pass,Published email: info@milco.lk,https://milco.lk/contact-us/,
phone,pass,Published phone: +94 112 582 331 - ,https://milco.lk/about-us/,
email,pass,Published email: info@milco.lk,https://milco.lk/about-us/,
phone,pass,Published phone: +94 112 582 331 - ,https://milco.lk/products/,
email,pass,Published email: info@milco.lk,https://milco.lk/products/,
phone,pass,Published phone: +94 112 582 331 - ,https://milco.lk/our-factories/,
email,pass,Published email: info@milco.lk,https://milco.lk/our-factories/,
named_responsibility,pass,Published named responsibility: division,https://milco.lk/our-factories/,
phone,pass,Published phone: +94 112 582 331 - ,https://milco.lk/news/,
email,pass,Published email: info@milco.lk,https://milco.lk/news/,
phone,pass,Published phone: 076-1489438 ,https://milco.lk/sales/,
phone,pass,Published phone: 025-4934689 ,https://milco.lk/sales/,
phone,pass,Published phone: 0114-500515 ,https://milco.lk/sales/,
phone,pass,Published phone: 076-1489398 ,https://milco.lk/sales/,
phone,pass,Published phone: 071-4415556 ,https://milco.lk/sales/,
phone,pass,Published phone: 071-4394655 ,https://milco.lk/sales/,
phone,pass,Published phone: 078-1489444 ,https://milco.lk/sales/,
phone,pass,Published phone: 071-4433372 ,https://milco.lk/sales/,
phone,pass,Published phone: 081-5675233 ,https://milco.lk/sales/,
phone,pass,Published phone: 071-8283483 ,https://milco.lk/sales/,
phone,pass,Published phone: 091-2234673 ,https://milco.lk/sales/,
phone,pass,Published phone: 081-4954068 ,https://milco.lk/sales/,
phone,pass,Published phone: 076-1486454 ,https://milco.lk/sales/,
phone,pass,Published phone: 076-1489449 ,https://milco.lk/sales/,
phone,pass,Published phone: 076-1489418 ,https://milco.lk/sales/,
phone,pass,Published phone: 0712-402026 ,https://milco.lk/sales/,
phone,pass,Published phone: +94 112 582 331 - ,https://milco.lk/sales/,
phone,pass,Published phone: 076-1489467 ,https://milco.lk/sales/,
phone,pass,Published phone: 027-4929238 ,https://milco.lk/sales/,
phone,pass,Published phone: 045-2223540 ,https://milco.lk/sales/,
phone,pass,Published phone: 071-4433370 ,https://milco.lk/sales/,
phone,pass,Published phone: 076-1489440 ,https://milco.lk/sales/,
phone,pass,Published phone: 076-1489397 ,https://milco.lk/sales/,
phone,pass,Published phone: 071-4433388 ,https://milco.lk/sales/,
phone,pass,Published phone: 071-4433375 ,https://milco.lk/sales/,
email,pass,Published email: spnawaratne@milco.lk,https://milco.lk/sales/,
email,pass,Published email: sapuvida@milco.lk,https://milco.lk/sales/,
email,pass,Published email: arunasekara1@gmail.com,https://milco.lk/sales/,
email,pass,Published email: chamindaamarathunge@gmail.com,https://milco.lk/sales/,
email,pass,Published email: mahesh@milco.lk,https://milco.lk/sales/,
email,pass,Published email: info@milco.lk,https://milco.lk/sales/,
email,pass,Published email: lalan@milco.lk,https://milco.lk/sales/,
email,pass,Published email: awsr1406@gmail.com,https://milco.lk/sales/,
email,pass,Published email: suranga@milco.lk,https://milco.lk/sales/,
email,pass,Published email: salgadoe@milco.lk,https://milco.lk/sales/,
email,pass,Published email: lalan.sots@gmail.com,https://milco.lk/sales/,
email,pass,Published email: hmpkumaratunga@gmail.com,https://milco.lk/sales/,
email,pass,Published email: cpamaratunge@milco.lk,https://milco.lk/sales/,
email,pass,Published email: hmpkherath@milco.lk,https://milco.lk/sales/,
email,pass,Published email: aabtrend@gmail.com,https://milco.lk/sales/,
email,pass,Published email: mahesh.milcomkt@gmail.com,https://milco.lk/sales/,
email,pass,Published email: prasanna@milco.lk,https://milco.lk/sales/,
named_responsibility,pass,Published named responsibility: division,https://milco.lk/sales/,
phone,pass,Published phone: +94 112 582 331 - ,https://milco.lk/highland-uht-treated-cow-milk/,
email,pass,Published email: info@milco.lk,https://milco.lk/highland-uht-treated-cow-milk/,
phone,pass,Published phone: +94 112 582 331 - ,https://milco.lk/full-cream-milk-powder/,
email,pass,Published email: info@milco.lk,https://milco.lk/full-cream-milk-powder/,
phone,pass,Published phone: +94 112 582 331 - ,https://milco.lk/highland-sterilized-milk/,
email,pass,Published email: info@milco.lk,https://milco.lk/highland-sterilized-milk/,
