check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:02:02.527559+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:02:02.527583+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:02:02.839039+05:30
http,pass,Probe 1: HTTP 200 at https://nicd.edu.lk/,https://nicd.edu.lk/,2026-09-09T00:02:32.748642+05:30
http,pass,Probe 2: HTTP 200 at https://nicd.edu.lk/,http://nicd.edu.lk/,2026-09-09T00:02:32.748664+05:30
http,pass,Probe 3: HTTP 200 at https://nicd.edu.lk/,https://nicd.edu.lk/,2026-09-09T00:02:32.748668+05:30
http,pass,Probe 4: HTTP 200 at https://nicd.edu.lk/,http://nicd.edu.lk/,2026-09-09T00:02:32.748671+05:30
http,pass,Probe 5: HTTP 200 at https://nicd.edu.lk/contact/,https://nicd.edu.lk/contact/,2026-09-09T00:02:32.748673+05:30
http,pass,Probe 6: HTTP 200 at https://nicd.edu.lk/establishment-division/,https://nicd.edu.lk/establishment-division/,2026-09-09T00:02:32.748676+05:30
http,pass,Probe 7: HTTP 200 at https://nicd.edu.lk/academic-division/,https://nicd.edu.lk/academic-division/,2026-09-09T00:02:32.748679+05:30
http,pass,Probe 8: HTTP 200 at https://nicd.edu.lk/finance-division/,https://nicd.edu.lk/finance-division/,2026-09-09T00:02:32.748681+05:30
http,pass,Probe 9: HTTP 200 at https://nicd.edu.lk/internal-audit-division/,https://nicd.edu.lk/internal-audit-division/,2026-09-09T00:02:32.748684+05:30
http,pass,Probe 10: HTTP 200 at https://nicd.edu.lk/hostel-division/,https://nicd.edu.lk/hostel-division/,2026-09-09T00:02:32.748686+05:30
http,pass,Probe 11: HTTP 200 at https://nicd.edu.lk/the-new-director-general-and-chief-executive-officer-of-the-national-institute-of-cooperative-development-mr-h-c-n-dharmapala-will-assume-office-on-11-08-2026-we-congratulate-the-chairm/,https://nicd.edu.lk/the-new-director-general-and-chief-executive-officer-of-the-national-institute-of-cooperative-development-mr-h-c-n-dharmapala-will-assume-office-on-11-08-2026-we-congratulate-the-chairm/,2026-09-09T00:02:32.748689+05:30
http,pass,Probe 12: HTTP 200 at https://nicd.edu.lk/about-nicd/,https://nicd.edu.lk/about-nicd/,2026-09-09T00:02:32.748692+05:30
http,pass,Probe 13: HTTP 200 at https://nicd.edu.lk/vision-mission/,https://nicd.edu.lk/vision-mission/,2026-09-09T00:02:32.748695+05:30
http,pass,Probe 14: HTTP 200 at https://nicd.edu.lk/director-general/,https://nicd.edu.lk/director-general/,2026-09-09T00:02:32.748697+05:30
phone,pass,Published phone: 021 2026-09-0,https://nicd.edu.lk/,
postal_address,pass,"Published postal address: is required"",""url"":""Please enter a valid URL"",""date"":""Please enter a valid date"",""dateISO"":""Please enter a valid date (I",https://nicd.edu.lk/,
named_responsibility,pass,Published named responsibility: director,https://nicd.edu.lk/,
phone,pass,Published phone: 021 2026-09-0,https://nicd.edu.lk/,
postal_address,pass,"Published postal address: is required"",""url"":""Please enter a valid URL"",""date"":""Please enter a valid date"",""dateISO"":""Please enter a valid date (I",https://nicd.edu.lk/,
named_responsibility,pass,Published named responsibility: director,https://nicd.edu.lk/,
phone,pass,Published phone: 021 2026-09-0,https://nicd.edu.lk/,
postal_address,pass,"Published postal address: is required"",""url"":""Please enter a valid URL"",""date"":""Please enter a valid date"",""dateISO"":""Please enter a valid date (I",https://nicd.edu.lk/,
named_responsibility,pass,Published named responsibility: director,https://nicd.edu.lk/,
phone,pass,Published phone: 021 2026-09-0,https://nicd.edu.lk/,
postal_address,pass,"Published postal address: is required"",""url"":""Please enter a valid URL"",""date"":""Please enter a valid date"",""dateISO"":""Please enter a valid date (I",https://nicd.edu.lk/,
named_responsibility,pass,Published named responsibility: director,https://nicd.edu.lk/,
phone,pass,Published phone: +94 812 500 378 ,https://nicd.edu.lk/contact/,
phone,pass,Published phone: +94 812 499 301 ,https://nicd.edu.lk/contact/,
phone,pass,Published phone: +94 812 498 679,https://nicd.edu.lk/contact/,
