check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:33:48.147444+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:33:48.147462+05:30
tls_expired,fail,TLS certificate has expired,,2026-09-08T23:33:48.203180+05:30
tls_browser_error,fail,Probe 1: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1032),https://dambasncoe.sch.lk/,2026-09-08T23:34:02.075291+05:30
http,pass,Probe 2: HTTP 200 at http://dambasncoe.sch.lk/,http://dambasncoe.sch.lk/,2026-09-08T23:34:02.075311+05:30
tls_browser_error,fail,Probe 3: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1032),https://dambasncoe.sch.lk/,2026-09-08T23:34:02.075315+05:30
http,pass,Probe 4: HTTP 200 at http://dambasncoe.sch.lk/,http://dambasncoe.sch.lk/,2026-09-08T23:34:02.075318+05:30
http,pass,Probe 5: HTTP 200 at http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--contact-us.html,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--contact-us.html,2026-09-08T23:34:02.075321+05:30
http,pass,Probe 6: HTTP 200 at http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college-home.html,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college-home.html,2026-09-08T23:34:02.075324+05:30
http,pass,Probe 7: HTTP 200 at http://dambasncoe.sch.lk/index.html,http://dambasncoe.sch.lk/index.html,2026-09-08T23:34:02.075326+05:30
http,pass,Probe 8: HTTP 200 at http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--about-us.html,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--about-us.html,2026-09-08T23:34:02.075329+05:30
http,pass,Probe 9: HTTP 200 at http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--academic-staff.html,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--academic-staff.html,2026-09-08T23:34:02.075332+05:30
http,pass,Probe 10: HTTP 200 at http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--courses.html,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--courses.html,2026-09-08T23:34:02.075338+05:30
http,pass,Probe 11: HTTP 200 at http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--gallery.html,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--gallery.html,2026-09-08T23:34:02.075340+05:30
http,pass,Probe 12: HTTP 200 at http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college-contact-us.html,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college-contact-us.html,2026-09-08T23:34:02.075343+05:30
http,pass,Probe 13: HTTP 200 at http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college-courses.html,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college-courses.html,2026-09-08T23:34:02.075345+05:30
http,pass,Probe 14: HTTP 200 at http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college-about-us.html,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college-about-us.html,2026-09-08T23:34:02.075348+05:30
phone,pass,Published phone: 037 39 73 366 ,http://dambasncoe.sch.lk/,
phone,pass,Published phone: 037 22 88 038 ,http://dambasncoe.sch.lk/,
email,pass,Published email: sariputtancoed@gmail.com,http://dambasncoe.sch.lk/,
named_responsibility,pass,Published named responsibility: department,http://dambasncoe.sch.lk/,
legal_basis,pass,Published legal basis: gazette,http://dambasncoe.sch.lk/,
phone,pass,Published phone: 037 39 73 366 ,http://dambasncoe.sch.lk/,
phone,pass,Published phone: 037 22 88 038 ,http://dambasncoe.sch.lk/,
email,pass,Published email: sariputtancoed@gmail.com,http://dambasncoe.sch.lk/,
named_responsibility,pass,Published named responsibility: department,http://dambasncoe.sch.lk/,
legal_basis,pass,Published legal basis: gazette,http://dambasncoe.sch.lk/,
phone,pass,Published phone: 037 39 73 366 ,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--contact-us.html,
phone,pass,Published phone: 037 22 88 038 ,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--contact-us.html,
email,pass,Published email: sariputtancoed@gmail.com,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--contact-us.html,
named_responsibility,pass,Published named responsibility: department,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--contact-us.html,
legal_basis,pass,Published legal basis: gazette,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--contact-us.html,
phone,pass,Published phone: 037 39 73 366 ,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college-home.html,
phone,pass,Published phone: 037 22 88 038 ,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college-home.html,
email,pass,Published email: sariputtancoed@gmail.com,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college-home.html,
phone,pass,Published phone: 037 39 73 366 ,http://dambasncoe.sch.lk/index.html,
phone,pass,Published phone: 037 22 88 038 ,http://dambasncoe.sch.lk/index.html,
email,pass,Published email: sariputtancoed@gmail.com,http://dambasncoe.sch.lk/index.html,
named_responsibility,pass,Published named responsibility: department,http://dambasncoe.sch.lk/index.html,
legal_basis,pass,Published legal basis: gazette,http://dambasncoe.sch.lk/index.html,
phone,pass,Published phone: 037 39 73 366 ,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--about-us.html,
phone,pass,Published phone: 037 22 88 038 ,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--about-us.html,
email,pass,Published email: sariputtancoed@gmail.com,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--about-us.html,
named_responsibility,pass,Published named responsibility: department,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--about-us.html,
legal_basis,pass,Published legal basis: gazette,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--about-us.html,
phone,pass,Published phone: 037 39 73 366 ,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--academic-staff.html,
phone,pass,Published phone: 037 22 88 038 ,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--academic-staff.html,
email,pass,Published email: sariputtancoed@gmail.com,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--academic-staff.html,
named_responsibility,pass,Published named responsibility: department,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--academic-staff.html,
legal_basis,pass,Published legal basis: gazette,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--academic-staff.html,
phone,pass,Published phone: 037 39 73 366 ,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--courses.html,
phone,pass,Published phone: 037 22 88 038 ,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--courses.html,
email,pass,Published email: sariputtancoed@gmail.com,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--courses.html,
named_responsibility,pass,Published named responsibility: department,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--courses.html,
legal_basis,pass,Published legal basis: gazette,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--courses.html,
phone,pass,Published phone: 037 39 73 366 ,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--gallery.html,
phone,pass,Published phone: 037 22 88 038 ,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--gallery.html,
email,pass,Published email: sariputtancoed@gmail.com,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--gallery.html,
named_responsibility,pass,Published named responsibility: department,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--gallery.html,
legal_basis,pass,Published legal basis: gazette,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college--gallery.html,
phone,pass,Published phone: 037 39 73 366 ,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college-contact-us.html,
phone,pass,Published phone: 037 22 88 038 ,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college-contact-us.html,
email,pass,Published email: sariputtancoed@gmail.com,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college-contact-us.html,
phone,pass,Published phone: 037 39 73 366 ,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college-courses.html,
phone,pass,Published phone: 037 22 88 038 ,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college-courses.html,
email,pass,Published email: sariputtancoed@gmail.com,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college-courses.html,
phone,pass,Published phone: 037 39 73 366 ,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college-about-us.html,
phone,pass,Published phone: 037 22 88 038 ,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college-about-us.html,
email,pass,Published email: sariputtancoed@gmail.com,http://dambasncoe.sch.lk/dambadeniya-sariputta-national-education-college-about-us.html,
page_text,pass,Substantive page content: 2078 visible characters across 12 pages,http://dambasncoe.sch.lk/,
