check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:55:51.962338+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:55:51.962355+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:55:52.007965+05:30
http,pass,Probe 1: HTTP 200 at https://labourdept.gov.lk/,https://labourdept.gov.lk/,2026-09-08T23:56:21.358093+05:30
http,pass,Probe 2: HTTP 200 at https://labourdept.gov.lk/,http://labourdept.gov.lk/,2026-09-08T23:56:21.358119+05:30
http,pass,Probe 3: HTTP 200 at https://labourdept.gov.lk/,https://labourdept.gov.lk/,2026-09-08T23:56:21.358123+05:30
http,pass,Probe 4: HTTP 200 at https://labourdept.gov.lk/,http://labourdept.gov.lk/,2026-09-08T23:56:21.358125+05:30
http,pass,Probe 5: HTTP 200 at https://labourdept.gov.lk/all-divisions/,https://labourdept.gov.lk/all-divisions/,2026-09-08T23:56:21.358128+05:30
http,pass,Probe 6: HTTP 200 at https://labourdept.gov.lk/epf-services-info/,http://labourdept.gov.lk/epf-services-info/,2026-09-08T23:56:21.358130+05:30
http,pass,Probe 7: HTTP 200 at https://labourdept.gov.lk/safety-division-info/,https://labourdept.gov.lk/safety-division-info/,2026-09-08T23:56:21.358132+05:30
http,pass,Probe 8: HTTP 200 at https://labourdept.gov.lk/find-nearest-labour-offices/,https://labourdept.gov.lk/find-nearest-labour-offices/,2026-09-08T23:56:21.358135+05:30
http,pass,Probe 9: HTTP 200 at https://labourdept.gov.lk/safety-division/,https://labourdept.gov.lk/safety-division/,2026-09-08T23:56:21.358138+05:30
http,pass,Probe 10: HTTP 200 at https://labourdept.gov.lk/contact/,https://labourdept.gov.lk/contact/,2026-09-08T23:56:21.358140+05:30
http,pass,Probe 11: HTTP 200 at https://labourdept.gov.lk/contact-officials/,https://labourdept.gov.lk/contact-officials/,2026-09-08T23:56:21.358143+05:30
http,pass,Probe 12: HTTP 200 at https://labourdept.gov.lk/epf-services-info/,https://labourdept.gov.lk/epf-services-info/,2026-09-08T23:56:21.358145+05:30
http,pass,Probe 13: HTTP 200 at https://labourdept.gov.lk/subject-procurement-of-acquiring-a-building-on-a-rent-basis-for-operations-of-the-panadura-labour-office-of-the-department-of-labour-fg-tb-66-2024/,https://labourdept.gov.lk/subject-procurement-of-acquiring-a-building-on-a-rent-basis-for-operations-of-the-panadura-labour-office-of-the-department-of-labour-fg-tb-66-2024/,2026-09-08T23:56:21.358148+05:30
http,pass,Probe 14: HTTP 200 at https://labourdept.gov.lk/provision-of-facility-management-services-for-the-year-2026-2027-for-mehewara-piyesa-contract-no-fg-tb-31-2026/,https://labourdept.gov.lk/provision-of-facility-management-services-for-the-year-2026-2027-for-mehewara-piyesa-contract-no-fg-tb-31-2026/,2026-09-08T23:56:21.358150+05:30
phone,pass,Published phone: 0349848156 ,https://labourdept.gov.lk/,
phone,pass,Published phone: 0112 201 201 ,https://labourdept.gov.lk/,
phone,pass,Published phone: 0468724783,https://labourdept.gov.lk/,
phone,pass,Published phone: 0359953754 ,https://labourdept.gov.lk/,
phone,pass,Published phone: 0450940556 ,https://labourdept.gov.lk/,
phone,pass,Published phone: +94 112 104 800 ,https://labourdept.gov.lk/,
phone,pass,Published phone: 0536626940 ,https://labourdept.gov.lk/,
phone,pass,Published phone: 0422055710 ,https://labourdept.gov.lk/,
phone,pass,Published phone: 0353206822 ,https://labourdept.gov.lk/,
email,pass,Published email: contacts@labourdept.gov.lk,https://labourdept.gov.lk/,
postal_address,pass,Published postal address: Contact Info Labour Secretariat Colombo 05 Sri Lanka,https://labourdept.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://labourdept.gov.lk/,
phone,pass,Published phone: 0349848156 ,https://labourdept.gov.lk/,
phone,pass,Published phone: 0112 201 201 ,https://labourdept.gov.lk/,
phone,pass,Published phone: 0468724783,https://labourdept.gov.lk/,
phone,pass,Published phone: 0359953754 ,https://labourdept.gov.lk/,
phone,pass,Published phone: 0450940556 ,https://labourdept.gov.lk/,
phone,pass,Published phone: +94 112 104 800 ,https://labourdept.gov.lk/,
phone,pass,Published phone: 0536626940 ,https://labourdept.gov.lk/,
phone,pass,Published phone: 0422055710 ,https://labourdept.gov.lk/,
phone,pass,Published phone: 0353206822 ,https://labourdept.gov.lk/,
email,pass,Published email: contacts@labourdept.gov.lk,https://labourdept.gov.lk/,
postal_address,pass,Published postal address: Contact Info Labour Secretariat Colombo 05 Sri Lanka,https://labourdept.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://labourdept.gov.lk/,
phone,pass,Published phone: 0349848156 ,https://labourdept.gov.lk/,
phone,pass,Published phone: 0112 201 201 ,https://labourdept.gov.lk/,
phone,pass,Published phone: 0468724783,https://labourdept.gov.lk/,
phone,pass,Published phone: 0359953754 ,https://labourdept.gov.lk/,
phone,pass,Published phone: 0450940556 ,https://labourdept.gov.lk/,
phone,pass,Published phone: +94 112 104 800 ,https://labourdept.gov.lk/,
phone,pass,Published phone: 0536626940 ,https://labourdept.gov.lk/,
phone,pass,Published phone: 0422055710 ,https://labourdept.gov.lk/,
phone,pass,Published phone: 0353206822 ,https://labourdept.gov.lk/,
email,pass,Published email: contacts@labourdept.gov.lk,https://labourdept.gov.lk/,
postal_address,pass,Published postal address: Contact Info Labour Secretariat Colombo 05 Sri Lanka,https://labourdept.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://labourdept.gov.lk/,
phone,pass,Published phone: 0349848156 ,https://labourdept.gov.lk/,
phone,pass,Published phone: 0112 201 201 ,https://labourdept.gov.lk/,
phone,pass,Published phone: 0468724783,https://labourdept.gov.lk/,
phone,pass,Published phone: 0359953754 ,https://labourdept.gov.lk/,
phone,pass,Published phone: 0450940556 ,https://labourdept.gov.lk/,
phone,pass,Published phone: +94 112 104 800 ,https://labourdept.gov.lk/,
phone,pass,Published phone: 0536626940 ,https://labourdept.gov.lk/,
phone,pass,Published phone: 0422055710 ,https://labourdept.gov.lk/,
phone,pass,Published phone: 0353206822 ,https://labourdept.gov.lk/,
email,pass,Published email: contacts@labourdept.gov.lk,https://labourdept.gov.lk/,
postal_address,pass,Published postal address: Contact Info Labour Secretariat Colombo 05 Sri Lanka,https://labourdept.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://labourdept.gov.lk/,
phone,pass,Published phone: 0349848156 ,https://labourdept.gov.lk/all-divisions/,
phone,pass,Published phone: 0359953754 ,https://labourdept.gov.lk/all-divisions/,
phone,pass,Published phone: 0450940556 ,https://labourdept.gov.lk/all-divisions/,
phone,pass,Published phone: +94 112 104 800 ,https://labourdept.gov.lk/all-divisions/,
phone,pass,Published phone: 0536626940 ,https://labourdept.gov.lk/all-divisions/,
phone,pass,Published phone: 0422055710 ,https://labourdept.gov.lk/all-divisions/,
phone,pass,Published phone: 0353206822 ,https://labourdept.gov.lk/all-divisions/,
email,pass,Published email: contacts@labourdept.gov.lk,https://labourdept.gov.lk/all-divisions/,
postal_address,pass,Published postal address: Contact Info Labour Secretariat Colombo 05 Sri Lanka,https://labourdept.gov.lk/all-divisions/,
named_responsibility,pass,Published named responsibility: director,https://labourdept.gov.lk/all-divisions/,
phone,pass,Published phone: 0349848156 ,https://labourdept.gov.lk/epf-services-info/,
phone,pass,Published phone: 0359953754 ,https://labourdept.gov.lk/epf-services-info/,
phone,pass,Published phone: 0450940556 ,https://labourdept.gov.lk/epf-services-info/,
phone,pass,Published phone: 0707209973,https://labourdept.gov.lk/epf-services-info/,
phone,pass,Published phone: +94 112 104 800 ,https://labourdept.gov.lk/epf-services-info/,
phone,pass,Published phone: 0536626940 ,https://labourdept.gov.lk/epf-services-info/,
phone,pass,Published phone: 0422055710 ,https://labourdept.gov.lk/epf-services-info/,
phone,pass,Published phone: 0353206822 ,https://labourdept.gov.lk/epf-services-info/,
email,pass,Published email: contacts@labourdept.gov.lk,https://labourdept.gov.lk/epf-services-info/,
postal_address,pass,Published postal address: Contact Info Labour Secretariat Colombo 05 Sri Lanka,https://labourdept.gov.lk/epf-services-info/,
named_responsibility,pass,Published named responsibility: director,https://labourdept.gov.lk/epf-services-info/,
phone,pass,Published phone: 0349848156 ,https://labourdept.gov.lk/safety-division-info/,
phone,pass,Published phone: 0359953754 ,https://labourdept.gov.lk/safety-division-info/,
phone,pass,Published phone: 0112508726 ,https://labourdept.gov.lk/safety-division-info/,
phone,pass,Published phone: 0450940556 ,https://labourdept.gov.lk/safety-division-info/,
phone,pass,Published phone: 0112508783 ,https://labourdept.gov.lk/safety-division-info/,
phone,pass,Published phone: +94 112 104 800 ,https://labourdept.gov.lk/safety-division-info/,
phone,pass,Published phone: 0112508227 ,https://labourdept.gov.lk/safety-division-info/,
phone,pass,Published phone: 0536626940 ,https://labourdept.gov.lk/safety-division-info/,
phone,pass,Published phone: 0422055710 ,https://labourdept.gov.lk/safety-division-info/,
phone,pass,Published phone: 0353206822 ,https://labourdept.gov.lk/safety-division-info/,
phone,pass,Published phone: 0112508773 ,https://labourdept.gov.lk/safety-division-info/,
email,pass,Published email: contacts@labourdept.gov.lk,https://labourdept.gov.lk/safety-division-info/,
postal_address,pass,Published postal address: Contact Info Labour Secretariat Colombo 05 Sri Lanka,https://labourdept.gov.lk/safety-division-info/,
named_responsibility,pass,Published named responsibility: director,https://labourdept.gov.lk/safety-division-info/,
fees_and_payment,pass,"Published fees and payment: rs,",https://labourdept.gov.lk/safety-division-info/,
phone,pass,Published phone: 0349848156 ,https://labourdept.gov.lk/find-nearest-labour-offices/,
phone,pass,Published phone: 0359953754 ,https://labourdept.gov.lk/find-nearest-labour-offices/,
phone,pass,Published phone: 0450940556 ,https://labourdept.gov.lk/find-nearest-labour-offices/,
phone,pass,Published phone: +94 112 104 800 ,https://labourdept.gov.lk/find-nearest-labour-offices/,
phone,pass,Published phone: 0536626940 ,https://labourdept.gov.lk/find-nearest-labour-offices/,
phone,pass,Published phone: 0422055710 ,https://labourdept.gov.lk/find-nearest-labour-offices/,
phone,pass,Published phone: 0353206822 ,https://labourdept.gov.lk/find-nearest-labour-offices/,
email,pass,Published email: contacts@labourdept.gov.lk,https://labourdept.gov.lk/find-nearest-labour-offices/,
postal_address,pass,Published postal address: Contact Info Labour Secretariat Colombo 05 Sri Lanka,https://labourdept.gov.lk/find-nearest-labour-offices/,
named_responsibility,pass,Published named responsibility: director,https://labourdept.gov.lk/find-nearest-labour-offices/,
phone,pass,Published phone: 0349848156 ,https://labourdept.gov.lk/safety-division/,
phone,pass,Published phone: 0359953754 ,https://labourdept.gov.lk/safety-division/,
phone,pass,Published phone: 0450940556 ,https://labourdept.gov.lk/safety-division/,
phone,pass,Published phone: +94 112 104 800 ,https://labourdept.gov.lk/safety-division/,
phone,pass,Published phone: 0536626940 ,https://labourdept.gov.lk/safety-division/,
phone,pass,Published phone: 0422055710 ,https://labourdept.gov.lk/safety-division/,
phone,pass,Published phone: 0353206822 ,https://labourdept.gov.lk/safety-division/,
email,pass,Published email: contacts@labourdept.gov.lk,https://labourdept.gov.lk/safety-division/,
postal_address,pass,Published postal address: Contact Info Labour Secretariat Colombo 05 Sri Lanka,https://labourdept.gov.lk/safety-division/,
named_responsibility,pass,Published named responsibility: director,https://labourdept.gov.lk/safety-division/,
legal_basis,pass,Published legal basis: regulations,https://labourdept.gov.lk/safety-division/,
phone,pass,Published phone: 0349848156 ,https://labourdept.gov.lk/contact/,
phone,pass,Published phone: 0359953754 ,https://labourdept.gov.lk/contact/,
phone,pass,Published phone: 0450940556 ,https://labourdept.gov.lk/contact/,
phone,pass,Published phone: +94 112 104 800 ,https://labourdept.gov.lk/contact/,
phone,pass,Published phone: 0536385451,https://labourdept.gov.lk/contact/,
phone,pass,Published phone: 0536626940 ,https://labourdept.gov.lk/contact/,
phone,pass,Published phone: 0422055710 ,https://labourdept.gov.lk/contact/,
phone,pass,Published phone: 0289309796,https://labourdept.gov.lk/contact/,
phone,pass,Published phone: 0353206822 ,https://labourdept.gov.lk/contact/,
phone,pass,Published phone: 0536437356,https://labourdept.gov.lk/contact/,
email,pass,Published email: contacts@labourdept.gov.lk,https://labourdept.gov.lk/contact/,
postal_address,pass,"Published postal address: Us Department of Labour, No 41, Kirula Road, Colombo 05, Sri Lanka",https://labourdept.gov.lk/contact/,
named_responsibility,pass,Published named responsibility: director,https://labourdept.gov.lk/contact/,
phone,pass,Published phone: 0349848156 ,https://labourdept.gov.lk/contact-officials/,
phone,pass,Published phone: 011 -2 507 654 ,https://labourdept.gov.lk/contact-officials/,
phone,pass,Published phone: 047-2 256 105 ,https://labourdept.gov.lk/contact-officials/,
phone,pass,Published phone: 0359953754 ,https://labourdept.gov.lk/contact-officials/,
phone,pass,Published phone: 0450940556 ,https://labourdept.gov.lk/contact-officials/,
phone,pass,Published phone: +94 112 104 800 ,https://labourdept.gov.lk/contact-officials/,
phone,pass,Published phone: 0536626940 ,https://labourdept.gov.lk/contact-officials/,
phone,pass,Published phone: 0422055710 ,https://labourdept.gov.lk/contact-officials/,
phone,pass,Published phone: 0353206822 ,https://labourdept.gov.lk/contact-officials/,
email,pass,Published email: contacts@labourdept.gov.lk,https://labourdept.gov.lk/contact-officials/,
postal_address,pass,Published postal address: Contact Info Labour Secretariat Colombo 05 Sri Lanka,https://labourdept.gov.lk/contact-officials/,
named_responsibility,pass,Published named responsibility: director,https://labourdept.gov.lk/contact-officials/,
phone,pass,Published phone: 0349848156 ,https://labourdept.gov.lk/epf-services-info/,
phone,pass,Published phone: 0359953754 ,https://labourdept.gov.lk/epf-services-info/,
phone,pass,Published phone: 0450940556 ,https://labourdept.gov.lk/epf-services-info/,
phone,pass,Published phone: 0707209973,https://labourdept.gov.lk/epf-services-info/,
phone,pass,Published phone: +94 112 104 800 ,https://labourdept.gov.lk/epf-services-info/,
phone,pass,Published phone: 0536626940 ,https://labourdept.gov.lk/epf-services-info/,
phone,pass,Published phone: 0422055710 ,https://labourdept.gov.lk/epf-services-info/,
phone,pass,Published phone: 0353206822 ,https://labourdept.gov.lk/epf-services-info/,
email,pass,Published email: contacts@labourdept.gov.lk,https://labourdept.gov.lk/epf-services-info/,
postal_address,pass,Published postal address: Contact Info Labour Secretariat Colombo 05 Sri Lanka,https://labourdept.gov.lk/epf-services-info/,
