check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:49:47.100237+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:49:47.100254+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:49:47.680804+05:30
http,pass,Probe 1: HTTP 200 at https://slhmc.lk/,https://slhmc.lk/,2026-09-08T23:50:22.687970+05:30
http,pass,Probe 2: HTTP 200 at http://slhmc.lk/,http://slhmc.lk/,2026-09-08T23:50:22.687990+05:30
http,pass,Probe 3: HTTP 200 at https://slhmc.lk/,https://slhmc.lk/,2026-09-08T23:50:22.687993+05:30
http,pass,Probe 4: HTTP 200 at http://slhmc.lk/,http://slhmc.lk/,2026-09-08T23:50:22.687996+05:30
http,pass,Probe 5: HTTP 200 at https://slhmc.lk/contact-us.php,https://slhmc.lk/contact-us.php,2026-09-08T23:50:22.687998+05:30
http,pass,Probe 6: HTTP 200 at https://slhmc.lk/services.php,https://slhmc.lk/services.php,2026-09-08T23:50:22.688001+05:30
http,pass,Probe 7: HTTP 200 at https://slhmc.lk/index.php,https://slhmc.lk/index.php,2026-09-08T23:50:22.688003+05:30
http,pass,Probe 8: HTTP 200 at https://slhmc.lk/about.php,https://slhmc.lk/about.php,2026-09-08T23:50:22.688006+05:30
http,pass,Probe 9: HTTP 200 at https://slhmc.lk/doctor.php,https://slhmc.lk/doctor.php,2026-09-08T23:50:22.688008+05:30
http,pass,Probe 10: HTTP 200 at https://slhmc.lk/blog.php,https://slhmc.lk/blog.php,2026-09-08T23:50:22.688011+05:30
http,pass,Probe 11: HTTP 200 at https://slhmc.lk/admin/resources/notice/669944a00063f.jpeg,https://slhmc.lk/admin/resources/notice/669944a00063f.jpeg,2026-09-08T23:50:22.688013+05:30
http,pass,Probe 12: HTTP 200 at https://slhmc.lk/admin/resources/notice/66994cd071d19.jpeg,https://slhmc.lk/admin/resources/notice/66994cd071d19.jpeg,2026-09-08T23:50:22.688016+05:30
http,pass,Probe 13: HTTP 200 at https://slhmc.lk/admin/resources/notice/66994d1c62aef.jpeg,https://slhmc.lk/admin/resources/notice/66994d1c62aef.jpeg,2026-09-08T23:50:22.688018+05:30
