check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:30:33.344471+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:30:33.344491+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:30:34.089671+05:30
http,pass,Probe 1: HTTP 200 at https://pgie.ou.ac.lk/,https://pgie.ou.ac.lk/,2026-09-08T23:31:11.185471+05:30
http,pass,Probe 2: HTTP 200 at https://pgie.ou.ac.lk/,http://pgie.ou.ac.lk/,2026-09-08T23:31:11.185522+05:30
http,pass,Probe 3: HTTP 200 at https://pgie.ou.ac.lk/,https://pgie.ou.ac.lk/,2026-09-08T23:31:11.185527+05:30
http,pass,Probe 4: HTTP 200 at https://pgie.ou.ac.lk/,http://pgie.ou.ac.lk/,2026-09-08T23:31:11.185530+05:30
http,pass,Probe 5: HTTP 200 at https://pgie.ou.ac.lk/executive-officers/,https://pgie.ou.ac.lk/executive-officers/,2026-09-08T23:31:11.185532+05:30
http,pass,Probe 6: HTTP 200 at https://pgie.ou.ac.lk/contact-us/,https://pgie.ou.ac.lk/contact-us/,2026-09-08T23:31:11.185535+05:30
http,pass,Probe 7: HTTP 200 at https://pgie.ou.ac.lk,https://pgie.ou.ac.lk,2026-09-08T23:31:11.185538+05:30
http,pass,Probe 8: HTTP 200 at https://pgie.ou.ac.lk/who-we-are/,https://pgie.ou.ac.lk/who-we-are/,2026-09-08T23:31:11.185541+05:30
http,pass,Probe 9: HTTP 200 at https://pgie.ou.ac.lk/board-of-management/,https://pgie.ou.ac.lk/board-of-management/,2026-09-08T23:31:11.185543+05:30
http,pass,Probe 10: HTTP 200 at https://pgie.ou.ac.lk/members-of-the-pgie-boards-of-study/,https://pgie.ou.ac.lk/members-of-the-pgie-boards-of-study/,2026-09-08T23:31:11.185546+05:30
http,pass,Probe 11: HTTP 200 at https://pgie.ou.ac.lk/director/,https://pgie.ou.ac.lk/director/,2026-09-08T23:31:11.185549+05:30
http,pass,Probe 12: HTTP 200 at https://pgie.ou.ac.lk/master-of-arts-in-teaching-english-as-a-second-language/,https://pgie.ou.ac.lk/master-of-arts-in-teaching-english-as-a-second-language/,2026-09-08T23:31:11.185551+05:30
http,pass,Probe 13: HTTP 200 at https://pgie.ou.ac.lk/master-of-arts-in-teaching-literature-in-a-second-language-context/,https://pgie.ou.ac.lk/master-of-arts-in-teaching-literature-in-a-second-language-context/,2026-09-08T23:31:11.185554+05:30
http,pass,Probe 14: HTTP 200 at https://pgie.ou.ac.lk/postgraduate-diploma-in-bilingual-education/,https://pgie.ou.ac.lk/postgraduate-diploma-in-bilingual-education/,2026-09-08T23:31:11.185556+05:30
phone,pass,Published phone: +9411 282 5805,https://pgie.ou.ac.lk/,
phone,pass,Published phone: 0.149019607,https://pgie.ou.ac.lk/,
phone,pass,Published phone: +9411 282 5805 ,https://pgie.ou.ac.lk/,
email,pass,Published email: sarpgie@ou.ac.lk,https://pgie.ou.ac.lk/,
named_responsibility,pass,Published named responsibility: director,https://pgie.ou.ac.lk/,
phone,pass,Published phone: +9411 282 5805,https://pgie.ou.ac.lk/,
phone,pass,Published phone: 0.149019607,https://pgie.ou.ac.lk/,
phone,pass,Published phone: +9411 282 5805 ,https://pgie.ou.ac.lk/,
email,pass,Published email: sarpgie@ou.ac.lk,https://pgie.ou.ac.lk/,
named_responsibility,pass,Published named responsibility: director,https://pgie.ou.ac.lk/,
phone,pass,Published phone: +9411 282 5805,https://pgie.ou.ac.lk/,
phone,pass,Published phone: 0.149019607,https://pgie.ou.ac.lk/,
phone,pass,Published phone: +9411 282 5805 ,https://pgie.ou.ac.lk/,
email,pass,Published email: sarpgie@ou.ac.lk,https://pgie.ou.ac.lk/,
named_responsibility,pass,Published named responsibility: director,https://pgie.ou.ac.lk/,
phone,pass,Published phone: +9411 282 5805,https://pgie.ou.ac.lk/,
phone,pass,Published phone: 0.149019607,https://pgie.ou.ac.lk/,
phone,pass,Published phone: +9411 282 5805 ,https://pgie.ou.ac.lk/,
email,pass,Published email: sarpgie@ou.ac.lk,https://pgie.ou.ac.lk/,
named_responsibility,pass,Published named responsibility: director,https://pgie.ou.ac.lk/,
