check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:57:09.856462+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:57:09.856482+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:57:09.940188+05:30
http,pass,Probe 1: HTTP 200 at https://kurunegalaplantations.lk/,https://kurunegalaplantations.lk/,2026-09-08T23:57:32.165341+05:30
http,pass,Probe 2: HTTP 200 at https://kurunegalaplantations.lk/,http://kurunegalaplantations.lk/,2026-09-08T23:57:32.165363+05:30
http,pass,Probe 3: HTTP 200 at https://kurunegalaplantations.lk/,https://kurunegalaplantations.lk/,2026-09-08T23:57:32.165367+05:30
http,pass,Probe 4: HTTP 200 at https://kurunegalaplantations.lk/,http://kurunegalaplantations.lk/,2026-09-08T23:57:32.165370+05:30
http,pass,Probe 5: HTTP 200 at https://kurunegalaplantations.lk/index.php/contact-us/,https://kurunegalaplantations.lk/index.php/contact-us/,2026-09-08T23:57:32.165372+05:30
http,pass,Probe 6: HTTP 200 at https://kurunegalaplantations.lk/index.php/about-us/,https://kurunegalaplantations.lk/index.php/about-us/,2026-09-08T23:57:32.165375+05:30
http,pass,Probe 7: HTTP 200 at https://kurunegalaplantations.lk/index.php/coconut/,https://kurunegalaplantations.lk/index.php/coconut/,2026-09-08T23:57:32.165378+05:30
http,pass,Probe 8: HTTP 200 at https://kurunegalaplantations.lk/index.php/spices-2/,https://kurunegalaplantations.lk/index.php/spices-2/,2026-09-08T23:57:32.165381+05:30
http,pass,Probe 9: HTTP 200 at https://kurunegalaplantations.lk/index.php/fruits-2/,https://kurunegalaplantations.lk/index.php/fruits-2/,2026-09-08T23:57:32.165384+05:30
http,pass,Probe 10: HTTP 200 at https://kurunegalaplantations.lk/index.php/coffee/,https://kurunegalaplantations.lk/index.php/coffee/,2026-09-08T23:57:32.165386+05:30
http,pass,Probe 11: HTTP 200 at https://kurunegalaplantations.lk/index.php/others/,https://kurunegalaplantations.lk/index.php/others/,2026-09-08T23:57:32.165389+05:30
http,pass,Probe 12: HTTP 200 at https://kurunegalaplantations.lk/index.php/rubber/,https://kurunegalaplantations.lk/index.php/rubber/,2026-09-08T23:57:32.165392+05:30
http,pass,Probe 13: HTTP 200 at https://kurunegalaplantations.lk/index.php/area-estates/,https://kurunegalaplantations.lk/index.php/area-estates/,2026-09-08T23:57:32.165394+05:30
http,pass,Probe 14: HTTP 200 at https://kurunegalaplantations.lk/index.php/sustainability/,https://kurunegalaplantations.lk/index.php/sustainability/,2026-09-08T23:57:32.165397+05:30
phone,pass,Published phone: +94 37 222 3133 ,https://kurunegalaplantations.lk/,
email,pass,Published email: kurunegalaplt@sltnet.lk,https://kurunegalaplantations.lk/,
email,pass,Published email: info@kurunegalaplantations.lk,https://kurunegalaplantations.lk/,
postal_address,pass,"Published postal address: Kurunegala Plantations Limited, No 80, Dambulla road, Kurunegala. Our Location © 2022 Kurunegala Plantations- All Rights",https://kurunegalaplantations.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://kurunegalaplantations.lk/,
phone,pass,Published phone: +94 37 222 3133 ,https://kurunegalaplantations.lk/,
email,pass,Published email: kurunegalaplt@sltnet.lk,https://kurunegalaplantations.lk/,
email,pass,Published email: info@kurunegalaplantations.lk,https://kurunegalaplantations.lk/,
