check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:56:44.525388+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:56:44.525407+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:56:45.016519+05:30
http,pass,Probe 1: HTTP 200 at https://cri.gov.lk/,https://cri.gov.lk/,2026-09-08T23:57:20.968997+05:30
http,pass,Probe 2: HTTP 200 at https://cri.gov.lk/,http://cri.gov.lk/,2026-09-08T23:57:20.969025+05:30
http,pass,Probe 3: HTTP 200 at https://cri.gov.lk/,https://cri.gov.lk/,2026-09-08T23:57:20.969028+05:30
http,pass,Probe 4: HTTP 200 at https://cri.gov.lk/,http://cri.gov.lk/,2026-09-08T23:57:20.969031+05:30
http,pass,Probe 5: HTTP 200 at https://cri.gov.lk/en/home/,https://cri.gov.lk/en/home/,2026-09-08T23:57:20.969034+05:30
http,pass,Probe 6: HTTP 200 at https://cri.gov.lk/si/home/,https://cri.gov.lk/si/home/,2026-09-08T23:57:20.969036+05:30
http,pass,Probe 7: HTTP 200 at https://cri.gov.lk/ta/home/,https://cri.gov.lk/ta/home/,2026-09-08T23:57:20.969039+05:30
http,pass,Probe 8: HTTP 200 at https://cri.gov.lk/en/privacy-policy/,https://cri.gov.lk/privacy-policy/,2026-09-08T23:57:20.969041+05:30
http,pass,Probe 9: HTTP 200 at https://cri.gov.lk/en/contact-us/,https://cri.gov.lk/en/contact-us/,2026-09-08T23:57:20.969043+05:30
http,pass,Probe 10: HTTP 200 at https://cri.gov.lk/en/agronomy-division-2/,https://cri.gov.lk/en/agronomy-division-2/,2026-09-08T23:57:20.969046+05:30
http,pass,Probe 11: HTTP 200 at https://cri.gov.lk/en/crop-protection-division-2/,https://cri.gov.lk/en/crop-protection-division-2/,2026-09-08T23:57:20.969049+05:30
http,pass,Probe 12: HTTP 200 at https://cri.gov.lk/en/genetics-plant-breeding-division-2/,https://cri.gov.lk/en/genetics-plant-breeding-division-2/,2026-09-08T23:57:20.969052+05:30
http,pass,Probe 13: HTTP 200 at https://cri.gov.lk/en/plant-physiology-division/,https://cri.gov.lk/en/plant-physiology-division/,2026-09-08T23:57:20.969055+05:30
http,pass,Probe 14: HTTP 200 at https://cri.gov.lk/en/coconut-processing-research-division/,https://cri.gov.lk/en/coconut-processing-research-division/,2026-09-08T23:57:20.969057+05:30
phone,pass,Published phone: 0883252469,https://cri.gov.lk/,
phone,pass,Published phone: 1928,https://cri.gov.lk/,
phone,pass,Published phone: 0883252469,https://cri.gov.lk/,
phone,pass,Published phone: 1928,https://cri.gov.lk/,
phone,pass,Published phone: 0883252469,https://cri.gov.lk/,
phone,pass,Published phone: 1928,https://cri.gov.lk/,
phone,pass,Published phone: 0883252469,https://cri.gov.lk/,
phone,pass,Published phone: 1928,https://cri.gov.lk/,
phone,pass,Published phone: 0883252469,https://cri.gov.lk/en/home/,
phone,pass,Published phone: 1928,https://cri.gov.lk/en/home/,
phone,pass,Published phone: 0)31-2255300 ,https://cri.gov.lk/en/home/,
email,pass,Published email: director@cri.gov.lk,https://cri.gov.lk/en/home/,
postal_address,pass,"Published postal address: Bandirippuwa Estate, Lunuwila, Sri Lanka. Time: Mon – Fri ( 8.30am – 4.15pm ) Sat & Sun CLOSED Get Free Estimate 1928 Co",https://cri.gov.lk/en/home/,
named_responsibility,pass,Published named responsibility: director,https://cri.gov.lk/en/home/,
legal_basis,pass,Published legal basis: circular,https://cri.gov.lk/en/home/,
phone,pass,Published phone: 0883252469,https://cri.gov.lk/si/home/,
phone,pass,Published phone: 1928,https://cri.gov.lk/si/home/,
phone,pass,Published phone: 0)31-2255300 ,https://cri.gov.lk/si/home/,
email,pass,Published email: director@cri.gov.lk,https://cri.gov.lk/si/home/,
named_responsibility,pass,Published named responsibility: director,https://cri.gov.lk/si/home/,
phone,pass,Published phone: 0883252469,https://cri.gov.lk/ta/home/,
phone,pass,Published phone: 0)31-2255300 ,https://cri.gov.lk/ta/home/,
