check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:06:49.952695+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:06:49.952714+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:06:50.247953+05:30
http,pass,Probe 1: HTTP 200 at https://landmin.gov.lk/,https://landmin.gov.lk/,2026-09-09T00:07:19.655230+05:30
http,pass,Probe 2: HTTP 200 at https://landmin.gov.lk/,http://landmin.gov.lk/,2026-09-09T00:07:19.655250+05:30
http,pass,Probe 3: HTTP 200 at https://landmin.gov.lk/,https://landmin.gov.lk/,2026-09-09T00:07:19.655254+05:30
http,pass,Probe 4: HTTP 200 at https://landmin.gov.lk/,http://landmin.gov.lk/,2026-09-09T00:07:19.655256+05:30
http,pass,Probe 5: HTTP 200 at https://landmin.gov.lk/web/,https://www.landmin.gov.lk/web/,2026-09-09T00:07:19.655259+05:30
http,pass,Probe 6: HTTP 200 at https://landmin.gov.lk/web/ta/%e0%ae%ae%e0%af%81%e0%ae%95%e0%ae%aa%e0%af%8d%e0%ae%aa%e0%af%81/,https://www.landmin.gov.lk/web/ta,2026-09-09T00:07:19.655262+05:30
http,pass,Probe 7: HTTP 200 at https://landmin.gov.lk/web/en/home/,https://www.landmin.gov.lk/web/en,2026-09-09T00:07:19.655265+05:30
http,pass,Probe 8: HTTP 200 at https://landmin.gov.lk/web/,https://landmin.gov.lk/web,2026-09-09T00:07:19.655268+05:30
http,pass,Probe 9: HTTP 200 at https://landmin.gov.lk/web/en/home/,https://landmin.gov.lk/web/en/home/,2026-09-09T00:07:19.655270+05:30
http,pass,Probe 10: HTTP 200 at https://landmin.gov.lk/web/ta/%e0%ae%ae%e0%af%81%e0%ae%95%e0%ae%aa%e0%af%8d%e0%ae%aa%e0%af%81/,https://landmin.gov.lk/web/ta/%e0%ae%ae%e0%af%81%e0%ae%95%e0%ae%aa%e0%af%8d%e0%ae%aa%e0%af%81/,2026-09-09T00:07:19.655273+05:30
http,pass,Probe 11: HTTP 200 at https://landmin.gov.lk/web/%e0%b6%85%e0%b6%b4%e0%b7%92-%e0%b6%9c%e0%b7%90%e0%b6%b1/,https://landmin.gov.lk/web/%e0%b6%85%e0%b6%b4%e0%b7%92-%e0%b6%9c%e0%b7%90%e0%b6%b1/,2026-09-09T00:07:19.655276+05:30
http,pass,Probe 12: HTTP 200 at https://landmin.gov.lk/web/%e0%b7%83%e0%b7%9a%e0%b7%80%e0%b7%8f%e0%b7%80%e0%b6%b1%e0%b7%8a/,https://landmin.gov.lk/web/%e0%b7%83%e0%b7%9a%e0%b7%80%e0%b7%8f%e0%b7%80%e0%b6%b1%e0%b7%8a/,2026-09-09T00:07:19.655278+05:30
http,pass,Probe 13: HTTP 200 at https://landmin.gov.lk/web/%e0%b6%b4%e0%b7%94%e0%b7%80%e0%b6%ad%e0%b7%8a-%e0%b7%83%e0%b7%84-%e0%b7%83%e0%b7%92%e0%b6%af%e0%b7%94%e0%b7%80%e0%b7%93%e0%b6%b8%e0%b7%8a/,https://landmin.gov.lk/web/%e0%b6%b4%e0%b7%94%e0%b7%80%e0%b6%ad%e0%b7%8a-%e0%b7%83%e0%b7%84-%e0%b7%83%e0%b7%92%e0%b6%af%e0%b7%94%e0%b7%80%e0%b7%93%e0%b6%b8%e0%b7%8a/,2026-09-09T00:07:19.655281+05:30
http,pass,Probe 14: HTTP 200 at https://landmin.gov.lk/web/%e0%b6%b1%e0%b7%92%e0%b6%ad%e0%b7%92-%e0%b6%85%e0%b7%83%e0%b6%b1-%e0%b6%b4%e0%b7%90%e0%b6%ab/,https://landmin.gov.lk/web/%e0%b6%b1%e0%b7%92%e0%b6%ad%e0%b7%92-%e0%b6%85%e0%b7%83%e0%b6%b1-%e0%b6%b4%e0%b7%90%e0%b6%ab/,2026-09-09T00:07:19.655283+05:30
