check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:49:41.907292+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:49:41.907315+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:49:41.934832+05:30
http,pass,Probe 1: HTTP 200 at https://www.health.gov.lk/,https://www.health.gov.lk/,2026-09-08T23:50:07.495557+05:30
http,error,Probe 2: Server disconnected without sending a response.,http://www.health.gov.lk/,2026-09-08T23:50:07.495582+05:30
http,pass,Probe 3: HTTP 200 at https://www.health.gov.lk/,https://www.health.gov.lk/,2026-09-08T23:50:07.495585+05:30
http,error,Probe 4: Server disconnected without sending a response.,http://www.health.gov.lk/,2026-09-08T23:50:07.495589+05:30
http,pass,Probe 5: HTTP 200 at https://www.health.gov.lk/home/,https://www.health.gov.lk/home/,2026-09-08T23:50:07.495592+05:30
http,pass,Probe 6: HTTP 200 at https://www.health.gov.lk/public-health-services/,https://www.health.gov.lk/public-health-services/ ,2026-09-08T23:50:07.495595+05:30
http,pass,Probe 7: HTTP 200 at https://www.health.gov.lk/contact-us/,https://www.health.gov.lk/contact-us/,2026-09-08T23:50:07.495598+05:30
http,pass,Probe 8: HTTP 200 at https://www.health.gov.lk/health-services-at-ports-airports/,https://www.health.gov.lk/health-services-at-ports-airports/,2026-09-08T23:50:07.495601+05:30
http,pass,Probe 9: HTTP 200 at https://www.health.gov.lk/wp-content/uploads/2025/04/Mental-Health-Service-Providers-Directory-2023.pdf,https://www.health.gov.lk/wp-content/uploads/2025/04/Mental-Health-Service-Providers-Directory-2023.pdf,2026-09-08T23:50:07.495604+05:30
http,pass,Probe 10: HTTP 200 at https://www.health.gov.lk/sub_projects/health-medical-service-improvement-project-jica-gosl/,https://www.health.gov.lk/sub_projects/health-medical-service-improvement-project-jica-gosl/,2026-09-08T23:50:07.495607+05:30
http,pass,Probe 11: HTTP 200 at https://www.health.gov.lk/moh-pages/appointments-medical-officer-internship/,https://www.health.gov.lk/moh-pages/appointments-medical-officer-internship/,2026-09-08T23:50:07.495610+05:30
http,pass,Probe 12: HTTP 200 at https://www.health.gov.lk/moh-pages/appointments-medical-officer-specialist-grade-medical-officers/,https://www.health.gov.lk/moh-pages/appointments-medical-officer-specialist-grade-medical-officers/,2026-09-08T23:50:07.495612+05:30
http,pass,Probe 13: HTTP 200 at https://www.health.gov.lk/moh-pages/nursing-officer-grade-03/,https://www.health.gov.lk/moh-pages/nursing-officer-grade-03/,2026-09-08T23:50:07.495615+05:30
http,pass,Probe 14: HTTP 200 at https://www.health.gov.lk/moh-pages/nursing-officer-super/,https://www.health.gov.lk/moh-pages/nursing-officer-super/,2026-09-08T23:50:07.495618+05:30
phone,pass,Published phone: (94) 112 675449,https://www.health.gov.lk/home/,
phone,pass,Published phone: (94) 112 675011,https://www.health.gov.lk/home/,
phone,pass,Published phone: (94) 112 693493,https://www.health.gov.lk/home/,
phone,pass,Published phone: 033 (94) 112 67,https://www.health.gov.lk/home/,
phone,pass,Published phone: 011 (94) 112 67,https://www.health.gov.lk/home/,
phone,pass,Published phone: (94) 112 694033,https://www.health.gov.lk/home/,
postal_address,pass,"Published postal address: Suwasiripaya, No. 385, Rev. Baddegama Wimalawansa Thero Mawatha, Colombo 10, Sri Lanka",https://www.health.gov.lk/home/,
named_responsibility,pass,Published named responsibility: director,https://www.health.gov.lk/home/,
legal_basis,pass,Published legal basis: regulations,https://www.health.gov.lk/home/,
downloadable_form,pass,Published downloadable form: https://www.health.gov.lk/wp-content/uploads/2024/02/Web-Submission-Form.pdf,https://www.health.gov.lk/home/,
phone,pass,Published phone: (94) 112 675449,https://www.health.gov.lk/public-health-services/,
phone,pass,Published phone: (94) 112 675011,https://www.health.gov.lk/public-health-services/,
phone,pass,Published phone: (94) 112 693493,https://www.health.gov.lk/public-health-services/,
phone,pass,Published phone: 033 (94) 112 67,https://www.health.gov.lk/public-health-services/,
phone,pass,Published phone: 011 (94) 112 67,https://www.health.gov.lk/public-health-services/,
phone,pass,Published phone: (94) 112 694033,https://www.health.gov.lk/public-health-services/,
postal_address,pass,"Published postal address: Suwasiripaya, No. 385, Rev. Baddegama Wimalawansa Thero Mawatha, Colombo 10, Sri Lanka",https://www.health.gov.lk/public-health-services/,
named_responsibility,pass,Published named responsibility: director,https://www.health.gov.lk/public-health-services/,
legal_basis,pass,Published legal basis: circular,https://www.health.gov.lk/public-health-services/,
downloadable_form,pass,Published downloadable form: https://www.health.gov.lk/wp-content/uploads/2024/02/Web-Submission-Form.pdf,https://www.health.gov.lk/public-health-services/,
phone,pass,Published phone: (94) 112 675449,https://www.health.gov.lk/contact-us/,
phone,pass,Published phone: 0 (94) 112 6691,https://www.health.gov.lk/contact-us/,
phone,pass,Published phone: (94) 112 675280,https://www.health.gov.lk/contact-us/,
phone,pass,Published phone: (94) 112 675011,https://www.health.gov.lk/contact-us/,
