check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:26:39.391447+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:26:39.391463+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:26:39.731000+05:30
http,pass,Probe 1: HTTP 200 at https://rall.lk/,https://rall.lk/,2026-09-08T23:26:56.177901+05:30
http,pass,Probe 2: HTTP 200 at https://rall.lk/,http://rall.lk/,2026-09-08T23:26:56.177924+05:30
http,pass,Probe 3: HTTP 200 at https://rall.lk/,https://rall.lk/,2026-09-08T23:26:56.177927+05:30
http,pass,Probe 4: HTTP 200 at https://rall.lk/,http://rall.lk/,2026-09-08T23:26:56.177930+05:30
http,pass,Probe 5: HTTP 200 at https://rall.lk/skilled-services-2-2/,https://rall.lk/skilled-services-2-2/,2026-09-08T23:26:56.177933+05:30
http,pass,Probe 6: HTTP 200 at https://rall.lk/contact-us/,https://rall.lk/contact-us/,2026-09-08T23:26:56.177935+05:30
http,pass,Probe 7: HTTP 200 at https://rall.lk/land-security/,https://rall.lk/land-security/,2026-09-08T23:26:56.177937+05:30
http,pass,Probe 8: HTTP 200 at https://rall.lk/maritime-security/,https://rall.lk/maritime-security/,2026-09-08T23:26:56.177940+05:30
http,pass,Probe 9: HTTP 200 at https://rall.lk/cimsta/,https://rall.lk/cimsta/,2026-09-08T23:26:56.177943+05:30
http,pass,Probe 10: HTTP 200 at https://rall.lk/restaurants/,https://rall.lk/restaurants/,2026-09-08T23:26:56.177945+05:30
http,pass,Probe 11: HTTP 200 at https://rall.lk/special-projects/,https://rall.lk/special-projects/,2026-09-08T23:26:56.177948+05:30
http,pass,Probe 12: HTTP 200 at https://rall.lk/careers/,https://rall.lk/careers/,2026-09-08T23:26:56.177951+05:30
http,pass,Probe 13: HTTP 200 at https://rall.lk/about-us/,https://rall.lk/about-us/,2026-09-08T23:26:56.177953+05:30
http,pass,Probe 14: HTTP 200 at https://rall.lk/2026/09/08/%e0%b6%b1%e0%b7%92%e0%b6%ba%e0%b7%9d%e0%b6%a2%e0%b7%8a%e0%b6%ba-%e0%b6%86%e0%b6%bb%e0%b6%9a%e0%b7%8a%e0%b7%82%e0%b6%9a-%e0%b6%87%e0%b6%b8%e0%b6%ad%e0%b7%92%e0%b6%ad%e0%b7%94%e0%b6%b8%e0%b6%b1/,https://rall.lk/2026/09/08/%e0%b6%b1%e0%b7%92%e0%b6%ba%e0%b7%9d%e0%b6%a2%e0%b7%8a%e0%b6%ba-%e0%b6%86%e0%b6%bb%e0%b6%9a%e0%b7%8a%e0%b7%82%e0%b6%9a-%e0%b6%87%e0%b6%b8%e0%b6%ad%e0%b7%92%e0%b6%ad%e0%b7%94%e0%b6%b8%e0%b6%b1/,2026-09-08T23:26:56.177956+05:30
phone,pass,Published phone: +94112674815,https://rall.lk/,
phone,pass,Published phone: +94 112 674 815 ,https://rall.lk/,
email,pass,Published email: info@rall.lk,https://rall.lk/,
postal_address,pass,"Published postal address: the unique needs of each client, offering effective and results-oriented solutions that achieve superior outcomes. We ar",https://rall.lk/,
named_responsibility,pass,Published named responsibility: department,https://rall.lk/,
phone,pass,Published phone: +94112674815,https://rall.lk/,
phone,pass,Published phone: +94 112 674 815 ,https://rall.lk/,
email,pass,Published email: info@rall.lk,https://rall.lk/,
postal_address,pass,"Published postal address: the unique needs of each client, offering effective and results-oriented solutions that achieve superior outcomes. We ar",https://rall.lk/,
named_responsibility,pass,Published named responsibility: department,https://rall.lk/,
phone,pass,Published phone: +94112674815,https://rall.lk/,
phone,pass,Published phone: +94 112 674 815 ,https://rall.lk/,
email,pass,Published email: info@rall.lk,https://rall.lk/,
postal_address,pass,"Published postal address: the unique needs of each client, offering effective and results-oriented solutions that achieve superior outcomes. We ar",https://rall.lk/,
named_responsibility,pass,Published named responsibility: department,https://rall.lk/,
phone,pass,Published phone: +94112674815,https://rall.lk/,
phone,pass,Published phone: +94 112 674 815 ,https://rall.lk/,
email,pass,Published email: info@rall.lk,https://rall.lk/,
postal_address,pass,"Published postal address: the unique needs of each client, offering effective and results-oriented solutions that achieve superior outcomes. We ar",https://rall.lk/,
named_responsibility,pass,Published named responsibility: department,https://rall.lk/,
phone,pass,Published phone: +94 71 020 9299 ,https://rall.lk/skilled-services-2-2/,
phone,pass,Published phone: +94112674815,https://rall.lk/skilled-services-2-2/,
phone,pass,Published phone: +94 112 674 815 ,https://rall.lk/skilled-services-2-2/,
email,pass,Published email: info@rall.lk,https://rall.lk/skilled-services-2-2/,
email,pass,Published email: skill@rall.lk,https://rall.lk/skilled-services-2-2/,
postal_address,pass,"Published postal address: Rakna Arakshaka Lanka Limited No 143/A, Kirulapone Avenue, Colombo 05, Sri Lanka",https://rall.lk/skilled-services-2-2/,
named_responsibility,pass,Published named responsibility: department,https://rall.lk/skilled-services-2-2/,
phone,pass,Published phone: +94 332 247 522 ,https://rall.lk/contact-us/,
phone,pass,Published phone: +94 710 209 299 ,https://rall.lk/contact-us/,
phone,pass,Published phone: +94112674815,https://rall.lk/contact-us/,
phone,pass,Published phone: +94 112 674 815 ,https://rall.lk/contact-us/,
phone,pass,Published phone: +94112674816,https://rall.lk/contact-us/,
phone,pass,Published phone: +94 112 674 816 ,https://rall.lk/contact-us/,
phone,pass,Published phone: +94332247522,https://rall.lk/contact-us/,
phone,pass,Published phone: +94 70 470 2658 ,https://rall.lk/contact-us/,
phone,pass,Published phone: +94710209299,https://rall.lk/contact-us/,
email,pass,Published email: info@rall.lk,https://rall.lk/contact-us/,
email,pass,Published email: skill@rall.lk,https://rall.lk/contact-us/,
email,pass,Published email: cimsta@rall.lk,https://rall.lk/contact-us/,
email,pass,Published email: maritime@rall.lk,https://rall.lk/contact-us/,
email,pass,Published email: cyber@rall.lk,https://rall.lk/contact-us/,
email,pass,Published email: projects@rall.lk,https://rall.lk/contact-us/,
email,pass,Published email: operations@rall.lk,https://rall.lk/contact-us/,
postal_address,pass,"Published postal address: Rakna Arakshaka Lanka Limited No 143/A, Kirulapone Avenue, Colombo 05, Sri Lanka",https://rall.lk/contact-us/,
named_responsibility,pass,Published named responsibility: department,https://rall.lk/contact-us/,
phone,pass,Published phone: +94112674815,https://rall.lk/land-security/,
phone,pass,Published phone: +94 112 674 815 ,https://rall.lk/land-security/,
email,pass,Published email: info@rall.lk,https://rall.lk/land-security/,
email,pass,Published email: opearations@rall.lk,https://rall.lk/land-security/,
postal_address,pass,"Published postal address: Rakna Arakshaka Lanka Limited No 143/A, Kirulapone Avenue, Colombo 05, Sri Lanka",https://rall.lk/land-security/,
named_responsibility,pass,Published named responsibility: department,https://rall.lk/land-security/,
phone,pass,Published phone: +94112674815,https://rall.lk/maritime-security/,
phone,pass,Published phone: +94 112 674 815 ,https://rall.lk/maritime-security/,
phone,pass,Published phone: +94 112 674 816 ,https://rall.lk/maritime-security/,
email,pass,Published email: info@rall.lk,https://rall.lk/maritime-security/,
email,pass,Published email: maritime@rall.lk,https://rall.lk/maritime-security/,
postal_address,pass,"Published postal address: Rakna Arakshaka Lanka Limited No 143/A, Kirulapone Avenue, Colombo 05, Sri Lanka",https://rall.lk/maritime-security/,
named_responsibility,pass,Published named responsibility: department,https://rall.lk/maritime-security/,
phone,pass,Published phone: +94 332 247 522 ,https://rall.lk/cimsta/,
phone,pass,Published phone: +94112674815,https://rall.lk/cimsta/,
phone,pass,Published phone: +94 112 674 815 ,https://rall.lk/cimsta/,
email,pass,Published email: info@rall.lk,https://rall.lk/cimsta/,
email,pass,Published email: cimsta@rall.lk,https://rall.lk/cimsta/,
postal_address,pass,"Published postal address: Rakna Arakshaka Lanka Limited No 143/A, Kirulapone Avenue, Colombo 05, Sri Lanka",https://rall.lk/cimsta/,
named_responsibility,pass,Published named responsibility: division,https://rall.lk/cimsta/,
phone,pass,Published phone: +94112674815,https://rall.lk/restaurants/,
phone,pass,Published phone: +94 112 674 815 ,https://rall.lk/restaurants/,
phone,pass,Published phone: +94 706 940 310 ,https://rall.lk/restaurants/,
phone,pass,Published phone: +94 77 849 9378 ,https://rall.lk/restaurants/,
