check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:54:31.948079+05:30
domain_registration,pass,Domain registered,,2026-09-08T23:54:31.948087+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:54:32.449217+05:30
http,pass,Probe 1: HTTP 200 at https://www.srilankabusiness.com/,https://www.srilankabusiness.com/,2026-09-08T23:54:53.546158+05:30
http,pass,Probe 2: HTTP 200 at https://www.srilankabusiness.com/,http://www.srilankabusiness.com/,2026-09-08T23:54:53.546180+05:30
http,pass,Probe 3: HTTP 200 at https://www.srilankabusiness.com/,https://www.srilankabusiness.com/,2026-09-08T23:54:53.546184+05:30
http,pass,Probe 4: HTTP 200 at https://www.srilankabusiness.com/,http://www.srilankabusiness.com/,2026-09-08T23:54:53.546187+05:30
http,pass,Probe 5: HTTP 200 at https://www.srilankabusiness.com/edb/contact-us.html,https://www.srilankabusiness.com/edb/contact-us.html,2026-09-08T23:54:53.546190+05:30
http,pass,Probe 6: HTTP 200 at https://www.srilankabusiness.com/ict-services/,https://www.srilankabusiness.com/ict-services/,2026-09-08T23:54:53.546193+05:30
http,pass,Probe 7: HTTP 200 at https://www.srilankabusiness.com/bpm-services/,https://www.srilankabusiness.com/bpm-services/,2026-09-08T23:54:53.546195+05:30
http,pass,Probe 8: HTTP 200 at https://www.srilankabusiness.com/port-logistics-services/,https://www.srilankabusiness.com/port-logistics-services/,2026-09-08T23:54:53.546197+05:30
http,pass,Probe 9: HTTP 200 at https://www.srilankabusiness.com/electrical-electronic-services/,https://www.srilankabusiness.com/electrical-electronic-services/,2026-09-08T23:54:53.546200+05:30
http,pass,Probe 10: HTTP 200 at https://www.srilankabusiness.com/buyers/export-services-from-sri-lanka/,https://www.srilankabusiness.com/buyers/export-services-from-sri-lanka,2026-09-08T23:54:53.546203+05:30
http,pass,Probe 11: HTTP 200 at https://www.srilankabusiness.com/educational-services/,https://www.srilankabusiness.com/educational-services/,2026-09-08T23:54:53.546205+05:30
http,pass,Probe 12: HTTP 200 at https://www.srilankabusiness.com/construction-services/,https://www.srilankabusiness.com/construction-services/,2026-09-08T23:54:53.546208+05:30
http,pass,Probe 13: HTTP 200 at https://www.srilankabusiness.com/exporters/export-training-services.html,https://www.srilankabusiness.com/exporters/export-training-services.html,2026-09-08T23:54:53.546210+05:30
http,pass,Probe 14: HTTP 200 at https://www.srilankabusiness.com/exporters/sri-lanka-export-services/,https://www.srilankabusiness.com/exporters/sri-lanka-export-services/,2026-09-08T23:54:53.546213+05:30
phone,pass,Published phone: +94-11-230-0705,https://www.srilankabusiness.com/,
phone,pass,Published phone: +94-11-230-0715 ,https://www.srilankabusiness.com/,
phone,pass,Published phone: +94-11-230-0711,https://www.srilankabusiness.com/,
phone,pass,Published phone: +94-11-230-0705 ,https://www.srilankabusiness.com/,
phone,pass,Published phone: +94112300705,https://www.srilankabusiness.com/,
email,pass,Published email: edb@edb.gov.lk,https://www.srilankabusiness.com/,
postal_address,pass,"Published postal address: Sri Lanka Export Development Board No. 42 Nawam Mawatha, Colombo-02, Sri Lanka. +94-11-230-0705 / 11 +94-11-230-0715 [email protected]",https://www.srilankabusiness.com/,
named_responsibility,pass,Published named responsibility: director,https://www.srilankabusiness.com/,
phone,pass,Published phone: +94-11-230-0705,https://www.srilankabusiness.com/,
phone,pass,Published phone: +94-11-230-0715 ,https://www.srilankabusiness.com/,
phone,pass,Published phone: +94-11-230-0711,https://www.srilankabusiness.com/,
phone,pass,Published phone: +94-11-230-0705 ,https://www.srilankabusiness.com/,
phone,pass,Published phone: +94112300705,https://www.srilankabusiness.com/,
email,pass,Published email: edb@edb.gov.lk,https://www.srilankabusiness.com/,
postal_address,pass,"Published postal address: Sri Lanka Export Development Board No. 42 Nawam Mawatha, Colombo-02, Sri Lanka. +94-11-230-0705 / 11 +94-11-230-0715 [email protected]",https://www.srilankabusiness.com/,
named_responsibility,pass,Published named responsibility: director,https://www.srilankabusiness.com/,
phone,pass,Published phone: +94-11-230-0705,https://www.srilankabusiness.com/,
phone,pass,Published phone: +94-11-230-0715 ,https://www.srilankabusiness.com/,
phone,pass,Published phone: +94-11-230-0711,https://www.srilankabusiness.com/,
phone,pass,Published phone: +94-11-230-0705 ,https://www.srilankabusiness.com/,
phone,pass,Published phone: +94112300705,https://www.srilankabusiness.com/,
email,pass,Published email: edb@edb.gov.lk,https://www.srilankabusiness.com/,
postal_address,pass,"Published postal address: Sri Lanka Export Development Board No. 42 Nawam Mawatha, Colombo-02, Sri Lanka. +94-11-230-0705 / 11 +94-11-230-0715 [email protected]",https://www.srilankabusiness.com/,
named_responsibility,pass,Published named responsibility: director,https://www.srilankabusiness.com/,
phone,pass,Published phone: +94-11-230-0705,https://www.srilankabusiness.com/,
phone,pass,Published phone: +94-11-230-0715 ,https://www.srilankabusiness.com/,
