check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:35:34.856629+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:35:34.856648+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:35:34.934684+05:30
http,pass,Probe 1: HTTP 200 at https://ntnsp.lk/,https://ntnsp.lk/,2026-09-08T23:35:50.236576+05:30
http,pass,Probe 2: HTTP 200 at https://ntnsp.lk/,http://ntnsp.lk/,2026-09-08T23:35:50.236599+05:30
http,pass,Probe 3: HTTP 200 at https://ntnsp.lk/,https://ntnsp.lk/,2026-09-08T23:35:50.236602+05:30
http,pass,Probe 4: HTTP 200 at https://ntnsp.lk/,http://ntnsp.lk/,2026-09-08T23:35:50.236605+05:30
http,pass,Probe 5: HTTP 200 at https://ntnsp.lk/contact,https://ntnsp.lk/contact,2026-09-08T23:35:50.236608+05:30
http,pass,Probe 6: HTTP 200 at https://ntnsp.lk/ceylon-grid,https://ntnsp.lk/ceylon-grid,2026-09-08T23:35:50.236611+05:30
http,pass,Probe 7: HTTP 200 at https://ntnsp.lk/investors,https://ntnsp.lk/investors,2026-09-08T23:35:50.236613+05:30
http,pass,Probe 8: HTTP 200 at https://ntnsp.lk/procurement/tender-notices,https://ntnsp.lk/procurement/tender-notices,2026-09-08T23:35:50.236616+05:30
http,pass,Probe 9: HTTP 200 at https://ntnsp.lk/procurement/tender-awards,https://ntnsp.lk/procurement/tender-awards,2026-09-08T23:35:50.236619+05:30
http,pass,Probe 10: HTTP 200 at https://ntnsp.lk/procurement/standard-specifications,https://ntnsp.lk/procurement/standard-specifications,2026-09-08T23:35:50.236621+05:30
http,pass,Probe 11: HTTP 200 at https://ntnsp.lk/news,https://ntnsp.lk/news,2026-09-08T23:35:50.236624+05:30
http,pass,Probe 12: HTTP 200 at https://ntnsp.lk/careers,https://ntnsp.lk/careers,2026-09-08T23:35:50.236626+05:30
http,pass,Probe 13: HTTP 200 at https://ntnsp.lk/faq,https://ntnsp.lk/faq,2026-09-08T23:35:50.236629+05:30
http,pass,Probe 14: HTTP 200 at https://ntnsp.lk/transmission-projects,https://ntnsp.lk/transmission-projects,2026-09-08T23:35:50.236632+05:30
phone,pass,Published phone: +94112147202,https://ntnsp.lk/,
phone,pass,Published phone: +94 11 2454479 ,https://ntnsp.lk/,
phone,pass,Published phone: +94 11 2421245 ,https://ntnsp.lk/,
postal_address,pass,"Published postal address: excellence. No. 50, Sri Chittampalam A Gardiner Mawatha, Colombo 02, Sri Lanka",https://ntnsp.lk/,
named_responsibility,pass,Published named responsibility: director,https://ntnsp.lk/,
legal_basis,pass,Published legal basis: gazette,https://ntnsp.lk/,
phone,pass,Published phone: +94112147202,https://ntnsp.lk/,
phone,pass,Published phone: +94 11 2454479 ,https://ntnsp.lk/,
phone,pass,Published phone: +94 11 2421245 ,https://ntnsp.lk/,
postal_address,pass,"Published postal address: excellence. No. 50, Sri Chittampalam A Gardiner Mawatha, Colombo 02, Sri Lanka",https://ntnsp.lk/,
named_responsibility,pass,Published named responsibility: director,https://ntnsp.lk/,
legal_basis,pass,Published legal basis: gazette,https://ntnsp.lk/,
phone,pass,Published phone: +94112147202,https://ntnsp.lk/,
phone,pass,Published phone: +94 11 2454479 ,https://ntnsp.lk/,
phone,pass,Published phone: +94 11 2421245 ,https://ntnsp.lk/,
postal_address,pass,"Published postal address: excellence. No. 50, Sri Chittampalam A Gardiner Mawatha, Colombo 02, Sri Lanka",https://ntnsp.lk/,
named_responsibility,pass,Published named responsibility: director,https://ntnsp.lk/,
legal_basis,pass,Published legal basis: gazette,https://ntnsp.lk/,
phone,pass,Published phone: +94112147202,https://ntnsp.lk/,
phone,pass,Published phone: +94 11 2454479 ,https://ntnsp.lk/,
phone,pass,Published phone: +94 11 2421245 ,https://ntnsp.lk/,
postal_address,pass,"Published postal address: excellence. No. 50, Sri Chittampalam A Gardiner Mawatha, Colombo 02, Sri Lanka",https://ntnsp.lk/,
named_responsibility,pass,Published named responsibility: director,https://ntnsp.lk/,
legal_basis,pass,Published legal basis: gazette,https://ntnsp.lk/,
phone,pass,Published phone: 011-2399896,https://ntnsp.lk/contact,
phone,pass,Published phone: 011-2027277,https://ntnsp.lk/contact,
phone,pass,Published phone: 011-2682449,https://ntnsp.lk/contact,
phone,pass,Published phone: 011-2081461,https://ntnsp.lk/contact,
phone,pass,Published phone: 011-2301661,https://ntnsp.lk/contact,
phone,pass,Published phone: 011-2144988,https://ntnsp.lk/contact,
phone,pass,Published phone: 011-2441556,https://ntnsp.lk/contact,
phone,pass,Published phone: 011-2301677,https://ntnsp.lk/contact,
phone,pass,Published phone: +94 11 2421245 ,https://ntnsp.lk/contact,
phone,pass,Published phone: 011-2441935,https://ntnsp.lk/contact,
phone,pass,Published phone: 011-2690393,https://ntnsp.lk/contact,
phone,pass,Published phone: 011-2421245,https://ntnsp.lk/contact,
phone,pass,Published phone: +94 11 2454479 ,https://ntnsp.lk/contact,
phone,pass,Published phone: 011-2614468,https://ntnsp.lk/contact,
phone,pass,Published phone: 011-2399895,https://ntnsp.lk/contact,
phone,pass,Published phone: 011-2669738,https://ntnsp.lk/contact,
phone,pass,Published phone: 011-2321597,https://ntnsp.lk/contact,
phone,pass,Published phone: +94112147202,https://ntnsp.lk/contact,
phone,pass,Published phone: 081-2388944,https://ntnsp.lk/contact,
phone,pass,Published phone: 081-2085565,https://ntnsp.lk/contact,
phone,pass,Published phone: 011-2836052,https://ntnsp.lk/contact,
phone,pass,Published phone: 011-2836051,https://ntnsp.lk/contact,
phone,pass,Published phone: 011-2301273,https://ntnsp.lk/contact,
phone,pass,Published phone: 011-2058898,https://ntnsp.lk/contact,
phone,pass,Published phone: 011-2058143,https://ntnsp.lk/contact,
postal_address,pass,"Published postal address: excellence. No. 50, Sri Chittampalam A Gardiner Mawatha, Colombo 02, Sri Lanka",https://ntnsp.lk/contact,
named_responsibility,pass,Published named responsibility: director,https://ntnsp.lk/contact,
phone,pass,Published phone: +94112147202,https://ntnsp.lk/ceylon-grid,
phone,pass,Published phone: +94 11 2454479 ,https://ntnsp.lk/ceylon-grid,
phone,pass,Published phone: +94 11 2421245 ,https://ntnsp.lk/ceylon-grid,
postal_address,pass,"Published postal address: excellence. No. 50, Sri Chittampalam A Gardiner Mawatha, Colombo 02, Sri Lanka",https://ntnsp.lk/ceylon-grid,
named_responsibility,pass,Published named responsibility: department,https://ntnsp.lk/ceylon-grid,
phone,pass,Published phone: +94112147202,https://ntnsp.lk/investors,
phone,pass,Published phone: +94 11 2454479 ,https://ntnsp.lk/investors,
phone,pass,Published phone: +94 11 2421245 ,https://ntnsp.lk/investors,
postal_address,pass,"Published postal address: excellence. No. 50, Sri Chittampalam A Gardiner Mawatha, Colombo 02, Sri Lanka",https://ntnsp.lk/investors,
named_responsibility,pass,Published named responsibility: department,https://ntnsp.lk/investors,
phone,pass,Published phone: +94112147202,https://ntnsp.lk/procurement/tender-notices,
phone,pass,Published phone: +94 11 2454479 ,https://ntnsp.lk/procurement/tender-notices,
phone,pass,Published phone: +94 11 2421245 ,https://ntnsp.lk/procurement/tender-notices,
postal_address,pass,"Published postal address: excellence. No. 50, Sri Chittampalam A Gardiner Mawatha, Colombo 02, Sri Lanka",https://ntnsp.lk/procurement/tender-notices,
named_responsibility,pass,Published named responsibility: department,https://ntnsp.lk/procurement/tender-notices,
phone,pass,Published phone: +94112147202,https://ntnsp.lk/procurement/tender-awards,
phone,pass,Published phone: +94 11 2454479 ,https://ntnsp.lk/procurement/tender-awards,
phone,pass,Published phone: +94 11 2421245 ,https://ntnsp.lk/procurement/tender-awards,
postal_address,pass,"Published postal address: excellence. No. 50, Sri Chittampalam A Gardiner Mawatha, Colombo 02, Sri Lanka",https://ntnsp.lk/procurement/tender-awards,
named_responsibility,pass,Published named responsibility: director,https://ntnsp.lk/procurement/tender-awards,
phone,pass,Published phone: +94112147202,https://ntnsp.lk/procurement/standard-specifications,
phone,pass,Published phone: +94 11 2454479 ,https://ntnsp.lk/procurement/standard-specifications,
phone,pass,Published phone: +94 11 2421245 ,https://ntnsp.lk/procurement/standard-specifications,
postal_address,pass,"Published postal address: excellence. No. 50, Sri Chittampalam A Gardiner Mawatha, Colombo 02, Sri Lanka",https://ntnsp.lk/procurement/standard-specifications,
named_responsibility,pass,Published named responsibility: department,https://ntnsp.lk/procurement/standard-specifications,
phone,pass,Published phone: +94112147202,https://ntnsp.lk/news,
phone,pass,Published phone: +94 11 2454479 ,https://ntnsp.lk/news,
phone,pass,Published phone: +94 11 2421245 ,https://ntnsp.lk/news,
postal_address,pass,"Published postal address: excellence. No. 50, Sri Chittampalam A Gardiner Mawatha, Colombo 02, Sri Lanka",https://ntnsp.lk/news,
named_responsibility,pass,Published named responsibility: department,https://ntnsp.lk/news,
legal_basis,pass,Published legal basis: gazette,https://ntnsp.lk/news,
phone,pass,Published phone: +94112147202,https://ntnsp.lk/careers,
phone,pass,Published phone: +94 11 2454479 ,https://ntnsp.lk/careers,
phone,pass,Published phone: +94 11 2421245 ,https://ntnsp.lk/careers,
