check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:41:39.564913+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:41:39.564930+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:41:40.405988+05:30
http,pass,Probe 1: HTTP 200 at https://www.cfhc.gov.lk/,https://www.cfhc.gov.lk/,2026-09-08T23:42:01.629017+05:30
http,error,Probe 2: Unsafe redirect blocked: [Errno -2] Name or service not known,http://www.cfhc.gov.lk/,2026-09-08T23:42:01.629042+05:30
http,pass,Probe 3: HTTP 200 at https://www.cfhc.gov.lk/,https://www.cfhc.gov.lk/,2026-09-08T23:42:01.629045+05:30
http,error,Probe 4: Unsafe redirect blocked: [Errno -2] Name or service not known,http://www.cfhc.gov.lk/,2026-09-08T23:42:01.629048+05:30
http,pass,Probe 5: HTTP 200 at https://www.cfhc.gov.lk/home.php?lang=si,https://www.cfhc.gov.lk/home.php?lang=si,2026-09-08T23:42:01.629051+05:30
http,pass,Probe 6: HTTP 200 at https://www.cfhc.gov.lk/home.php?lang=tm,https://www.cfhc.gov.lk/home.php?lang=tm,2026-09-08T23:42:01.629054+05:30
http,pass,Probe 7: HTTP 200 at https://www.cfhc.gov.lk/home.php?lang=en,https://www.cfhc.gov.lk/home.php?lang=en,2026-09-08T23:42:01.629056+05:30
http,pass,Probe 8: HTTP 200 at https://www.cfhc.gov.lk/contact.php?lang=si,https://www.cfhc.gov.lk/contact.php?lang=si,2026-09-08T23:42:01.629059+05:30
http,pass,Probe 9: HTTP 200 at https://www.cfhc.gov.lk/about.php?lang=si,https://www.cfhc.gov.lk/about.php?lang=si,2026-09-08T23:42:01.629061+05:30
http,pass,Probe 10: HTTP 200 at https://www.cfhc.gov.lk/vision.php?lang=si,https://www.cfhc.gov.lk/vision.php?lang=si,2026-09-08T23:42:01.629064+05:30
http,pass,Probe 11: HTTP 200 at https://www.cfhc.gov.lk/download.php?lang=si,https://www.cfhc.gov.lk/download.php?lang=si,2026-09-08T23:42:01.629066+05:30
http,pass,Probe 12: HTTP 200 at https://www.cfhc.gov.lk/harbour_all.php?lang=si,https://www.cfhc.gov.lk/harbour_all.php?lang=si,2026-09-08T23:42:01.629069+05:30
http,pass,Probe 13: HTTP 200 at https://www.cfhc.gov.lk/harbour_detail.php?id=1&lang=si,https://www.cfhc.gov.lk/harbour_detail.php?id=1&lang=si,2026-09-08T23:42:01.629072+05:30
http,pass,Probe 14: HTTP 200 at https://www.cfhc.gov.lk/harbour_detail.php?id=2&lang=si,https://www.cfhc.gov.lk/harbour_detail.php?id=2&lang=si,2026-09-08T23:42:01.629074+05:30
phone,pass,Published phone: +94) 011 2 523 05,https://www.cfhc.gov.lk/home.php?lang=si,
phone,pass,Published phone: +94) 011 252305,https://www.cfhc.gov.lk/home.php?lang=si,
phone,pass,Published phone: +94) 011 2 524 60,https://www.cfhc.gov.lk/home.php?lang=si,
phone,pass,Published phone: +94) 011 2 522 94,https://www.cfhc.gov.lk/home.php?lang=si,
phone,pass,Published phone: +94) 011 252221,https://www.cfhc.gov.lk/home.php?lang=si,
email,pass,Published email: info@cfhc.gov.lk,https://www.cfhc.gov.lk/home.php?lang=si,
postal_address,pass,"Published postal address: නො. 15, රොක්හවුස් පටුමග, කොළඹ 15, ශ්‍රී ලංකාව. නො. 15, රොක්හවුස් පටුමග, කොළඹ 15, ශ්‍රී ලංකාව",https://www.cfhc.gov.lk/home.php?lang=si,
phone,pass,Published phone: +94) 011 2 523 05,https://www.cfhc.gov.lk/home.php?lang=tm,
phone,pass,Published phone: +94) 011 252305,https://www.cfhc.gov.lk/home.php?lang=tm,
phone,pass,Published phone: +94) 011 2 524 60,https://www.cfhc.gov.lk/home.php?lang=tm,
phone,pass,Published phone: +94) 011 2 522 94,https://www.cfhc.gov.lk/home.php?lang=tm,
phone,pass,Published phone: +94) 011 252221,https://www.cfhc.gov.lk/home.php?lang=tm,
email,pass,Published email: info@cfhc.gov.lk,https://www.cfhc.gov.lk/home.php?lang=tm,
postal_address,pass,"Published postal address: எண் 15, ராக்ஹவுஸ் லேன், கொழும்பு 15, இலங்கை. எண் 15, ராக்ஹவுஸ் லேன், கொழும்பு 15, இலங்கை",https://www.cfhc.gov.lk/home.php?lang=tm,
phone,pass,Published phone: +94) 011 2 523 05,https://www.cfhc.gov.lk/home.php?lang=en,
phone,pass,Published phone: +94) 011 252305,https://www.cfhc.gov.lk/home.php?lang=en,
phone,pass,Published phone: +94) 011 2 524 60,https://www.cfhc.gov.lk/home.php?lang=en,
phone,pass,Published phone: +94) 011 2 522 94,https://www.cfhc.gov.lk/home.php?lang=en,
phone,pass,Published phone: +94) 011 252221,https://www.cfhc.gov.lk/home.php?lang=en,
email,pass,Published email: info@cfhc.gov.lk,https://www.cfhc.gov.lk/home.php?lang=en,
postal_address,pass,"Published postal address: No 15, Rockhouse Lane, Colombo 15, Sri Lanka.. No 15, Rockhouse Lane, Colombo 15, Sri Lanka.",https://www.cfhc.gov.lk/home.php?lang=en,
phone,pass,Published phone: +94) 011 2 523 05,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: +94 112525065 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 091-2277850 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 041-2258660 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 032-2224950 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 0112-529090 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 041-2255106 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 0714234354 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 0112-520577 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 047-2240978 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 0112-942872 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: +94) 011 2 522 94,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 041-2257785 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 0112-525063 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 011-2657374 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 0112-527439 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: +94) 011 2 524 60,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 0112-529090,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: +94 112522947 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 091-2267089 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 034-2276651 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 091-2258936 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 0112-522683 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 0112-942873 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 0112-529637,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 041-2251660 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 041-2227694 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 0112-522683,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 0112-529391 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 031-2228905 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 0112520482 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 0112-525262 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 026-2233266 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 0112-546924 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 047-2222431 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 065-2258282 ,https://www.cfhc.gov.lk/contact.php?lang=si,
phone,pass,Published phone: 0112-522217 ,https://www.cfhc.gov.lk/contact.php?lang=si,
