check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:58:13.961450+05:30
domain_registration,pass,Domain registered,,2026-09-08T23:58:13.961457+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:58:15.632832+05:30
http,pass,Probe 1: HTTP 200 at https://www.dlcsrilanka.org/,https://www.dlcsrilanka.org/,2026-09-08T23:58:37.466324+05:30
http,pass,Probe 2: HTTP 200 at http://www.dlcsrilanka.org/,http://www.dlcsrilanka.org/,2026-09-08T23:58:37.466344+05:30
http,pass,Probe 3: HTTP 200 at https://www.dlcsrilanka.org/,https://www.dlcsrilanka.org/,2026-09-08T23:58:37.466348+05:30
http,pass,Probe 4: HTTP 200 at http://www.dlcsrilanka.org/,http://www.dlcsrilanka.org/,2026-09-08T23:58:37.466350+05:30
http,pass,Probe 5: HTTP 200 at https://www.dlcsrilanka.org/contacts.html,https://www.dlcsrilanka.org/contacts.html,2026-09-08T23:58:37.466353+05:30
http,pass,Probe 6: HTTP 200 at https://www.dlcsrilanka.org/index.html,https://www.dlcsrilanka.org/index.html,2026-09-08T23:58:37.466356+05:30
http,pass,Probe 7: HTTP 200 at https://www.dlcsrilanka.org/about-us.html,https://www.dlcsrilanka.org/about-us.html,2026-09-08T23:58:37.466359+05:30
http,pass,Probe 8: HTTP 200 at https://www.dlcsrilanka.org/chairman-message.html,https://www.dlcsrilanka.org/chairman-message.html,2026-09-08T23:58:37.466361+05:30
http,pass,Probe 9: HTTP 200 at https://www.dlcsrilanka.org/ceo-message.html,https://www.dlcsrilanka.org/ceo-message.html,2026-09-08T23:58:37.466364+05:30
http,pass,Probe 10: HTTP 200 at https://www.dlcsrilanka.org/board-of-directors.html,https://www.dlcsrilanka.org/board-of-directors.html,2026-09-08T23:58:37.466367+05:30
http,pass,Probe 11: HTTP 200 at https://www.dlcsrilanka.org/dlc-staff.html,https://www.dlcsrilanka.org/dlc-staff.html,2026-09-08T23:58:37.466369+05:30
http,pass,Probe 12: HTTP 200 at https://www.dlcsrilanka.org/courses.html,https://www.dlcsrilanka.org/courses.html,2026-09-08T23:58:37.466372+05:30
http,pass,Probe 13: HTTP 200 at https://www.dlcsrilanka.org/micro-credentials-training.html,https://www.dlcsrilanka.org/micro-credentials-training.html,2026-09-08T23:58:37.466375+05:30
http,pass,Probe 14: HTTP 200 at https://www.dlcsrilanka.org/rental.html,https://www.dlcsrilanka.org/rental.html,2026-09-08T23:58:37.466377+05:30
phone,pass,Published phone: =94112554966,https://www.dlcsrilanka.org/,
phone,pass,Published phone: 0094 11 255 4,https://www.dlcsrilanka.org/,
email,pass,Published email: info@dlcsrilanka.org,https://www.dlcsrilanka.org/,
postal_address,pass,"Published postal address: to get the latest University news, special events and student activities delivered right to your inbox. Your e-mail Subs",https://www.dlcsrilanka.org/,
named_responsibility,pass,Published named responsibility: director,https://www.dlcsrilanka.org/,
fees_and_payment,pass,"Published fees and payment: rs,",https://www.dlcsrilanka.org/,
downloadable_form,pass,Published downloadable form: https://www.dlcsrilanka.org/Downloads/Application Form.pdf,https://www.dlcsrilanka.org/,
phone,pass,Published phone: =94112554966,http://www.dlcsrilanka.org/,
phone,pass,Published phone: 0094 11 255 4,http://www.dlcsrilanka.org/,
email,pass,Published email: info@dlcsrilanka.org,http://www.dlcsrilanka.org/,
postal_address,pass,"Published postal address: to get the latest University news, special events and student activities delivered right to your inbox. Your e-mail Subs",http://www.dlcsrilanka.org/,
named_responsibility,pass,Published named responsibility: director,http://www.dlcsrilanka.org/,
fees_and_payment,pass,"Published fees and payment: rs,",http://www.dlcsrilanka.org/,
downloadable_form,pass,Published downloadable form: http://www.dlcsrilanka.org/Downloads/Application Form.pdf,http://www.dlcsrilanka.org/,
phone,pass,Published phone: =94112554966,https://www.dlcsrilanka.org/,
phone,pass,Published phone: 0094 11 255 4,https://www.dlcsrilanka.org/,
email,pass,Published email: info@dlcsrilanka.org,https://www.dlcsrilanka.org/,
postal_address,pass,"Published postal address: to get the latest University news, special events and student activities delivered right to your inbox. Your e-mail Subs",https://www.dlcsrilanka.org/,
named_responsibility,pass,Published named responsibility: director,https://www.dlcsrilanka.org/,
fees_and_payment,pass,"Published fees and payment: rs,",https://www.dlcsrilanka.org/,
downloadable_form,pass,Published downloadable form: https://www.dlcsrilanka.org/Downloads/Application Form.pdf,https://www.dlcsrilanka.org/,
phone,pass,Published phone: =94112554966,http://www.dlcsrilanka.org/,
phone,pass,Published phone: 0094 11 255 4,http://www.dlcsrilanka.org/,
email,pass,Published email: info@dlcsrilanka.org,http://www.dlcsrilanka.org/,
postal_address,pass,"Published postal address: to get the latest University news, special events and student activities delivered right to your inbox. Your e-mail Subs",http://www.dlcsrilanka.org/,
named_responsibility,pass,Published named responsibility: director,http://www.dlcsrilanka.org/,
fees_and_payment,pass,"Published fees and payment: rs,",http://www.dlcsrilanka.org/,
downloadable_form,pass,Published downloadable form: http://www.dlcsrilanka.org/Downloads/Application Form.pdf,http://www.dlcsrilanka.org/,
phone,pass,Published phone: 0094 11 255 4,https://www.dlcsrilanka.org/contacts.html,
phone,pass,Published phone: =94112554966,https://www.dlcsrilanka.org/contacts.html,
phone,pass,Published phone: +94 11 255 4946 ,https://www.dlcsrilanka.org/contacts.html,
phone,pass,Published phone: +94112554946,https://www.dlcsrilanka.org/contacts.html,
email,pass,Published email: info@support.dlcsrilanka.org,https://www.dlcsrilanka.org/contacts.html,
email,pass,Published email: info@dlcsrilanka.org,https://www.dlcsrilanka.org/contacts.html,
postal_address,pass,"Published postal address: 28 Prof. G. P. Malalasekara Mawatha, Colombo 00700, Sri Lanka Opening Hours Mon-Fri: 8:30am-4:15pm Sat: Closed Sun: Clos",https://www.dlcsrilanka.org/contacts.html,
named_responsibility,pass,Published named responsibility: director,https://www.dlcsrilanka.org/contacts.html,
downloadable_form,pass,Published downloadable form: https://www.dlcsrilanka.org/Downloads/Application Form.pdf,https://www.dlcsrilanka.org/contacts.html,
phone,pass,Published phone: =94112554966,https://www.dlcsrilanka.org/index.html,
phone,pass,Published phone: 0094 11 255 4,https://www.dlcsrilanka.org/index.html,
email,pass,Published email: info@dlcsrilanka.org,https://www.dlcsrilanka.org/index.html,
postal_address,pass,"Published postal address: to get the latest University news, special events and student activities delivered right to your inbox. Your e-mail Subs",https://www.dlcsrilanka.org/index.html,
named_responsibility,pass,Published named responsibility: director,https://www.dlcsrilanka.org/index.html,
fees_and_payment,pass,"Published fees and payment: rs,",https://www.dlcsrilanka.org/index.html,
downloadable_form,pass,Published downloadable form: https://www.dlcsrilanka.org/Downloads/Application Form.pdf,https://www.dlcsrilanka.org/index.html,
phone,pass,Published phone: =94112554966,https://www.dlcsrilanka.org/about-us.html,
phone,pass,Published phone: 0094 11 255 4,https://www.dlcsrilanka.org/about-us.html,
email,pass,Published email: info@dlcsrilanka.org,https://www.dlcsrilanka.org/about-us.html,
postal_address,pass,"Published postal address: to get the latest University news, special events and student activities delivered right to your inbox. Your e-mail Subs",https://www.dlcsrilanka.org/about-us.html,
