check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:06:49.938078+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:06:49.938097+05:30
tls_hostname,fail,TLS certificate does not match the hostname,,2026-09-09T00:06:50.664583+05:30
tls_browser_error,fail,"Probe 1: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.irrigationmin.gov.lk'. (_ssl.c:1032)",https://www.irrigationmin.gov.lk/,2026-09-09T00:07:06.048629+05:30
http,pass,Probe 2: HTTP 200 at http://www.irrigationmin.gov.lk/,http://www.irrigationmin.gov.lk/,2026-09-09T00:07:06.048651+05:30
tls_browser_error,fail,"Probe 3: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.irrigationmin.gov.lk'. (_ssl.c:1032)",https://www.irrigationmin.gov.lk/,2026-09-09T00:07:06.048655+05:30
http,pass,Probe 4: HTTP 200 at http://www.irrigationmin.gov.lk/,http://www.irrigationmin.gov.lk/,2026-09-09T00:07:06.048658+05:30
http,pass,Probe 5: HTTP 200 at http://www.irrigationmin.gov.lk/en/,http://www.irrigationmin.gov.lk/en/,2026-09-09T00:07:06.048661+05:30
http,pass,Probe 6: HTTP 200 at http://www.irrigationmin.gov.lk/si/,http://www.irrigationmin.gov.lk/si/,2026-09-09T00:07:06.048663+05:30
http,pass,Probe 7: HTTP 200 at http://www.irrigationmin.gov.lk/ta/,http://www.irrigationmin.gov.lk/ta/,2026-09-09T00:07:06.048666+05:30
http,pass,Probe 8: HTTP 200 at http://www.irrigationmin.gov.lk/en/institutes/irrigation-department.php,http://www.irrigationmin.gov.lk/en/institutes/irrigation-department.php,2026-09-09T00:07:06.048668+05:30
http,pass,Probe 9: HTTP 200 at http://www.irrigationmin.gov.lk/en/contact.php,http://www.irrigationmin.gov.lk/en/contact.php,2026-09-09T00:07:06.048671+05:30
http,pass,Probe 10: HTTP 200 at http://www.irrigationmin.gov.lk/en/about.php,http://www.irrigationmin.gov.lk/en/about.php,2026-09-09T00:07:06.048674+05:30
