check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:19:52.972624+05:30
domain_registration,pass,Domain registered,,2026-09-08T23:19:52.972630+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:19:53.476502+05:30
http,pass,Probe 1: HTTP 200 at https://www.landsurveycouncil.org/,https://www.landsurveycouncil.org/,2026-09-08T23:20:14.550823+05:30
http,pass,Probe 2: HTTP 200 at http://www.landsurveycouncil.org/,http://www.landsurveycouncil.org/,2026-09-08T23:20:14.550843+05:30
http,pass,Probe 3: HTTP 200 at https://www.landsurveycouncil.org/,https://www.landsurveycouncil.org/,2026-09-08T23:20:14.550847+05:30
http,pass,Probe 4: HTTP 200 at http://www.landsurveycouncil.org/,http://www.landsurveycouncil.org/,2026-09-08T23:20:14.550849+05:30
http,pass,Probe 5: HTTP 200 at https://www.landsurveycouncil.org/index.php,https://www.landsurveycouncil.org/index.php,2026-09-08T23:20:14.550852+05:30
http,pass,Probe 6: HTTP 200 at https://www.landsurveycouncil.org/about1.php,https://www.landsurveycouncil.org/about1.php,2026-09-08T23:20:14.550855+05:30
http,pass,Probe 7: HTTP 200 at https://www.landsurveycouncil.org/find_a_surveyor.php,https://www.landsurveycouncil.org/find_a_surveyor.php,2026-09-08T23:20:14.550858+05:30
http,pass,Probe 8: HTTP 200 at https://www.landsurveycouncil.org/registering_in_lsc.php,https://www.landsurveycouncil.org/registering_in_lsc.php,2026-09-08T23:20:14.550860+05:30
http,pass,Probe 9: HTTP 200 at https://www.landsurveycouncil.org/for_rs_rl_surveyors.php,https://www.landsurveycouncil.org/for_rs_rl_surveyors.php,2026-09-08T23:20:14.550863+05:30
http,pass,Probe 10: HTTP 200 at https://www.landsurveycouncil.org/complaints.php,https://www.landsurveycouncil.org/complaints.php,2026-09-08T23:20:14.550866+05:30
http,pass,Probe 11: HTTP 200 at https://www.landsurveycouncil.org/resources.php,https://www.landsurveycouncil.org/resources.php,2026-09-08T23:20:14.550869+05:30
http,pass,Probe 12: HTTP 200 at https://www.landsurveycouncil.org/news.php,https://www.landsurveycouncil.org/news.php,2026-09-08T23:20:14.550872+05:30
http,pass,Probe 13: HTTP 200 at https://www.landsurveycouncil.org/vacancy.php,https://www.landsurveycouncil.org/vacancy.php,2026-09-08T23:20:14.550874+05:30
http,pass,Probe 14: HTTP 200 at https://www.landsurveycouncil.org/chairman_msg.php,https://www.landsurveycouncil.org/chairman_msg.php,2026-09-08T23:20:14.550877+05:30
phone,pass,Published phone: 011-2504286 ,https://www.landsurveycouncil.org/,
email,pass,Published email: landsurveycouncilnew@gmail.com,https://www.landsurveycouncil.org/,
postal_address,pass,"Published postal address: Land Survey Council Office, Bernard Soyza Mawatha (Kirula Road), Colombo 5 Phone: 011-2504286 Fax: 011-2504286 Email: la",https://www.landsurveycouncil.org/,
phone,pass,Published phone: 011-2504286 ,http://www.landsurveycouncil.org/,
email,pass,Published email: landsurveycouncilnew@gmail.com,http://www.landsurveycouncil.org/,
postal_address,pass,"Published postal address: Land Survey Council Office, Bernard Soyza Mawatha (Kirula Road), Colombo 5 Phone: 011-2504286 Fax: 011-2504286 Email: la",http://www.landsurveycouncil.org/,
phone,pass,Published phone: 011-2504286 ,https://www.landsurveycouncil.org/,
email,pass,Published email: landsurveycouncilnew@gmail.com,https://www.landsurveycouncil.org/,
postal_address,pass,"Published postal address: Land Survey Council Office, Bernard Soyza Mawatha (Kirula Road), Colombo 5 Phone: 011-2504286 Fax: 011-2504286 Email: la",https://www.landsurveycouncil.org/,
phone,pass,Published phone: 011-2504286 ,http://www.landsurveycouncil.org/,
email,pass,Published email: landsurveycouncilnew@gmail.com,http://www.landsurveycouncil.org/,
postal_address,pass,"Published postal address: Land Survey Council Office, Bernard Soyza Mawatha (Kirula Road), Colombo 5 Phone: 011-2504286 Fax: 011-2504286 Email: la",http://www.landsurveycouncil.org/,
phone,pass,Published phone: 011-2504286 ,https://www.landsurveycouncil.org/index.php,
email,pass,Published email: landsurveycouncilnew@gmail.com,https://www.landsurveycouncil.org/index.php,
postal_address,pass,"Published postal address: Land Survey Council Office, Bernard Soyza Mawatha (Kirula Road), Colombo 5 Phone: 011-2504286 Fax: 011-2504286 Email: la",https://www.landsurveycouncil.org/index.php,
phone,pass,Published phone: 011-2369462 ,https://www.landsurveycouncil.org/about1.php,
