check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:36:19.953993+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:36:19.954013+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:36:19.977618+05:30
http,pass,Probe 1: HTTP 200 at https://www.dwc.gov.lk/,https://www.dwc.gov.lk/,2026-09-08T23:36:36.351034+05:30
http,pass,Probe 2: HTTP 200 at https://www.dwc.gov.lk/,http://www.dwc.gov.lk/,2026-09-08T23:36:36.351062+05:30
http,pass,Probe 3: HTTP 200 at https://www.dwc.gov.lk/,https://www.dwc.gov.lk/,2026-09-08T23:36:36.351069+05:30
http,pass,Probe 4: HTTP 200 at https://www.dwc.gov.lk/,http://www.dwc.gov.lk/,2026-09-08T23:36:36.351072+05:30
http,pass,Probe 5: HTTP 200 at https://www.dwc.gov.lk/,http://www.dwc.gov.lk,2026-09-08T23:36:36.351075+05:30
http,pass,Probe 6: HTTP 200 at https://www.dwc.gov.lk/?page_id=257,https://www.dwc.gov.lk/?page_id=257,2026-09-08T23:36:36.351077+05:30
http,pass,Probe 7: HTTP 200 at https://www.dwc.gov.lk/?page_id=207,https://www.dwc.gov.lk/?page_id=207,2026-09-08T23:36:36.351080+05:30
http,pass,Probe 8: HTTP 200 at https://www.dwc.gov.lk/?page_id=216,https://www.dwc.gov.lk/?page_id=216,2026-09-08T23:36:36.351082+05:30
http,pass,Probe 9: HTTP 200 at https://www.dwc.gov.lk/?page_id=218,https://www.dwc.gov.lk/?page_id=218,2026-09-08T23:36:36.351085+05:30
http,pass,Probe 10: HTTP 200 at https://www.dwc.gov.lk/?page_id=220,https://www.dwc.gov.lk/?page_id=220,2026-09-08T23:36:36.351088+05:30
http,pass,Probe 11: HTTP 200 at https://www.dwc.gov.lk/?page_id=228,https://www.dwc.gov.lk/?page_id=228,2026-09-08T23:36:36.351090+05:30
http,pass,Probe 12: HTTP 200 at https://www.dwc.gov.lk/?page_id=222,https://www.dwc.gov.lk/?page_id=222,2026-09-08T23:36:36.351093+05:30
http,pass,Probe 13: HTTP 200 at https://www.dwc.gov.lk/?page_id=201,https://www.dwc.gov.lk/?page_id=201,2026-09-08T23:36:36.351095+05:30
http,pass,Probe 14: HTTP 200 at https://www.dwc.gov.lk/?page_id=203,https://www.dwc.gov.lk/?page_id=203,2026-09-08T23:36:36.351098+05:30
phone,pass,Published phone: +94 11 2 888 585 ,https://www.dwc.gov.lk/,
phone,pass,Published phone: +94 11 2 883 355 ,https://www.dwc.gov.lk/,
email,pass,Published email: dg@dwc.gov.lk,https://www.dwc.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://www.dwc.gov.lk/,
phone,pass,Published phone: +94 11 2 888 585 ,https://www.dwc.gov.lk/,
phone,pass,Published phone: +94 11 2 883 355 ,https://www.dwc.gov.lk/,
email,pass,Published email: dg@dwc.gov.lk,https://www.dwc.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://www.dwc.gov.lk/,
phone,pass,Published phone: +94 11 2 888 585 ,https://www.dwc.gov.lk/,
phone,pass,Published phone: +94 11 2 883 355 ,https://www.dwc.gov.lk/,
email,pass,Published email: dg@dwc.gov.lk,https://www.dwc.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://www.dwc.gov.lk/,
phone,pass,Published phone: +94 11 2 888 585 ,https://www.dwc.gov.lk/,
