check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:49:21.012958+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:49:21.012976+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:49:21.524569+05:30
http,pass,Probe 1: HTTP 200 at https://www.csth.health.gov.lk/,https://www.csth.health.gov.lk/,2026-09-08T23:49:56.619957+05:30
http,pass,Probe 2: HTTP 200 at http://www.csth.health.gov.lk/,http://www.csth.health.gov.lk/,2026-09-08T23:49:56.619983+05:30
http,pass,Probe 3: HTTP 200 at https://www.csth.health.gov.lk/,https://www.csth.health.gov.lk/,2026-09-08T23:49:56.619987+05:30
http,pass,Probe 4: HTTP 200 at http://www.csth.health.gov.lk/,http://www.csth.health.gov.lk/,2026-09-08T23:49:56.619991+05:30
http,pass,Probe 5: HTTP 200 at http://www.csth.health.gov.lk/contact-us,http://www.csth.health.gov.lk/wordpress/index.php/contact-us/,2026-09-08T23:49:56.619994+05:30
http,pass,Probe 6: HTTP 200 at https://www.csth.health.gov.lk/jmo-office,https://www.csth.health.gov.lk/jmo-office,2026-09-08T23:49:56.619996+05:30
http,pass,Probe 7: HTTP 200 at http://www.csth.health.gov.lk/out-patient-service,http://www.csth.health.gov.lk/wordpress/index.php/out-patient-service/,2026-09-08T23:49:56.619999+05:30
http,pass,Probe 8: HTTP 200 at http://www.csth.health.gov.lk/in-patient-service,http://www.csth.health.gov.lk/wordpress/index.php/in-patient-service/,2026-09-08T23:49:56.620003+05:30
http,pass,Probe 9: HTTP 200 at http://www.csth.health.gov.lk/supportive-services,http://www.csth.health.gov.lk/wordpress/index.php/supportive-services/,2026-09-08T23:49:56.620005+05:30
http,pass,Probe 10: HTTP 200 at https://www.csth.health.gov.lk/service/emergency-service,https://www.csth.health.gov.lk/service/emergency-service,2026-09-08T23:49:56.620009+05:30
http,pass,Probe 11: HTTP 200 at https://www.csth.health.gov.lk/service/ambulance-pickup,https://www.csth.health.gov.lk/service/ambulance-pickup,2026-09-08T23:49:56.620012+05:30
http,pass,Probe 12: HTTP 200 at https://www.csth.health.gov.lk/service/opening-hours,https://www.csth.health.gov.lk/service/opening-hours,2026-09-08T23:49:56.620015+05:30
