check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:37:46.142096+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:37:46.142116+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:37:46.556053+05:30
http,pass,Probe 1: HTTP 200 at https://peoplesinsurance.lk/,https://peoplesinsurance.lk/,2026-09-08T23:38:25.729868+05:30
http,pass,Probe 2: HTTP 200 at https://peoplesinsurance.lk/,http://peoplesinsurance.lk/,2026-09-08T23:38:25.729892+05:30
http,pass,Probe 3: HTTP 200 at https://peoplesinsurance.lk/,https://peoplesinsurance.lk/,2026-09-08T23:38:25.729896+05:30
http,pass,Probe 4: HTTP 200 at https://peoplesinsurance.lk/,http://peoplesinsurance.lk/,2026-09-08T23:38:25.729899+05:30
http,pass,Probe 5: HTTP 200 at https://peoplesinsurance.lk/business-insurance/directors-officers-liability-insurance/,https://peoplesinsurance.lk/business-insurance/directors-officers-liability-insurance/,2026-09-08T23:38:25.729901+05:30
http,pass,Probe 6: HTTP 200 at https://peoplesinsurance.lk/service-feedback/,https://peoplesinsurance.lk/service-feedback/,2026-09-08T23:38:25.729904+05:30
http,pass,Probe 7: HTTP 200 at https://peoplesinsurance.lk/contact-us/,https://peoplesinsurance.lk/contact-us/,2026-09-08T23:38:25.729907+05:30
http,pass,Probe 8: HTTP 200 at https://peoplesinsurance.lk/celebrating-poson-through-the-spirit-of-giving-seeni-sambol-bun-dhansala-at-peoples-insurance-plc-head-office/,https://peoplesinsurance.lk/celebrating-poson-through-the-spirit-of-giving-seeni-sambol-bun-dhansala-at-peoples-insurance-plc-head-office/,2026-09-08T23:38:25.729909+05:30
http,pass,Probe 9: HTTP 200 at https://peoplesinsurance.lk,https://peoplesinsurance.lk,2026-09-08T23:38:25.729912+05:30
http,pass,Probe 10: HTTP 200 at https://peoplesinsurance.lk/personal-insurance/,https://peoplesinsurance.lk/personal-insurance/,2026-09-08T23:38:25.729914+05:30
http,pass,Probe 11: HTTP 200 at https://peoplesinsurance.lk/personal-insurance/dwelling-fire-and-allied-perils/,https://peoplesinsurance.lk/personal-insurance/dwelling-fire-and-allied-perils/,2026-09-08T23:38:25.729917+05:30
http,pass,Probe 12: HTTP 200 at https://peoplesinsurance.lk/personal-insurance/home-insurance/,https://peoplesinsurance.lk/personal-insurance/home-insurance/,2026-09-08T23:38:25.729920+05:30
http,pass,Probe 13: HTTP 200 at https://peoplesinsurance.lk/personal-insurance/personal-accident/,https://peoplesinsurance.lk/personal-insurance/personal-accident/,2026-09-08T23:38:25.729922+05:30
http,pass,Probe 14: HTTP 200 at https://peoplesinsurance.lk/personal-insurance/personal-motor-insurance/,https://peoplesinsurance.lk/personal-insurance/personal-motor-insurance/,2026-09-08T23:38:25.729925+05:30
phone,pass,Published phone: 0112206306,https://peoplesinsurance.lk/,
phone,pass,Published phone: 0112 206 306 ,https://peoplesinsurance.lk/,
phone,pass,Published phone: +94 11 2 206 306,https://peoplesinsurance.lk/,
phone,pass,Published phone: +94 11 2 206 306 ,https://peoplesinsurance.lk/,
email,pass,Published email: pilassist@pi.local,https://peoplesinsurance.lk/,
email,pass,Published email: pilassist@peoplesinsurance.lk,https://peoplesinsurance.lk/,
postal_address,pass,Published postal address: * Phone Number * Do You Have An On Going Lease? * Select One Yes No Are You An Existing Customer? * Select One Yes No Ve,https://peoplesinsurance.lk/,
named_responsibility,pass,Published named responsibility: director,https://peoplesinsurance.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://peoplesinsurance.lk/,
phone,pass,Published phone: 0112206306,https://peoplesinsurance.lk/,
phone,pass,Published phone: 0112 206 306 ,https://peoplesinsurance.lk/,
phone,pass,Published phone: +94 11 2 206 306,https://peoplesinsurance.lk/,
phone,pass,Published phone: +94 11 2 206 306 ,https://peoplesinsurance.lk/,
email,pass,Published email: pilassist@pi.local,https://peoplesinsurance.lk/,
