check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:02:38.114312+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:02:38.114331+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:02:38.285685+05:30
http,pass,Probe 1: HTTP 200 at https://www.slab.lk/,https://www.slab.lk/,2026-09-09T00:02:59.612788+05:30
http,pass,Probe 2: HTTP 200 at http://www.slab.lk/,http://www.slab.lk/,2026-09-09T00:02:59.612816+05:30
http,pass,Probe 3: HTTP 200 at https://www.slab.lk/,https://www.slab.lk/,2026-09-09T00:02:59.612819+05:30
http,pass,Probe 4: HTTP 200 at http://www.slab.lk/,http://www.slab.lk/,2026-09-09T00:02:59.612822+05:30
http,pass,Probe 5: HTTP 200 at https://www.slab.lk/contact/main,https://www.slab.lk/contact/main,2026-09-09T00:02:59.612825+05:30
http,pass,Probe 6: HTTP 200 at https://www.slab.lk/contact/office,https://www.slab.lk/contact/office,2026-09-09T00:02:59.612828+05:30
http,pass,Probe 7: HTTP 200 at https://www.slab.lk/contact/staff,https://www.slab.lk/contact/staff,2026-09-09T00:02:59.612831+05:30
http,pass,Probe 8: HTTP 200 at https://www.slab.lk/contact/feedback,https://www.slab.lk/contact/feedback,2026-09-09T00:02:59.612833+05:30
http,pass,Probe 9: HTTP 200 at https://www.slab.lk/contact/complaints,https://www.slab.lk/contact/complaints,2026-09-09T00:02:59.612836+05:30
http,pass,Probe 10: HTTP 200 at https://www.slab.lk/contact/career,https://www.slab.lk/contact/career,2026-09-09T00:02:59.612839+05:30
http,pass,Probe 11: HTTP 200 at https://www.slab.lk/wfms/system,https://www.slab.lk/wfms/system,2026-09-09T00:02:59.612842+05:30
http,pass,Probe 12: HTTP 200 at https://www.slab.lk,https://www.slab.lk/lang/en,2026-09-09T00:02:59.612844+05:30
http,pass,Probe 13: HTTP 200 at https://www.slab.lk,https://www.slab.lk/lang/si,2026-09-09T00:02:59.612847+05:30
http,pass,Probe 14: HTTP 200 at https://www.slab.lk,https://www.slab.lk/lang/ta,2026-09-09T00:02:59.612849+05:30
phone,pass,Published phone: +94-11-2689157,https://www.slab.lk/,
phone,pass,Published phone: 0694482744,https://www.slab.lk/,
phone,pass,Published phone: +94 11 2689157 ,https://www.slab.lk/,
phone,pass,Published phone: +94112176800,https://www.slab.lk/,
email,pass,Published email: info@slab.lk,https://www.slab.lk/,
postal_address,pass,"Published postal address: No.44, Dedicated Economic Centre, Kirimandala Mawatha, Narahenpita, Sri Lanka Phone: +94 11 2689157 Email: [email protec",https://www.slab.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.slab.lk/,
required_documents,pass,Published required documents: supporting documents,https://www.slab.lk/,
legal_basis,pass,Published legal basis: regulations,https://www.slab.lk/,
phone,pass,Published phone: +94-11-2689157,http://www.slab.lk/,
phone,pass,Published phone: 0694482744,http://www.slab.lk/,
phone,pass,Published phone: +94 11 2689157 ,http://www.slab.lk/,
phone,pass,Published phone: +94112176800,http://www.slab.lk/,
email,pass,Published email: info@slab.lk,http://www.slab.lk/,
postal_address,pass,"Published postal address: No.44, Dedicated Economic Centre, Kirimandala Mawatha, Narahenpita, Sri Lanka Phone: +94 11 2689157 Email: [email protec",http://www.slab.lk/,
named_responsibility,pass,Published named responsibility: director,http://www.slab.lk/,
required_documents,pass,Published required documents: supporting documents,http://www.slab.lk/,
legal_basis,pass,Published legal basis: regulations,http://www.slab.lk/,
phone,pass,Published phone: +94-11-2689157,https://www.slab.lk/,
phone,pass,Published phone: 0694482744,https://www.slab.lk/,
phone,pass,Published phone: +94 11 2689157 ,https://www.slab.lk/,
phone,pass,Published phone: +94112176800,https://www.slab.lk/,
email,pass,Published email: info@slab.lk,https://www.slab.lk/,
postal_address,pass,"Published postal address: No.44, Dedicated Economic Centre, Kirimandala Mawatha, Narahenpita, Sri Lanka Phone: +94 11 2689157 Email: [email protec",https://www.slab.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.slab.lk/,
required_documents,pass,Published required documents: supporting documents,https://www.slab.lk/,
legal_basis,pass,Published legal basis: regulations,https://www.slab.lk/,
phone,pass,Published phone: +94-11-2689157,http://www.slab.lk/,
phone,pass,Published phone: 0694482744,http://www.slab.lk/,
phone,pass,Published phone: +94 11 2689157 ,http://www.slab.lk/,
