check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:40:38.704976+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:40:38.704996+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:40:38.740229+05:30
http,pass,Probe 1: HTTP 200 at https://www.customs.gov.lk/,https://www.customs.gov.lk/,2026-09-08T23:41:51.017136+05:30
http,error,Probe 2: timed out,http://www.customs.gov.lk/,2026-09-08T23:41:51.017157+05:30
http,pass,Probe 3: HTTP 200 at https://www.customs.gov.lk/,https://www.customs.gov.lk/,2026-09-08T23:41:51.017161+05:30
http,error,Probe 4: timed out,http://www.customs.gov.lk/,2026-09-08T23:41:51.017164+05:30
http,pass,Probe 5: HTTP 200 at https://www.customs.gov.lk/services/,https://www.customs.gov.lk/services/,2026-09-08T23:41:51.017167+05:30
http,pass,Probe 6: HTTP 200 at https://www.customs.gov.lk/about-us/directorates-and-divisions/ict-directorate/,https://www.customs.gov.lk/about-us/directorates-and-divisions/ict-directorate/,2026-09-08T23:41:51.017169+05:30
http,pass,Probe 7: HTTP 200 at https://www.customs.gov.lk/services/asyhub/,https://www.customs.gov.lk/services/asyhub/,2026-09-08T23:41:51.017172+05:30
http,pass,Probe 8: HTTP 200 at https://www.customs.gov.lk/services/bonded-operation/,https://www.customs.gov.lk/services/bonded-operation/,2026-09-08T23:41:51.017174+05:30
http,pass,Probe 9: HTTP 200 at https://www.customs.gov.lk/about-us/directorates-and-divisions/specialized-services-directorate/tin-vat-cha-registration-units/,https://www.customs.gov.lk/about-us/directorates-and-divisions/specialized-services-directorate/tin-vat-cha-registration-units/,2026-09-08T23:41:51.017177+05:30
http,pass,Probe 10: HTTP 200 at https://www.customs.gov.lk/services/door-to-door-operations/,https://www.customs.gov.lk/services/door-to-door-operations/,2026-09-08T23:41:51.017180+05:30
http,pass,Probe 11: HTTP 200 at https://www.customs.gov.lk/services/exporting-goods/,https://www.customs.gov.lk/services/exporting-goods/,2026-09-08T23:41:51.017182+05:30
http,pass,Probe 12: HTTP 200 at https://www.customs.gov.lk/services/importing-goods/,https://www.customs.gov.lk/services/importing-goods/,2026-09-08T23:41:51.017185+05:30
http,pass,Probe 13: HTTP 200 at https://www.customs.gov.lk/services/registration-guide/,https://www.customs.gov.lk/services/registration-guide/,2026-09-08T23:41:51.017187+05:30
http,pass,Probe 14: HTTP 200 at https://www.customs.gov.lk/services/ships-agents/,https://www.customs.gov.lk/services/ships-agents/,2026-09-08T23:41:51.017190+05:30
phone,pass,Published phone: +94 11 2221607,https://www.customs.gov.lk/,
phone,pass,Published phone: +94 11 2221611,https://www.customs.gov.lk/,
phone,pass,Published phone: +94 11 2221602-,https://www.customs.gov.lk/,
phone,pass,Published phone: 0936300000,https://www.customs.gov.lk/,
phone,pass,Published phone: +94 11 2143434 ,https://www.customs.gov.lk/,
phone,pass,Published phone: +94 11 2446364 ,https://www.customs.gov.lk/,
phone,pass,Published phone: +94 11 2221713 ,https://www.customs.gov.lk/,
phone,pass,Published phone: 011 2 471 471. ,https://www.customs.gov.lk/,
email,pass,Published email: dgc@customs.gov.lk,https://www.customs.gov.lk/,
email,pass,Published email: info@customs.gov.lk,https://www.customs.gov.lk/,
postal_address,pass,"Published postal address: Us Sri Lanka Customs, No. 40, Main Street, Colombo 11, Sri Lanka",https://www.customs.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.customs.gov.lk/,
fees_and_payment,pass,Published fees and payment: Rs. 0,https://www.customs.gov.lk/,
phone,pass,Published phone: +94 11 2221607,https://www.customs.gov.lk/,
phone,pass,Published phone: +94 11 2221611,https://www.customs.gov.lk/,
phone,pass,Published phone: +94 11 2221602-,https://www.customs.gov.lk/,
phone,pass,Published phone: 0936300000,https://www.customs.gov.lk/,
phone,pass,Published phone: +94 11 2143434 ,https://www.customs.gov.lk/,
phone,pass,Published phone: +94 11 2446364 ,https://www.customs.gov.lk/,
phone,pass,Published phone: +94 11 2221713 ,https://www.customs.gov.lk/,
phone,pass,Published phone: 011 2 471 471. ,https://www.customs.gov.lk/,
email,pass,Published email: dgc@customs.gov.lk,https://www.customs.gov.lk/,
email,pass,Published email: info@customs.gov.lk,https://www.customs.gov.lk/,
postal_address,pass,"Published postal address: Us Sri Lanka Customs, No. 40, Main Street, Colombo 11, Sri Lanka",https://www.customs.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.customs.gov.lk/,
fees_and_payment,pass,Published fees and payment: Rs. 0,https://www.customs.gov.lk/,
phone,pass,Published phone: +94 11 2221607,https://www.customs.gov.lk/services/,
phone,pass,Published phone: +94 11 2221611,https://www.customs.gov.lk/services/,
phone,pass,Published phone: +94 11 2221602-,https://www.customs.gov.lk/services/,
