check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:40:16.187463+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:40:16.187481+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:40:16.567934+05:30
http,pass,Probe 1: HTTP 200 at https://www.ips.lk/,https://www.ips.lk/,2026-09-08T23:40:33.841504+05:30
http,pass,Probe 2: HTTP 200 at https://www.ips.lk/,http://www.ips.lk/,2026-09-08T23:40:33.841530+05:30
http,pass,Probe 3: HTTP 200 at https://www.ips.lk/,https://www.ips.lk/,2026-09-08T23:40:33.841533+05:30
http,pass,Probe 4: HTTP 200 at https://www.ips.lk/,http://www.ips.lk/,2026-09-08T23:40:33.841536+05:30
http,pass,Probe 5: HTTP 200 at https://www.ips.lk/about-us/contact-ips/,https://www.ips.lk/about-us/contact-ips/,2026-09-08T23:40:33.841539+05:30
http,pass,Probe 6: HTTP 200 at https://www.ips.lk/contact-us/,https://www.ips.lk/contact-us/,2026-09-08T23:40:33.841542+05:30
http,pass,Probe 7: HTTP 200 at https://www.ips.lk,https://www.ips.lk,2026-09-08T23:40:33.841545+05:30
http,pass,Probe 8: HTTP 200 at https://www.ips.lk/,http://www.ips.lk/,2026-09-08T23:40:33.841547+05:30
http,pass,Probe 9: HTTP 200 at https://www.ips.lk/about-us/,https://www.ips.lk/about-us/,2026-09-08T23:40:33.841549+05:30
http,pass,Probe 10: HTTP 200 at https://www.ips.lk/about-us/vision-and-mission/,https://www.ips.lk/about-us/vision-and-mission/,2026-09-08T23:40:33.841552+05:30
http,pass,Probe 11: HTTP 200 at https://www.ips.lk/about-us/milestones/,https://www.ips.lk/about-us/milestones/,2026-09-08T23:40:33.841555+05:30
http,pass,Probe 12: HTTP 200 at https://www.ips.lk/about-us/board-of-governors/,https://www.ips.lk/about-us/board-of-governors/,2026-09-08T23:40:33.841557+05:30
http,pass,Probe 13: HTTP 200 at https://www.ips.lk/about-us/ips-annual-reports/,https://www.ips.lk/about-us/ips-annual-reports/,2026-09-08T23:40:33.841560+05:30
http,pass,Probe 14: HTTP 200 at https://www.ips.lk/about-us/careers-at-ips/,https://www.ips.lk/about-us/careers-at-ips/,2026-09-08T23:40:33.841563+05:30
phone,pass,Published phone: +94-11-2665065 ,https://www.ips.lk/,
phone,pass,Published phone: +94-11-2665068 ,https://www.ips.lk/,
phone,pass,Published phone: +94-11-2143100 ,https://www.ips.lk/,
email,pass,Published email: ips@ips.lk,https://www.ips.lk/,
postal_address,pass,"Published postal address: Policy Studies of Sri Lanka 100/20, Independence Avenue, Colombo 07 Sri Lanka",https://www.ips.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.ips.lk/,
phone,pass,Published phone: +94-11-2665065 ,https://www.ips.lk/,
phone,pass,Published phone: +94-11-2665068 ,https://www.ips.lk/,
phone,pass,Published phone: +94-11-2143100 ,https://www.ips.lk/,
email,pass,Published email: ips@ips.lk,https://www.ips.lk/,
postal_address,pass,"Published postal address: Policy Studies of Sri Lanka 100/20, Independence Avenue, Colombo 07 Sri Lanka",https://www.ips.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.ips.lk/,
phone,pass,Published phone: +94-11-2665065 ,https://www.ips.lk/,
phone,pass,Published phone: +94-11-2665068 ,https://www.ips.lk/,
phone,pass,Published phone: +94-11-2143100 ,https://www.ips.lk/,
email,pass,Published email: ips@ips.lk,https://www.ips.lk/,
postal_address,pass,"Published postal address: Policy Studies of Sri Lanka 100/20, Independence Avenue, Colombo 07 Sri Lanka",https://www.ips.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.ips.lk/,
phone,pass,Published phone: +94-11-2665065 ,https://www.ips.lk/,
phone,pass,Published phone: +94-11-2665068 ,https://www.ips.lk/,
phone,pass,Published phone: +94-11-2143100 ,https://www.ips.lk/,
email,pass,Published email: ips@ips.lk,https://www.ips.lk/,
postal_address,pass,"Published postal address: Policy Studies of Sri Lanka 100/20, Independence Avenue, Colombo 07 Sri Lanka",https://www.ips.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.ips.lk/,
phone,pass,Published phone: +94-11-2143100,https://www.ips.lk/about-us/contact-ips/,
phone,pass,Published phone: +94-11-2143100 ,https://www.ips.lk/about-us/contact-ips/,
phone,pass,Published phone: +94-11-2665065 ,https://www.ips.lk/about-us/contact-ips/,
phone,pass,Published phone: +94-11-2665068 ,https://www.ips.lk/about-us/contact-ips/,
email,pass,Published email: ips@ips.lk,https://www.ips.lk/about-us/contact-ips/,
postal_address,pass,"Published postal address: Institute of Policy Studies of Sri Lanka 100/20, Independence Avenue Colombo 07 Sri Lanka. Telephone: +94-11-2143100, +9",https://www.ips.lk/about-us/contact-ips/,
named_responsibility,pass,Published named responsibility: director,https://www.ips.lk/about-us/contact-ips/,
phone,pass,Published phone: +94-11-2143100,https://www.ips.lk/contact-us/,
phone,pass,Published phone: +94-11-2143100 ,https://www.ips.lk/contact-us/,
phone,pass,Published phone: +94-11-2665065 ,https://www.ips.lk/contact-us/,
phone,pass,Published phone: +94-11-2665068 ,https://www.ips.lk/contact-us/,
email,pass,Published email: ips@ips.lk,https://www.ips.lk/contact-us/,
postal_address,pass,"Published postal address: Policy Studies of Sri Lanka 100/20, Independence Avenue Colombo 07, Sri Lanka",https://www.ips.lk/contact-us/,
named_responsibility,pass,Published named responsibility: director,https://www.ips.lk/contact-us/,
phone,pass,Published phone: +94-11-2665065 ,https://www.ips.lk,
phone,pass,Published phone: +94-11-2665068 ,https://www.ips.lk,
phone,pass,Published phone: +94-11-2143100 ,https://www.ips.lk,
email,pass,Published email: ips@ips.lk,https://www.ips.lk,
postal_address,pass,"Published postal address: Policy Studies of Sri Lanka 100/20, Independence Avenue, Colombo 07 Sri Lanka",https://www.ips.lk,
named_responsibility,pass,Published named responsibility: director,https://www.ips.lk,
phone,pass,Published phone: +94-11-2665065 ,https://www.ips.lk/,
phone,pass,Published phone: +94-11-2665068 ,https://www.ips.lk/,
phone,pass,Published phone: +94-11-2143100 ,https://www.ips.lk/,
email,pass,Published email: ips@ips.lk,https://www.ips.lk/,
postal_address,pass,"Published postal address: Policy Studies of Sri Lanka 100/20, Independence Avenue, Colombo 07 Sri Lanka",https://www.ips.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.ips.lk/,
phone,pass,Published phone: +94-11-2665065 ,https://www.ips.lk/about-us/,
phone,pass,Published phone: +94-11-2665068 ,https://www.ips.lk/about-us/,
phone,pass,Published phone: +94-11-2143100 ,https://www.ips.lk/about-us/,
email,pass,Published email: ips@ips.lk,https://www.ips.lk/about-us/,
postal_address,pass,"Published postal address: Policy Studies of Sri Lanka 100/20, Independence Avenue, Colombo 07 Sri Lanka",https://www.ips.lk/about-us/,
named_responsibility,pass,Published named responsibility: director,https://www.ips.lk/about-us/,
legal_basis,pass,Published legal basis: gazette,https://www.ips.lk/about-us/,
phone,pass,Published phone: +94-11-2665065 ,https://www.ips.lk/about-us/vision-and-mission/,
phone,pass,Published phone: +94-11-2665068 ,https://www.ips.lk/about-us/vision-and-mission/,
phone,pass,Published phone: +94-11-2143100 ,https://www.ips.lk/about-us/vision-and-mission/,
email,pass,Published email: ips@ips.lk,https://www.ips.lk/about-us/vision-and-mission/,
postal_address,pass,"Published postal address: Policy Studies of Sri Lanka 100/20, Independence Avenue, Colombo 07 Sri Lanka",https://www.ips.lk/about-us/vision-and-mission/,
named_responsibility,pass,Published named responsibility: director,https://www.ips.lk/about-us/vision-and-mission/,
phone,pass,Published phone: +94-11-2665065 ,https://www.ips.lk/about-us/milestones/,
phone,pass,Published phone: +94-11-2665068 ,https://www.ips.lk/about-us/milestones/,
phone,pass,Published phone: +94-11-2143100 ,https://www.ips.lk/about-us/milestones/,
email,pass,Published email: ips@ips.lk,https://www.ips.lk/about-us/milestones/,
postal_address,pass,"Published postal address: Policy Studies of Sri Lanka 100/20, Independence Avenue, Colombo 07 Sri Lanka",https://www.ips.lk/about-us/milestones/,
named_responsibility,pass,Published named responsibility: director,https://www.ips.lk/about-us/milestones/,
legal_basis,pass,Published legal basis: gazette,https://www.ips.lk/about-us/milestones/,
phone,pass,Published phone: +94-11-2665065 ,https://www.ips.lk/about-us/board-of-governors/,
phone,pass,Published phone: +94-11-2665068 ,https://www.ips.lk/about-us/board-of-governors/,
phone,pass,Published phone: 016 2015 201,https://www.ips.lk/about-us/board-of-governors/,
phone,pass,Published phone: +94-11-2143100 ,https://www.ips.lk/about-us/board-of-governors/,
phone,pass,Published phone: 013 2012 201,https://www.ips.lk/about-us/board-of-governors/,
email,pass,Published email: ips@ips.lk,https://www.ips.lk/about-us/board-of-governors/,
postal_address,pass,"Published postal address: Policy Studies of Sri Lanka 100/20, Independence Avenue, Colombo 07 Sri Lanka",https://www.ips.lk/about-us/board-of-governors/,
named_responsibility,pass,Published named responsibility: director,https://www.ips.lk/about-us/board-of-governors/,
fees_and_payment,pass,"Published fees and payment: rs,",https://www.ips.lk/about-us/board-of-governors/,
phone,pass,Published phone: +94-11-2665065 ,https://www.ips.lk/about-us/ips-annual-reports/,
phone,pass,Published phone: +94-11-2665068 ,https://www.ips.lk/about-us/ips-annual-reports/,
phone,pass,Published phone: +94-11-2143100 ,https://www.ips.lk/about-us/ips-annual-reports/,
email,pass,Published email: ips@ips.lk,https://www.ips.lk/about-us/ips-annual-reports/,
postal_address,pass,"Published postal address: Policy Studies of Sri Lanka 100/20, Independence Avenue, Colombo 07 Sri Lanka",https://www.ips.lk/about-us/ips-annual-reports/,
named_responsibility,pass,Published named responsibility: director,https://www.ips.lk/about-us/ips-annual-reports/,
phone,pass,Published phone: +94-11-2665065 ,https://www.ips.lk/about-us/careers-at-ips/,
phone,pass,Published phone: +94-11-2665068 ,https://www.ips.lk/about-us/careers-at-ips/,
phone,pass,Published phone: 016 2015 201,https://www.ips.lk/about-us/careers-at-ips/,
phone,pass,Published phone: +94-11-2143100 ,https://www.ips.lk/about-us/careers-at-ips/,
phone,pass,Published phone: 013 2012 201,https://www.ips.lk/about-us/careers-at-ips/,
email,pass,Published email: careers@ips.lk,https://www.ips.lk/about-us/careers-at-ips/,
email,pass,Published email: ips@ips.lk,https://www.ips.lk/about-us/careers-at-ips/,
postal_address,pass,"Published postal address: Policy Studies of Sri Lanka 100/20, Independence Avenue, Colombo 07 Sri Lanka",https://www.ips.lk/about-us/careers-at-ips/,
named_responsibility,pass,Published named responsibility: director,https://www.ips.lk/about-us/careers-at-ips/,
page_text,pass,Substantive page content: 5510 visible characters across 14 pages,https://www.ips.lk/,
