check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:35:57.979670+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:35:57.979695+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:35:58.559380+05:30
http,pass,Probe 1: HTTP 200 at https://www.coastal.gov.lk/index.php/en,https://www.coastal.gov.lk/,2026-09-08T23:36:30.590409+05:30
http,pass,Probe 2: HTTP 200 at http://www.coastal.gov.lk/index.php/en,http://www.coastal.gov.lk/,2026-09-08T23:36:30.590435+05:30
http,pass,Probe 3: HTTP 200 at https://www.coastal.gov.lk/index.php/en,https://www.coastal.gov.lk/,2026-09-08T23:36:30.590438+05:30
http,pass,Probe 4: HTTP 200 at http://www.coastal.gov.lk/index.php/en,http://www.coastal.gov.lk/,2026-09-08T23:36:30.590441+05:30
http,pass,Probe 5: HTTP 200 at https://www.coastal.gov.lk/index.php/en/about-us/head-office-divisions,https://www.coastal.gov.lk/index.php/en/about-us/head-office-divisions,2026-09-08T23:36:30.590444+05:30
http,pass,Probe 6: HTTP 200 at https://www.coastal.gov.lk/index.php/en/about-us/district-office,https://www.coastal.gov.lk/index.php/en/about-us/district-office,2026-09-08T23:36:30.590446+05:30
http,pass,Probe 7: HTTP 200 at https://www.coastal.gov.lk/index.php/en/contacts,https://www.coastal.gov.lk/index.php/en/contacts,2026-09-08T23:36:30.590449+05:30
http,pass,Probe 8: HTTP 200 at https://www.coastal.gov.lk/index.php/si,https://www.coastal.gov.lk/index.php/si,2026-09-08T23:36:30.590452+05:30
http,pass,Probe 9: HTTP 200 at https://www.coastal.gov.lk/index.php/ta,https://www.coastal.gov.lk/index.php/ta,2026-09-08T23:36:30.590454+05:30
http,pass,Probe 10: HTTP 200 at https://www.coastal.gov.lk/index.php/en,https://www.coastal.gov.lk/,2026-09-08T23:36:30.590457+05:30
http,pass,Probe 11: HTTP 200 at https://www.coastal.gov.lk/index.php/en/inquiry,https://www.coastal.gov.lk/index.php/en/inquiry,2026-09-08T23:36:30.590459+05:30
http,pass,Probe 12: HTTP 200 at https://www.coastal.gov.lk/index.php/en/about-us/vision-mission,https://www.coastal.gov.lk/index.php/en/about-us/vision-mission,2026-09-08T23:36:30.590462+05:30
http,pass,Probe 13: HTTP 200 at https://www.coastal.gov.lk/index.php/en/about-us/overview,https://www.coastal.gov.lk/index.php/en/about-us/overview,2026-09-08T23:36:30.590464+05:30
http,pass,Probe 14: HTTP 200 at https://www.coastal.gov.lk/index.php/en/about-us/rti,https://www.coastal.gov.lk/index.php/en/about-us/rti,2026-09-08T23:36:30.590467+05:30
phone,pass,Published phone: 0000000000,https://www.coastal.gov.lk/index.php/en,
phone,pass,Published phone: +94 11 243 8005 ,https://www.coastal.gov.lk/index.php/en,
phone,pass,Published phone: +94 11 24 49 754 ,https://www.coastal.gov.lk/index.php/en,
phone,pass,Published phone: +94 11 244 9754 ,https://www.coastal.gov.lk/index.php/en,
phone,pass,Published phone: +94 11 244 97 54 ,https://www.coastal.gov.lk/index.php/en,
email,pass,Published email: info@coastal.gov.lk,https://www.coastal.gov.lk/index.php/en,
named_responsibility,pass,Published named responsibility: director,https://www.coastal.gov.lk/index.php/en,
published_update_date,pass,Published published update date: 07 July 2025,https://www.coastal.gov.lk/index.php/en,
phone,pass,Published phone: 0000000000,http://www.coastal.gov.lk/index.php/en,
phone,pass,Published phone: +94 11 243 8005 ,http://www.coastal.gov.lk/index.php/en,
phone,pass,Published phone: +94 11 24 49 754 ,http://www.coastal.gov.lk/index.php/en,
phone,pass,Published phone: +94 11 244 9754 ,http://www.coastal.gov.lk/index.php/en,
phone,pass,Published phone: +94 11 244 97 54 ,http://www.coastal.gov.lk/index.php/en,
email,pass,Published email: info@coastal.gov.lk,http://www.coastal.gov.lk/index.php/en,
named_responsibility,pass,Published named responsibility: director,http://www.coastal.gov.lk/index.php/en,
published_update_date,pass,Published published update date: 07 July 2025,http://www.coastal.gov.lk/index.php/en,
phone,pass,Published phone: 0000000000,https://www.coastal.gov.lk/index.php/en,
phone,pass,Published phone: +94 11 243 8005 ,https://www.coastal.gov.lk/index.php/en,
phone,pass,Published phone: +94 11 24 49 754 ,https://www.coastal.gov.lk/index.php/en,
phone,pass,Published phone: +94 11 244 9754 ,https://www.coastal.gov.lk/index.php/en,
phone,pass,Published phone: +94 11 244 97 54 ,https://www.coastal.gov.lk/index.php/en,
email,pass,Published email: info@coastal.gov.lk,https://www.coastal.gov.lk/index.php/en,
named_responsibility,pass,Published named responsibility: director,https://www.coastal.gov.lk/index.php/en,
published_update_date,pass,Published published update date: 07 July 2025,https://www.coastal.gov.lk/index.php/en,
phone,pass,Published phone: 0000000000,http://www.coastal.gov.lk/index.php/en,
phone,pass,Published phone: +94 11 243 8005 ,http://www.coastal.gov.lk/index.php/en,
phone,pass,Published phone: +94 11 24 49 754 ,http://www.coastal.gov.lk/index.php/en,
phone,pass,Published phone: +94 11 244 9754 ,http://www.coastal.gov.lk/index.php/en,
phone,pass,Published phone: +94 11 244 97 54 ,http://www.coastal.gov.lk/index.php/en,
email,pass,Published email: info@coastal.gov.lk,http://www.coastal.gov.lk/index.php/en,
named_responsibility,pass,Published named responsibility: director,http://www.coastal.gov.lk/index.php/en,
