check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:39:43.340532+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:39:43.340552+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:39:43.364502+05:30
http,pass,Probe 1: HTTP 200 at https://etfb.lk/,https://etfb.lk/,2026-09-08T23:40:26.166428+05:30
http,pass,Probe 2: HTTP 200 at https://etfb.lk/,http://etfb.lk/,2026-09-08T23:40:26.166450+05:30
http,pass,Probe 3: HTTP 200 at https://etfb.lk/,https://etfb.lk/,2026-09-08T23:40:26.166453+05:30
http,pass,Probe 4: HTTP 200 at https://etfb.lk/,http://etfb.lk/,2026-09-08T23:40:26.166456+05:30
http,pass,Probe 5: HTTP 200 at https://etfb.lk/e-services/,https://etfb.lk/e-services/,2026-09-08T23:40:26.166459+05:30
http,pass,Probe 6: HTTP 200 at https://etfb.lk/contact-us/,https://etfb.lk/contact-us/,2026-09-08T23:40:26.166462+05:30
http,pass,Probe 7: HTTP 200 at https://etfb.lk/news-notices/relocation-of-fort-office/,https://etfb.lk/news-notices/relocation-of-fort-office/,2026-09-08T23:40:26.166464+05:30
http,pass,Probe 8: HTTP 200 at https://etfb.lk/news/,https://etfb.lk/news/,2026-09-08T23:40:26.166467+05:30
http,pass,Probe 9: HTTP 200 at https://etfb.lk/notices/,https://etfb.lk/notices/,2026-09-08T23:40:26.166470+05:30
http,pass,Probe 10: HTTP 200 at https://etfb.lk/employer-faq/,https://etfb.lk/employer-faq/,2026-09-08T23:40:26.166472+05:30
http,pass,Probe 11: HTTP 200 at https://etfb.lk/si/home-3/,https://etfb.lk/si/home-3/,2026-09-08T23:40:26.166475+05:30
http,pass,Probe 12: HTTP 200 at https://etfb.lk/ta/home/,https://etfb.lk/ta/home/,2026-09-08T23:40:26.166478+05:30
http,pass,Probe 13: HTTP 200 at https://etfb.lk/internal-affairs-unit-iau/,https://etfb.lk/internal-affairs-unit-iau/,2026-09-08T23:40:26.166480+05:30
http,pass,Probe 14: HTTP 200 at https://etfb.lk/about-etf-board/,https://etfb.lk/about-etf-board/,2026-09-08T23:40:26.166483+05:30
phone,pass,Published phone: 0 17.67 14.33 3,https://etfb.lk/,
phone,pass,Published phone: 0 1 0 0 12 6 6 0 0 ,https://etfb.lk/,
phone,pass,Published phone: 0 12.8-6.4 12.8-1,https://etfb.lk/,
phone,pass,Published phone: 0-12.8 6.4-12.8 1,https://etfb.lk/,
phone,pass,Published phone: 0 16-7.16 16-16,https://etfb.lk/,
phone,pass,Published phone: 0112 103010 ,https://etfb.lk/,
phone,pass,Published phone: 0117747281 ,https://etfb.lk/,
phone,pass,Published phone: 0-8.84-7.16-16-1,https://etfb.lk/,
phone,pass,Published phone: 0 6.4 6.4 12.8 12.,https://etfb.lk/,
phone,pass,Published phone: 0112103010,https://etfb.lk/,
phone,pass,Published phone: 0717408155 ,https://etfb.lk/,
phone,pass,Published phone: 0 1 1 12 0 6 6 0 0 ,https://etfb.lk/,
phone,pass,Published phone: 0117747282 ,https://etfb.lk/,
phone,pass,Published phone: +94-11-7747200 ,https://etfb.lk/,
phone,pass,Published phone: 0-6.4-6.4-12.8-12.,https://etfb.lk/,
email,pass,Published email: info@etfb.lk,https://etfb.lk/,
postal_address,pass,"Published postal address: with effect from 01st July 2025. Lake House Building (the rear access road) No. 35, D.R. Wijewardena Mawatha, Colombo 10",https://etfb.lk/,
named_responsibility,pass,Published named responsibility: director,https://etfb.lk/,
legal_basis,pass,Published legal basis: gazette,https://etfb.lk/,
fees_and_payment,pass,Published fees and payment: Rs. 637,https://etfb.lk/,
phone,pass,Published phone: 0 17.67 14.33 3,https://etfb.lk/,
phone,pass,Published phone: 0 1 0 0 12 6 6 0 0 ,https://etfb.lk/,
phone,pass,Published phone: 0 12.8-6.4 12.8-1,https://etfb.lk/,
phone,pass,Published phone: 0-12.8 6.4-12.8 1,https://etfb.lk/,
phone,pass,Published phone: 0 16-7.16 16-16,https://etfb.lk/,
phone,pass,Published phone: 0112 103010 ,https://etfb.lk/,
phone,pass,Published phone: 0117747281 ,https://etfb.lk/,
phone,pass,Published phone: 0-8.84-7.16-16-1,https://etfb.lk/,
phone,pass,Published phone: 0 6.4 6.4 12.8 12.,https://etfb.lk/,
phone,pass,Published phone: 0112103010,https://etfb.lk/,
phone,pass,Published phone: 0717408155 ,https://etfb.lk/,
phone,pass,Published phone: 0 1 1 12 0 6 6 0 0 ,https://etfb.lk/,
phone,pass,Published phone: 0117747282 ,https://etfb.lk/,
phone,pass,Published phone: +94-11-7747200 ,https://etfb.lk/,
phone,pass,Published phone: 0-6.4-6.4-12.8-12.,https://etfb.lk/,
email,pass,Published email: info@etfb.lk,https://etfb.lk/,
