check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:04:33.172283+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:04:33.172302+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:04:35.065996+05:30
http,pass,Probe 1: HTTP 200 at https://slada.lk/,https://slada.lk/,2026-09-09T00:04:59.918936+05:30
http,pass,Probe 2: HTTP 200 at https://slada.lk/,http://slada.lk/,2026-09-09T00:04:59.918963+05:30
http,pass,Probe 3: HTTP 200 at https://slada.lk/,https://slada.lk/,2026-09-09T00:04:59.918966+05:30
http,pass,Probe 4: HTTP 200 at https://slada.lk/,http://slada.lk/,2026-09-09T00:04:59.918969+05:30
http,pass,Probe 5: HTTP 200 at https://slada.lk/contact-us/,https://slada.lk/contact-us,2026-09-09T00:04:59.918972+05:30
http,pass,Probe 6: HTTP 200 at https://slada.lk/?lang=en,https://slada.lk/?lang=en,2026-09-09T00:04:59.918974+05:30
http,pass,Probe 7: HTTP 200 at https://slada.lk/?lang=si,https://slada.lk/?lang=si,2026-09-09T00:04:59.918976+05:30
http,pass,Probe 8: HTTP 200 at https://slada.lk/?lang=ta,https://slada.lk/?lang=ta,2026-09-09T00:04:59.918979+05:30
http,pass,Probe 9: HTTP 200 at https://slada.lk/about-us/,https://slada.lk/about-us/,2026-09-09T00:04:59.918981+05:30
http,pass,Probe 10: HTTP 200 at https://slada.lk/board-of-directors/,https://slada.lk/board-of-directors/,2026-09-09T00:04:59.918984+05:30
http,pass,Probe 11: HTTP 200 at https://slada.lk/about-us/our-team/,https://slada.lk/about-us/our-team/,2026-09-09T00:04:59.918986+05:30
http,pass,Probe 12: HTTP 200 at https://slada.lk/about-us/organization-structure/,https://slada.lk/about-us/organization-structure/,2026-09-09T00:04:59.918989+05:30
http,pass,Probe 13: HTTP 200 at https://slada.lk/about-us/educators/,https://slada.lk/about-us/educators/,2026-09-09T00:04:59.918991+05:30
http,pass,Probe 14: HTTP 200 at https://slada.lk/what-we-do/doping-control-testing/,https://slada.lk/what-we-do/doping-control-testing/,2026-09-09T00:04:59.918994+05:30
phone,pass,Published phone: 0112 328 366 ,https://slada.lk/,
named_responsibility,pass,Published named responsibility: director,https://slada.lk/,
phone,pass,Published phone: 0112 328 366 ,https://slada.lk/,
named_responsibility,pass,Published named responsibility: director,https://slada.lk/,
phone,pass,Published phone: 0112 328 366 ,https://slada.lk/,
named_responsibility,pass,Published named responsibility: director,https://slada.lk/,
phone,pass,Published phone: 0112 328 366 ,https://slada.lk/,
named_responsibility,pass,Published named responsibility: director,https://slada.lk/,
phone,pass,Published phone: 0112328366,https://slada.lk/contact-us/,
phone,pass,Published phone: 0112 328 366 ,https://slada.lk/contact-us/,
email,pass,Published email: info@slada.lk,https://slada.lk/contact-us/,
postal_address,pass,"Published postal address: 363/12 Sugathadasa Stadium Block D, Stadium Parking Road, Sirimavo Bandaranaike Mawatha, 01400 Phone 0112 328 366 Email ",https://slada.lk/contact-us/,
named_responsibility,pass,Published named responsibility: director,https://slada.lk/contact-us/,
phone,pass,Published phone: 0112 328 366 ,https://slada.lk/?lang=en,
named_responsibility,pass,Published named responsibility: director,https://slada.lk/?lang=en,
phone,pass,Published phone: 0112 328 366 ,https://slada.lk/?lang=si,
phone,pass,Published phone: 0112 328 366 ,https://slada.lk/?lang=ta,
phone,pass,Published phone: 0112 328 366 ,https://slada.lk/about-us/,
named_responsibility,pass,Published named responsibility: director,https://slada.lk/about-us/,
legal_basis,pass,Published legal basis: regulations,https://slada.lk/about-us/,
phone,pass,Published phone: 0112 328 366 ,https://slada.lk/board-of-directors/,
named_responsibility,pass,Published named responsibility: director,https://slada.lk/board-of-directors/,
phone,pass,Published phone: 0112 328 366 ,https://slada.lk/about-us/our-team/,
named_responsibility,pass,Published named responsibility: director,https://slada.lk/about-us/our-team/,
phone,pass,Published phone: 0112 328 366 ,https://slada.lk/about-us/organization-structure/,
named_responsibility,pass,Published named responsibility: director,https://slada.lk/about-us/organization-structure/,
phone,pass,Published phone: 0112 328 366 ,https://slada.lk/about-us/educators/,
named_responsibility,pass,Published named responsibility: director,https://slada.lk/about-us/educators/,
phone,pass,Published phone: 0112 328 366 ,https://slada.lk/what-we-do/doping-control-testing/,
named_responsibility,pass,Published named responsibility: director,https://slada.lk/what-we-do/doping-control-testing/,
processing_time,pass,Published processing time: 7 days,https://slada.lk/what-we-do/doping-control-testing/,
page_text,pass,Substantive page content: 4087 visible characters across 14 pages,https://slada.lk/,
