check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:51:39.045998+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:51:39.046018+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:51:39.575488+05:30
http,pass,Probe 1: HTTP 200 at https://bmc.lk/en,https://bmc.lk/en,2026-09-08T23:51:54.589753+05:30
http,pass,Probe 2: HTTP 200 at https://bmc.lk/en,http://bmc.lk/en,2026-09-08T23:51:54.589779+05:30
http,pass,Probe 3: HTTP 200 at https://bmc.lk/en,https://bmc.lk/en,2026-09-08T23:51:54.589783+05:30
http,pass,Probe 4: HTTP 200 at https://bmc.lk/en,http://bmc.lk/en,2026-09-08T23:51:54.589786+05:30
http,pass,Probe 5: HTTP 200 at https://bmc.lk/en/contact,https://bmc.lk/en/contact,2026-09-08T23:51:54.589789+05:30
http,pass,Probe 6: HTTP 200 at https://bmc.lk/en/about,https://bmc.lk/en/about,2026-09-08T23:51:54.589791+05:30
http,pass,Probe 7: HTTP 200 at https://bmc.lk/en/history,https://bmc.lk/en/history,2026-09-08T23:51:54.589794+05:30
http,pass,Probe 8: HTTP 200 at https://bmc.lk/en/leadership,https://bmc.lk/en/leadership,2026-09-08T23:51:54.589797+05:30
http,pass,Probe 9: HTTP 200 at https://bmc.lk/en/news-events,https://bmc.lk/en/news-events,2026-09-08T23:51:54.589799+05:30
phone,pass,Published phone: +94 11 232 6701,https://bmc.lk/en,
phone,pass,Published phone: +94 11 2 326 701 ,https://bmc.lk/en,
phone,pass,Published phone: +94 11 232 6701 ,https://bmc.lk/en,
phone,pass,Published phone: 0484562807,https://bmc.lk/en,
email,pass,Published email: info@bmc.lk,https://bmc.lk/en,
postal_address,pass,"Published postal address: Procurement Contact Info No.541 Sri Sangaraja Mawatha, Colombo 10, Sri Lanka",https://bmc.lk/en,
named_responsibility,pass,Published named responsibility: director,https://bmc.lk/en,
legal_basis,pass,Published legal basis: gazette,https://bmc.lk/en,
phone,pass,Published phone: +94 11 232 6701,https://bmc.lk/en,
phone,pass,Published phone: +94 11 2 326 701 ,https://bmc.lk/en,
phone,pass,Published phone: +94 11 232 6701 ,https://bmc.lk/en,
phone,pass,Published phone: 0484562807,https://bmc.lk/en,
email,pass,Published email: info@bmc.lk,https://bmc.lk/en,
postal_address,pass,"Published postal address: Procurement Contact Info No.541 Sri Sangaraja Mawatha, Colombo 10, Sri Lanka",https://bmc.lk/en,
named_responsibility,pass,Published named responsibility: director,https://bmc.lk/en,
legal_basis,pass,Published legal basis: gazette,https://bmc.lk/en,
phone,pass,Published phone: +94 11 232 6701,https://bmc.lk/en,
phone,pass,Published phone: +94 11 2 326 701 ,https://bmc.lk/en,
phone,pass,Published phone: +94 11 232 6701 ,https://bmc.lk/en,
phone,pass,Published phone: 0484562807,https://bmc.lk/en,
email,pass,Published email: info@bmc.lk,https://bmc.lk/en,
postal_address,pass,"Published postal address: Procurement Contact Info No.541 Sri Sangaraja Mawatha, Colombo 10, Sri Lanka",https://bmc.lk/en,
named_responsibility,pass,Published named responsibility: director,https://bmc.lk/en,
legal_basis,pass,Published legal basis: gazette,https://bmc.lk/en,
phone,pass,Published phone: +94 11 232 6701,https://bmc.lk/en,
phone,pass,Published phone: +94 11 2 326 701 ,https://bmc.lk/en,
phone,pass,Published phone: +94 11 232 6701 ,https://bmc.lk/en,
phone,pass,Published phone: 0484562807,https://bmc.lk/en,
email,pass,Published email: info@bmc.lk,https://bmc.lk/en,
postal_address,pass,"Published postal address: Procurement Contact Info No.541 Sri Sangaraja Mawatha, Colombo 10, Sri Lanka",https://bmc.lk/en,
named_responsibility,pass,Published named responsibility: director,https://bmc.lk/en,
legal_basis,pass,Published legal basis: gazette,https://bmc.lk/en,
phone,pass,Published phone: 011 263 7340 ,https://bmc.lk/en/contact,
phone,pass,Published phone: +94 11 232 6701 ,https://bmc.lk/en/contact,
phone,pass,Published phone: 045 222 6180 ,https://bmc.lk/en/contact,
phone,pass,Published phone: +94 11 232 6701,https://bmc.lk/en/contact,
phone,pass,Published phone: +94 11 2 326 701 ,https://bmc.lk/en/contact,
phone,pass,Published phone: 047 226 1620 ,https://bmc.lk/en/contact,
phone,pass,Published phone: 091 224 8070 ,https://bmc.lk/en/contact,
phone,pass,Published phone: 065 222 2023 ,https://bmc.lk/en/contact,
phone,pass,Published phone: 081 222 3855 ,https://bmc.lk/en/contact,
phone,pass,Published phone: 034 222 1031 ,https://bmc.lk/en/contact,
phone,pass,Published phone: 023 222 3283 ,https://bmc.lk/en/contact,
phone,pass,Published phone: 047 222 5395 ,https://bmc.lk/en/contact,
phone,pass,Published phone: 025 222 6067 ,https://bmc.lk/en/contact,
phone,pass,Published phone: 041 223 2366 ,https://bmc.lk/en/contact,
phone,pass,Published phone: 0484562807,https://bmc.lk/en/contact,
email,pass,Published email: info@bmc.lk,https://bmc.lk/en/contact,
postal_address,pass,"Published postal address: Procurement Contact Info No.541 Sri Sangaraja Mawatha, Colombo 10, Sri Lanka",https://bmc.lk/en/contact,
named_responsibility,pass,Published named responsibility: director,https://bmc.lk/en/contact,
legal_basis,pass,Published legal basis: gazette,https://bmc.lk/en/contact,
processing_time,pass,Published processing time: 6701 Working Hours,https://bmc.lk/en/contact,
phone,pass,Published phone: +94 11 232 6701,https://bmc.lk/en/about,
phone,pass,Published phone: +94 11 2 326 701 ,https://bmc.lk/en/about,
phone,pass,Published phone: +94 11 232 6701 ,https://bmc.lk/en/about,
