check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:01:38.196419+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:01:38.196437+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:01:38.235131+05:30
http,pass,Probe 1: HTTP 200 at https://drc.gov.lk/intro/,https://drc.gov.lk/,2026-09-09T00:01:58.585248+05:30
http,pass,Probe 2: HTTP 200 at https://drc.gov.lk/intro/,http://drc.gov.lk/,2026-09-09T00:01:58.585270+05:30
http,pass,Probe 3: HTTP 200 at https://drc.gov.lk/intro/,https://drc.gov.lk/,2026-09-09T00:01:58.585273+05:30
http,pass,Probe 4: HTTP 200 at https://drc.gov.lk/intro/,http://drc.gov.lk/,2026-09-09T00:01:58.585276+05:30
http,pass,Probe 5: HTTP 200 at https://drc.gov.lk/en/,http://www.drc.gov.lk/en/,2026-09-09T00:01:58.585279+05:30
http,pass,Probe 6: HTTP 200 at https://drc.gov.lk/intro/,https://drc.gov.lk/,2026-09-09T00:01:58.585282+05:30
http,pass,Probe 7: HTTP 200 at https://drc.gov.lk/en/?page_id=1594,https://drc.gov.lk/en/?page_id=1594,2026-09-09T00:01:58.585285+05:30
http,pass,Probe 8: HTTP 200 at https://drc.gov.lk/en/?page_id=1921,https://drc.gov.lk/en/?page_id=1921,2026-09-09T00:01:58.585288+05:30
http,pass,Probe 9: HTTP 200 at https://drc.gov.lk/en/?page_id=2251,https://drc.gov.lk/en/?page_id=2251,2026-09-09T00:01:58.585290+05:30
http,pass,Probe 10: HTTP 200 at https://drc.gov.lk/en/?page_id=4901,https://drc.gov.lk/en/?page_id=4901,2026-09-09T00:01:58.585293+05:30
http,pass,Probe 11: HTTP 200 at https://drc.gov.lk/en/?page_id=4905,https://drc.gov.lk/en/?page_id=4905,2026-09-09T00:01:58.585296+05:30
http,pass,Probe 12: HTTP 200 at https://drc.gov.lk/en/?p=2487,https://www.drc.gov.lk/en/?p=2487,2026-09-09T00:01:58.585299+05:30
http,pass,Probe 13: HTTP 200 at https://drc.gov.lk/en/?page_id=2741,https://drc.gov.lk/en/?page_id=2741,2026-09-09T00:01:58.585302+05:30
http,pass,Probe 14: HTTP 200 at https://drc.gov.lk/en/?page_id=2604,https://drc.gov.lk/en/?page_id=2604,2026-09-09T00:01:58.585305+05:30
named_responsibility,pass,Published named responsibility: department,https://drc.gov.lk/intro/,
named_responsibility,pass,Published named responsibility: department,https://drc.gov.lk/intro/,
named_responsibility,pass,Published named responsibility: department,https://drc.gov.lk/intro/,
named_responsibility,pass,Published named responsibility: department,https://drc.gov.lk/intro/,
phone,pass,Published phone: 011 2222 980 ,https://drc.gov.lk/en/,
phone,pass,Published phone: 0689857636,https://drc.gov.lk/en/,
phone,pass,Published phone: 0689853022,https://drc.gov.lk/en/,
phone,pass,Published phone: 0.333333333,https://drc.gov.lk/en/,
phone,pass,Published phone: 0.666666666,https://drc.gov.lk/en/,
phone,pass,Published phone: 0.833333333,https://drc.gov.lk/en/,
phone,pass,Published phone: 0364540235,https://drc.gov.lk/en/,
phone,pass,Published phone: 011 2222 950 ,https://drc.gov.lk/en/,
phone,pass,Published phone: 0.416666666,https://drc.gov.lk/en/,
phone,pass,Published phone: 0112 444 333 ,https://drc.gov.lk/en/,
phone,pass,Published phone: 0.083333333,https://drc.gov.lk/en/,
phone,pass,Published phone: 011 2689208 ,https://drc.gov.lk/en/,
phone,pass,Published phone: 0.916666666,https://drc.gov.lk/en/,
phone,pass,Published phone: 011 2689209 ,https://drc.gov.lk/en/,
phone,pass,Published phone: 0.166666666,https://drc.gov.lk/en/,
phone,pass,Published phone: 011 2689615 ,https://drc.gov.lk/en/,
phone,pass,Published phone: 0.583333333,https://drc.gov.lk/en/,
postal_address,pass,"Published postal address: 011 2222 950 400, D R Wijewardena Mawatha, Colombo 10, Sri Lanka",https://drc.gov.lk/en/,
named_responsibility,pass,Published named responsibility: department,https://drc.gov.lk/en/,
legal_basis,pass,Published legal basis: gazette,https://drc.gov.lk/en/,
named_responsibility,pass,Published named responsibility: department,https://drc.gov.lk/intro/,
phone,pass,Published phone: 011 2222 980 ,https://drc.gov.lk/en/?page_id=1594,
phone,pass,Published phone: 0.333333333,https://drc.gov.lk/en/?page_id=1594,
phone,pass,Published phone: 0.666666666,https://drc.gov.lk/en/?page_id=1594,
phone,pass,Published phone: 0.833333333,https://drc.gov.lk/en/?page_id=1594,
phone,pass,Published phone: 011 2222 950 ,https://drc.gov.lk/en/?page_id=1594,
phone,pass,Published phone: 0.416666666,https://drc.gov.lk/en/?page_id=1594,
phone,pass,Published phone: 011 268 9208,https://drc.gov.lk/en/?page_id=1594,
phone,pass,Published phone: 0.083333333,https://drc.gov.lk/en/?page_id=1594,
phone,pass,Published phone: 011 2689208 ,https://drc.gov.lk/en/?page_id=1594,
phone,pass,Published phone: 0.916666666,https://drc.gov.lk/en/?page_id=1594,
phone,pass,Published phone: 011 2689209 ,https://drc.gov.lk/en/?page_id=1594,
phone,pass,Published phone: 0.166666666,https://drc.gov.lk/en/?page_id=1594,
phone,pass,Published phone: 011 2689615 ,https://drc.gov.lk/en/?page_id=1594,
phone,pass,Published phone: 0.583333333,https://drc.gov.lk/en/?page_id=1594,
email,pass,Published email: info@drc.gov.lk,https://drc.gov.lk/en/?page_id=1594,
email,pass,Published email: societies@drc.gov.lk,https://drc.gov.lk/en/?page_id=1594,
email,pass,Published email: support@drc.gov.lk,https://drc.gov.lk/en/?page_id=1594,
email,pass,Published email: tenders@drc.gov.lk,https://drc.gov.lk/en/?page_id=1594,
email,pass,Published email: erocaccess@drc.gov.lk,https://drc.gov.lk/en/?page_id=1594,
postal_address,pass,"Published postal address: No. 400, ""Samagam Medura"", D R Wijewardena Mawatha , Colombo 10, Sri Lanka. Business hours: Mon - Fri: 9.00AM - 3.30PM, ",https://drc.gov.lk/en/?page_id=1594,
named_responsibility,pass,Published named responsibility: department,https://drc.gov.lk/en/?page_id=1594,
legal_basis,pass,Published legal basis: gazette,https://drc.gov.lk/en/?page_id=1594,
phone,pass,Published phone: 011 2222 980 ,https://drc.gov.lk/en/?page_id=1921,
phone,pass,Published phone: 0.333333333,https://drc.gov.lk/en/?page_id=1921,
phone,pass,Published phone: 0.666666666,https://drc.gov.lk/en/?page_id=1921,
phone,pass,Published phone: 0.833333333,https://drc.gov.lk/en/?page_id=1921,
phone,pass,Published phone: 011 2222 950 ,https://drc.gov.lk/en/?page_id=1921,
