check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:05:26.548300+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:05:26.548319+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:05:27.369085+05:30
http,pass,Probe 1: HTTP 200 at https://www.moj.gov.lk/index.php/en/,https://www.moj.gov.lk/,2026-09-09T00:05:54.489946+05:30
http,pass,Probe 2: HTTP 200 at http://www.moj.gov.lk/index.php/en/,http://www.moj.gov.lk/,2026-09-09T00:05:54.489967+05:30
http,pass,Probe 3: HTTP 200 at https://www.moj.gov.lk/index.php/en/,https://www.moj.gov.lk/,2026-09-09T00:05:54.489970+05:30
http,pass,Probe 4: HTTP 200 at http://www.moj.gov.lk/index.php/en/,http://www.moj.gov.lk/,2026-09-09T00:05:54.489973+05:30
http,pass,Probe 5: HTTP 200 at https://www.moj.gov.lk/index.php/en/about-us/divisions-of-the-ministry,https://www.moj.gov.lk/index.php/en/about-us/divisions-of-the-ministry,2026-09-09T00:05:54.489976+05:30
http,pass,Probe 6: HTTP 200 at https://www.moj.gov.lk/index.php/en/departments-institutes/departments/attorney-generals-department,https://www.moj.gov.lk/index.php/en/departments-institutes/departments/attorney-generals-department,2026-09-09T00:05:54.489978+05:30
http,pass,Probe 7: HTTP 200 at https://www.moj.gov.lk/index.php/en/departments-institutes/departments/legal-draftsmans-department,https://www.moj.gov.lk/index.php/en/departments-institutes/departments/legal-draftsmans-department,2026-09-09T00:05:54.489981+05:30
http,pass,Probe 8: HTTP 200 at https://www.moj.gov.lk/index.php/en/departments-institutes/departments/department-of-debt-conciliation-board,https://www.moj.gov.lk/index.php/en/departments-institutes/departments/department-of-debt-conciliation-board,2026-09-09T00:05:54.489983+05:30
http,pass,Probe 9: HTTP 200 at https://www.moj.gov.lk/index.php/en/departments-institutes/departments/department-of-government-analyst,https://www.moj.gov.lk/index.php/en/departments-institutes/departments/department-of-government-analyst,2026-09-09T00:05:54.489986+05:30
http,pass,Probe 10: HTTP 200 at https://www.moj.gov.lk/index.php/en/departments-institutes/departments/office-of-the-registrar-of-the-supreme-court,https://www.moj.gov.lk/index.php/en/departments-institutes/departments/office-of-the-registrar-of-the-supreme-court,2026-09-09T00:05:54.489989+05:30
http,pass,Probe 11: HTTP 200 at https://www.moj.gov.lk/index.php/en/departments-institutes/departments/law-commission-of-sri-lanka,https://www.moj.gov.lk/index.php/en/departments-institutes/departments/law-commission-of-sri-lanka,2026-09-09T00:05:54.489991+05:30
http,pass,Probe 12: HTTP 200 at https://www.moj.gov.lk/index.php/en/departments-institutes/departments/department-of-prisons,https://www.moj.gov.lk/index.php/en/departments-institutes/departments/department-of-prisons,2026-09-09T00:05:54.489994+05:30
http,pass,Probe 13: HTTP 200 at https://www.moj.gov.lk/index.php/en/departments-institutes/departments/department-of-community-based-corrections,https://www.moj.gov.lk/index.php/en/departments-institutes/departments/department-of-community-based-corrections,2026-09-09T00:05:54.489996+05:30
http,pass,Probe 14: HTTP 200 at https://www.moj.gov.lk/index.php/en/departments-institutes/departments/department-of-official-language,https://www.moj.gov.lk/index.php/en/departments-institutes/departments/department-of-official-language,2026-09-09T00:05:54.489999+05:30
phone,pass,Published phone: +94 11 2320785 ,https://www.moj.gov.lk/index.php/en/,
phone,pass,Published phone: +94 11 2323022 ,https://www.moj.gov.lk/index.php/en/,
phone,pass,Published phone: +94 112 323 022 ,https://www.moj.gov.lk/index.php/en/,
phone,pass,Published phone: +94112323022,https://www.moj.gov.lk/index.php/en/,
phone,pass,Published phone: +94 112 320 785 ,https://www.moj.gov.lk/index.php/en/,
email,pass,Published email: info@moj.gov.lk,https://www.moj.gov.lk/index.php/en/,
postal_address,pass,Published postal address: Integration Ministry of Justice 19 Sri Sangaraja Mawatha Colombo 10 Sri Lanka,https://www.moj.gov.lk/index.php/en/,
named_responsibility,pass,Published named responsibility: division,https://www.moj.gov.lk/index.php/en/,
legal_basis,pass,Published legal basis: gazette,https://www.moj.gov.lk/index.php/en/,
published_update_date,pass,Published published update date: 08 January 2026,https://www.moj.gov.lk/index.php/en/,
phone,pass,Published phone: +94 11 2320785 ,http://www.moj.gov.lk/index.php/en/,
phone,pass,Published phone: +94 11 2323022 ,http://www.moj.gov.lk/index.php/en/,
phone,pass,Published phone: +94 112 323 022 ,http://www.moj.gov.lk/index.php/en/,
phone,pass,Published phone: +94112323022,http://www.moj.gov.lk/index.php/en/,
phone,pass,Published phone: +94 112 320 785 ,http://www.moj.gov.lk/index.php/en/,
email,pass,Published email: info@moj.gov.lk,http://www.moj.gov.lk/index.php/en/,
postal_address,pass,Published postal address: Integration Ministry of Justice 19 Sri Sangaraja Mawatha Colombo 10 Sri Lanka,http://www.moj.gov.lk/index.php/en/,
named_responsibility,pass,Published named responsibility: division,http://www.moj.gov.lk/index.php/en/,
legal_basis,pass,Published legal basis: gazette,http://www.moj.gov.lk/index.php/en/,
published_update_date,pass,Published published update date: 08 January 2026,http://www.moj.gov.lk/index.php/en/,
phone,pass,Published phone: +94 11 2320785 ,https://www.moj.gov.lk/index.php/en/,
phone,pass,Published phone: +94 11 2323022 ,https://www.moj.gov.lk/index.php/en/,
phone,pass,Published phone: +94 112 323 022 ,https://www.moj.gov.lk/index.php/en/,
phone,pass,Published phone: +94112323022,https://www.moj.gov.lk/index.php/en/,
phone,pass,Published phone: 0136992407,https://www.moj.gov.lk/index.php/en/,
phone,pass,Published phone: +94 112 320 785 ,https://www.moj.gov.lk/index.php/en/,
email,pass,Published email: info@moj.gov.lk,https://www.moj.gov.lk/index.php/en/,
postal_address,pass,Published postal address: Integration Ministry of Justice 19 Sri Sangaraja Mawatha Colombo 10 Sri Lanka,https://www.moj.gov.lk/index.php/en/,
named_responsibility,pass,Published named responsibility: division,https://www.moj.gov.lk/index.php/en/,
legal_basis,pass,Published legal basis: gazette,https://www.moj.gov.lk/index.php/en/,
published_update_date,pass,Published published update date: 08 January 2026,https://www.moj.gov.lk/index.php/en/,
phone,pass,Published phone: +94 11 2320785 ,http://www.moj.gov.lk/index.php/en/,
phone,pass,Published phone: +94 11 2323022 ,http://www.moj.gov.lk/index.php/en/,
phone,pass,Published phone: +94 112 323 022 ,http://www.moj.gov.lk/index.php/en/,
phone,pass,Published phone: +94112323022,http://www.moj.gov.lk/index.php/en/,
phone,pass,Published phone: +94 112 320 785 ,http://www.moj.gov.lk/index.php/en/,
email,pass,Published email: info@moj.gov.lk,http://www.moj.gov.lk/index.php/en/,
postal_address,pass,Published postal address: Integration Ministry of Justice 19 Sri Sangaraja Mawatha Colombo 10 Sri Lanka,http://www.moj.gov.lk/index.php/en/,
named_responsibility,pass,Published named responsibility: division,http://www.moj.gov.lk/index.php/en/,
legal_basis,pass,Published legal basis: gazette,http://www.moj.gov.lk/index.php/en/,
published_update_date,pass,Published published update date: 08 January 2026,http://www.moj.gov.lk/index.php/en/,
